comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwBG4T6SV9jl4mcU854AaABAg,,Y-jgvey8KRQ,False,author_594,2026-05-26T18:50:57Z,2026-05-26T18:50:57Z,1,😢😢😢 nooooo,,0,repubblica,author_594,0
UgwkNqMdeMhj8RSpdWl4AaABAg,,Y-jgvey8KRQ,False,author_595,2026-05-26T18:53:20Z,2026-05-26T18:53:20Z,1,❤🥺 ma perché ..,,0,repubblica,author_595,0
Ugw60RTVUR58jmAe7Bx4AaABAg,,Y-jgvey8KRQ,False,author_596,2026-05-26T18:53:49Z,2026-05-26T18:53:49Z,0,"Poverino 
Ciao Giacomo  ,riposa in pace 
 🙏🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹",,0,repubblica,author_596,0
Ugw6j2eECZdUyRbkrFl4AaABAg,,Y-jgvey8KRQ,False,author_597,2026-05-26T18:54:36Z,2026-05-26T18:54:36Z,0,❤❤❤❤,,0,repubblica,author_597,0
UgyVPAxqQRY7yimwT6x4AaABAg,,Y-jgvey8KRQ,False,author_598,2026-05-26T18:54:42Z,2026-05-26T18:54:42Z,22,Morire di lavoro è una cosa terribile !!! Il ricordo del tuo sorriso non morirà mai. RIP,,0,repubblica,author_598,0
UgzxduQA6HQXaJjRot94AaABAg,,Y-jgvey8KRQ,False,author_547,2026-05-26T18:55:45Z,2026-05-26T18:55:45Z,1,Queste vergone devono finire,,0,repubblica,author_547,1
Ugwe-pON81hA9iFhbNV4AaABAg,,Y-jgvey8KRQ,False,author_599,2026-05-26T18:56:19Z,2026-05-26T18:56:19Z,7,"Povero ragazzo,  che enorme disgrazia!!😢",,0,repubblica,author_599,0
UgzGjluXBQ-LigdOQJx4AaABAg,,Y-jgvey8KRQ,False,author_600,2026-05-26T18:57:32Z,2026-05-26T18:57:32Z,0,Povero ragazzo ❤❤❤❤❤,,0,repubblica,author_600,0
Ugz8qp4pvl1Hnmn8KRF4AaABAg,,Y-jgvey8KRQ,False,author_83,2026-05-26T18:57:33Z,2026-05-26T18:57:33Z,0,Lo stato solido interessa dei migranti e promuove queste stessi di Stato,,0,repubblica,author_83,1
Ugzb8CIhkQA1x1ANYEx4AaABAg,,Y-jgvey8KRQ,False,author_601,2026-05-26T18:58:01Z,2026-05-26T18:58:01Z,0,Ciao Giacomo.....❤❤❤,,0,repubblica,author_601,0
UgznwdqEbKch7860Ss94AaABAg,,Y-jgvey8KRQ,False,author_602,2026-05-26T18:58:12Z,2026-05-26T18:58:12Z,3,Riposa in pace!,,0,repubblica,author_602,0
Ugz2h-RT2oCxAi_vwFJ4AaABAg,,Y-jgvey8KRQ,False,author_603,2026-05-26T18:59:28Z,2026-05-26T18:59:28Z,2,😢🙏,,0,repubblica,author_603,0
Ugy2aIHnUg36FafdKIJ4AaABAg,,Y-jgvey8KRQ,False,author_604,2026-05-26T19:00:04Z,2026-05-26T19:00:04Z,0,Riposa in pace ragazzo ❤,,0,repubblica,author_604,0
Ugw6d1o_jAWXUiXtLYF4AaABAg,,Y-jgvey8KRQ,False,author_605,2026-05-26T19:01:01Z,2026-05-26T19:01:01Z,0,❤,,0,repubblica,author_605,0
UgzzSHEqUjS058P94Zl4AaABAg,,Y-jgvey8KRQ,False,author_108,2026-05-26T19:01:18Z,2026-05-26T19:01:18Z,0,Incredibile...senza parole...riposa in pace Giacomo...condoglianze alla famiglia🙏🏽,,0,repubblica,author_108,0
UgweUPRNCIFr8-gfQzB4AaABAg,,Y-jgvey8KRQ,False,author_606,2026-05-26T19:01:41Z,2026-05-26T19:01:41Z,1,Riposa in pace caro Giacomo 🙏❤,,0,repubblica,author_606,0
UgzEbL1lORBWf6U65nd4AaABAg,,Y-jgvey8KRQ,False,author_607,2026-05-26T19:02:39Z,2026-05-26T19:02:39Z,16,Terribile morire sul posto di lavoro. Rip 🙏,,0,repubblica,author_607,0
UgzzSHEqUjS058P94Zl4AaABAg.AXHXJY-5oGvAXHXiOxNmEK,UgzzSHEqUjS058P94Zl4AaABAg,Y-jgvey8KRQ,True,author_2,2026-05-26T19:04:50Z,2026-05-26T19:04:50Z,1,Incredibile niente se sei distratto o negligente o i proprietari hanno disattivato le misure di sicurezza per produrre di più ......,UgzzSHEqUjS058P94Zl4AaABAg,1,repubblica,author_2,1
UgyhacianYsDDPn44AZ4AaABAg,,Y-jgvey8KRQ,False,author_92,2026-05-26T19:15:22Z,2026-05-26T19:15:22Z,5,"Ma quale riposa in pace ,povero ragazzo doveva vivere ,,no si deve morire oerche' i padroni non li tutela, maledetti assassini",,0,repubblica,author_92,1
Ugy8yjlyQrbExRvzS_t4AaABAg,,Y-jgvey8KRQ,False,author_608,2026-05-26T19:20:15Z,2026-05-26T19:20:15Z,0,❤,,0,repubblica,author_608,0
UgwsVasb7hTUEvewCol4AaABAg,,Y-jgvey8KRQ,False,author_227,2026-05-26T19:27:33Z,2026-05-26T19:27:33Z,4,"Povero giovane, e poveri genitori morire di lavoro è inaccettabile ,mai come ora queste cose succedono con una intensità sempre crescente nonostante le tante parole che si sprecano , possibile non esista un rimedio",,0,repubblica,author_227,0
Ugy0v4npH4H6HiYFjlN4AaABAg,,Y-jgvey8KRQ,False,author_609,2026-05-26T19:29:26Z,2026-05-26T19:29:26Z,0,Rip caro ragazzo ❤,,0,repubblica,author_609,0
UgyDGyJCCbYUMJG1otF4AaABAg,,Y-jgvey8KRQ,False,author_610,2026-05-26T19:33:46Z,2026-05-26T19:33:46Z,8,Povero ragazzo😢😢❤,,0,repubblica,author_610,0
UgxempRlm0qNIlQFHct4AaABAg,,Y-jgvey8KRQ,False,author_611,2026-05-26T19:52:08Z,2026-05-26T19:52:08Z,0,"Per lui, niente autorità al funerale?
Meglio così.",,0,repubblica,author_611,1
Ugz8qp4pvl1Hnmn8KRF4AaABAg.AXHWt0uNRfgAXHcIuixHaG,Ugz8qp4pvl1Hnmn8KRF4AaABAg,Y-jgvey8KRQ,True,author_611,2026-05-26T19:53:39Z,2026-05-26T19:53:39Z,1,"Quelli se si fanno male, vengono abbandonati sul bordo della strada.
La guerra fra poveri,la vincono i ricchi.",Ugz8qp4pvl1Hnmn8KRF4AaABAg,1,repubblica,author_611,1
UgzsmCH60s2EKoXN-LR4AaABAg,,Y-jgvey8KRQ,False,author_105,2026-05-26T19:54:40Z,2026-05-26T19:54:40Z,2,"C'è stato un referendum di recente. Verteva anche sulla sicurezza del lavoro. Il cdx e i suoi ruffiani gatekeepers (che si presentano come ""antisistema"", sovranisti e bla bla... che vantano un passato da veri comunisti) invitavano da mediaset a boicottarlo, col pretesto che l'aveva proposto Landini, che gli sta antipatico!",,0,repubblica,author_105,1
UgxIG6lrYJC5wS0phDl4AaABAg,,Y-jgvey8KRQ,False,author_612,2026-05-26T19:55:55Z,2026-05-26T19:55:55Z,0,❤❤❤,,0,repubblica,author_612,0
UgyGU-_cx2prZfbBfO14AaABAg,,Y-jgvey8KRQ,False,author_613,2026-05-26T19:56:14Z,2026-05-26T19:56:14Z,1,Che cosa terribile condoglianze alla famiglia,,0,repubblica,author_613,0
UgzQP_ekABwDNq4mykN4AaABAg,,Y-jgvey8KRQ,False,author_614,2026-05-26T20:10:01Z,2026-05-26T20:10:01Z,0,La sicurezza sul lavoro non è slogan per propaganda politica,,0,repubblica,author_614,0
UgzVGZLhdPGoA6DQjJ94AaABAg,,Y-jgvey8KRQ,False,author_615,2026-05-26T20:12:06Z,2026-05-26T20:12:06Z,1,Dolce cucciolo veglia sui tuoi genitori che ti amano tanto ❤,,0,repubblica,author_615,0
UgwzlfP3B6_tf3vTMGR4AaABAg,,Y-jgvey8KRQ,False,author_616,2026-05-26T20:12:19Z,2026-05-26T20:12:19Z,6,Mammamia 😱 che dolore 😢 riposa in pace 🙏🏻😢😢😢😢😢❤,,0,repubblica,author_616,0
Ugz8qp4pvl1Hnmn8KRF4AaABAg.AXHWt0uNRfgAXHeUBLWBEg,Ugz8qp4pvl1Hnmn8KRF4AaABAg,Y-jgvey8KRQ,True,author_83,2026-05-26T20:12:40Z,2026-05-26T20:12:40Z,0,"author_611 Certo ma non vedo il motivo di imbarcare ulteriori poveracci se questo finisce per rafforzare ulteriormente il potere delle élite. Che poi gli immigrati non rivendicano nemmeno giustizia sociale e diritti di classe; invece, sono molto piu' attenti alle aspirazioni dei ricchi...",Ugz8qp4pvl1Hnmn8KRF4AaABAg.AXHWt0uNRfgAXHcIuixHaG,2,repubblica,author_83,1
Ugw4pdqEjrJ1a-Mm6xN4AaABAg,,Y-jgvey8KRQ,False,author_116,2026-05-26T20:18:24Z,2026-05-26T20:18:24Z,0,"Tanta Scienza, Tecnologia, Progresso, Innovazione ,Norme di sicurezza e Intelligenza Artficiale ( di cui ci riempiamo tutti la bocca ) e poi...siamo sempre fermi a 100 anni fa : operaio sotto la pressa come nei primi anni della rivoluzione industriale !
Boh. Solo e sempre le condoglianze rimangono da fare.",,0,repubblica,author_116,0
UgzWe4g1qo_CIq7Ug2B4AaABAg,,Y-jgvey8KRQ,False,author_617,2026-05-26T20:22:19Z,2026-05-26T20:22:19Z,0,😢😢😢povero ragazzo ❤,,0,repubblica,author_617,0
UgyhacianYsDDPn44AZ4AaABAg.AXHYv_4KGk9AXHfaWfHcHp,UgyhacianYsDDPn44AZ4AaABAg,Y-jgvey8KRQ,True,author_116,2026-05-26T20:22:24Z,2026-05-26T20:22:24Z,0,Condivido la tua rabbia !!!,UgyhacianYsDDPn44AZ4AaABAg,1,repubblica,author_116,0
UgzzSHEqUjS058P94Zl4AaABAg.AXHXJY-5oGvAXHfqTQ-IXV,UgzzSHEqUjS058P94Zl4AaABAg.AXHXJY-5oGvAXHXiOxNmEK,Y-jgvey8KRQ,True,author_116,2026-05-26T20:24:35Z,2026-05-26T20:24:35Z,0,"​author_2
Si conosce gia' la dinamica?
Aspettiamo un attimo prima di dare la responsabilita' a lui o altri.",UgzzSHEqUjS058P94Zl4AaABAg.AXHXJY-5oGvAXHXiOxNmEK,2,repubblica,author_116,0
UgyBe1iNRpjy7lO6pfF4AaABAg,,Y-jgvey8KRQ,False,author_59,2026-05-26T20:25:01Z,2026-05-26T20:25:01Z,0,"Siamo nel 2026 non si può e non si deve più morire sul luogo di lavoro,povero ragazzo",,0,repubblica,author_59,0
UgzkqCuVT85MSVRKXT94AaABAg,,Y-jgvey8KRQ,False,author_618,2026-05-26T20:26:54Z,2026-05-26T20:26:54Z,0,😪🙏💫,,0,repubblica,author_618,0
UgxI_3Jzudoway-XWL14AaABAg,,Y-jgvey8KRQ,False,author_299,2026-05-26T20:27:46Z,2026-05-26T20:27:46Z,1,"Povero ragazzo morire per lavoro ,non e giusto riposa in pace 🙏❤️🌻",,0,repubblica,author_299,0
Ugw6NK_5bFErXfHXTy14AaABAg,,Y-jgvey8KRQ,False,author_619,2026-05-26T20:27:54Z,2026-05-26T20:27:54Z,8,Povero figlio!!!!! Quanto dolore per questi genitori che perdono i loro figli sul lavoro 😢😢😢🙏 RIP,,0,repubblica,author_619,0
Ugw_Tbyl6veeOf7F_5J4AaABAg,,Y-jgvey8KRQ,False,author_620,2026-05-26T20:30:47Z,2026-05-26T20:30:47Z,0,R.I.P,,0,repubblica,author_620,0
UgxTj6FyolTAi_w_mgp4AaABAg,,Y-jgvey8KRQ,False,author_338,2026-05-26T20:32:29Z,2026-05-26T20:32:29Z,0,Povero ragazzo che morte atroce queste morti sul lavoro non devono succedere una 🙏a questo giovane e una 🙏anche per i genitori,,0,repubblica,author_338,0
UgwiHpfxW9A-YtqhiuJ4AaABAg,,Y-jgvey8KRQ,False,author_621,2026-05-26T20:32:48Z,2026-05-26T20:32:48Z,0,"Le realtà? Dura? Nel massimo rispetto per le vittime e per i famigliari. Non interessa a nessuno. Da anni e anni la media italiana ( x difetto) sono 3 vite al giorno. Lo sanno tutti. Ma tutto ciò che sarebbe sicurezza, x non parlare dell' idiozia a punti di questo governo, in realtà è demagogia pura. I vari coordinatori, il modo stesso con cui vengono distribuiti gli incarichi, nei cantieri e nelle fabbriche, rappresentano esclusivamente una cosa : applicare l' arte di pararsi il culo.  Punto. Muore qualcuno? Peccato, inizieranno i rimpalli. Sempre 3 cadaveri al giorno . Perché nessuno interviene realmente nella catena degli appalti, delle interferenze sui cantieri, nei crono programmi. Perché servirebbero soldi che nessuno vuole mettere. E quindi 3 oggi,  e poi 3 domani, e poi.... etc. etc.",,0,repubblica,author_621,0
UgwZrOlpZ3FyNYRyWkl4AaABAg,,Y-jgvey8KRQ,False,author_622,2026-05-26T20:47:19Z,2026-05-26T20:47:19Z,0,che disgrazia . R.I.P,,0,repubblica,author_622,0
UgwX1c6ivRgrw0sS2Hd4AaABAg,,Y-jgvey8KRQ,False,author_623,2026-05-26T20:53:41Z,2026-05-26T20:53:41Z,0,❤,,0,repubblica,author_623,0
UgwGfWN5XLVeLK8UDNh4AaABAg,,Y-jgvey8KRQ,False,author_624,2026-05-26T20:55:30Z,2026-05-26T20:55:30Z,1,"Mi dispiace troppo, un pensiero alla famigli😢. Riposa in pace❤",,0,repubblica,author_624,0
Ugxs-FGfztmopfcPZz54AaABAg,,Y-jgvey8KRQ,False,author_625,2026-05-26T21:01:19Z,2026-05-26T21:01:19Z,5,Purtroppo si accade troppo spesso.e questo mi dispiace.tantissimo.condoglianze.a tutti i famigliari.,,0,repubblica,author_625,0
UgxTuCP5qmB8V4Y0ZKt4AaABAg,,Y-jgvey8KRQ,False,author_626,2026-05-26T21:02:00Z,2026-05-26T21:02:00Z,0,🙏🙏🙏🙏🙏🙏🙏🙏🙏,,0,repubblica,author_626,0
UgzsmCH60s2EKoXN-LR4AaABAg.AXHcQQyklpoAXHl0VeVI4y,UgzsmCH60s2EKoXN-LR4AaABAg,Y-jgvey8KRQ,True,author_627,2026-05-26T21:09:47Z,2026-05-26T21:09:47Z,0,"Bravo, hai ragione da vendere… La memoria corta in questo Paese. Però abbiamo la pizza, il sole e il mare.",UgzsmCH60s2EKoXN-LR4AaABAg,1,repubblica,author_627,1
Ugzm17c-yDsEvHiY3-h4AaABAg,,Y-jgvey8KRQ,False,author_628,2026-05-26T21:13:05Z,2026-05-26T21:13:05Z,0,Vicino casa mia. Povero ragazzo e povera famiglia.,,0,repubblica,author_628,0
Ugwz0_1-pMOF2tRXpmN4AaABAg,,Y-jgvey8KRQ,False,author_629,2026-05-26T21:15:27Z,2026-05-26T21:15:27Z,0,Ennesima tragedia sul lavoro.....,,0,repubblica,author_629,0
UgyfsrWtDso7lFCSvzd4AaABAg,,Y-jgvey8KRQ,False,author_630,2026-05-26T21:28:07Z,2026-05-26T21:28:07Z,0,Poverino 😔🙏🌹🌹🌹 che disgrazia 😢,,0,repubblica,author_630,0
UgwsVasb7hTUEvewCol4AaABAg.AXH_JmTWaZ9AXHntLL40OD,UgwsVasb7hTUEvewCol4AaABAg,Y-jgvey8KRQ,True,author_631,2026-05-26T21:34:53Z,2026-05-26T21:34:53Z,0,"Buonasera, è certamente tragico e inammissibile morire sul lavoro, ma guardi che i numeri rispetto al passato sono in calo, fortunatamente.",UgwsVasb7hTUEvewCol4AaABAg,1,repubblica,author_631,0
Ugzq--3qzrP1picBU3F4AaABAg,,Y-jgvey8KRQ,False,author_632,2026-05-26T21:47:43Z,2026-05-26T21:47:43Z,0,Mi dispiace r i p,,0,repubblica,author_632,0
UgwIanKC-g_Y9qSf5L54AaABAg,,Y-jgvey8KRQ,False,author_470,2026-05-26T21:49:21Z,2026-05-26T21:49:21Z,0,"Mi raccomando al prossimo referendum sul lavoro non andate a votare, però poi piangiamo tutti sotto i post di uno nuovo poveretto morto per questo paese di merda",,0,repubblica,author_470,1
UgyaaOd7GBggRWki3il4AaABAg,,Y-jgvey8KRQ,False,author_633,2026-05-26T21:53:22Z,2026-05-26T21:53:22Z,0,"Povero ragazzo, che dispiacere",,0,repubblica,author_633,0
Ugxh6xv1asV_ZcXbPvt4AaABAg,,Y-jgvey8KRQ,False,author_634,2026-05-26T22:06:05Z,2026-05-26T22:06:05Z,1,Sfortunato ragazzo.. R. I. P condoglianze a mamma e papà..,,0,repubblica,author_634,0
UgwCpN1ljrWYTFTKqmR4AaABAg,,Y-jgvey8KRQ,False,author_635,2026-05-26T22:33:35Z,2026-05-26T22:33:35Z,1,Perché non dite il nome dell’azienda farmaceutica????,,0,repubblica,author_635,0
