comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugy336pEz8dqmLbgh5l4AaABAg,,YEDDknsAX7U,False,author_2285,2026-05-24T07:25:13Z,2026-05-24T07:25:13Z,1,Ma tutta sta gente disposta a morire Trump dove la trova ?,,0,repubblica,author_2285,1
UgwA5ZQlG5pp7uvmZ3l4AaABAg,,YEDDknsAX7U,False,author_1300,2026-05-24T07:29:26Z,2026-05-24T07:29:26Z,0,Nazione di idioti,,0,repubblica,author_1300,1
UgyWWUY-30n0sGmxkpp4AaABAg,,YEDDknsAX7U,False,author_216,2026-05-24T07:31:10Z,2026-05-24T07:31:10Z,0,"Era un pro pal. Stanno diventando pericolosi, agire subito. 

Anche con la forza.",,0,repubblica,author_216,1
UgwPOKuWwIQqx55AMv54AaABAg,,YEDDknsAX7U,False,author_2659,2026-05-24T07:32:56Z,2026-05-24T07:32:56Z,6,Ancora? 😂😂😂😂😂,,0,repubblica,author_2659,1
UgyWWUY-30n0sGmxkpp4AaABAg.AXB8k6f4W8rAXB9-dsMWIf,UgyWWUY-30n0sGmxkpp4AaABAg,YEDDknsAX7U,True,author_3067,2026-05-24T07:33:26Z,2026-05-24T07:33:26Z,0,Hahahaha finiscila clown,UgyWWUY-30n0sGmxkpp4AaABAg,1,repubblica,author_3067,1
UgzUlFhEuVr5uDaOjix4AaABAg,,YEDDknsAX7U,False,author_1607,2026-05-24T07:33:48Z,2026-05-24T07:33:48Z,2,AI GENERATE,,0,repubblica,author_1607,0
UgyWWUY-30n0sGmxkpp4AaABAg.AXB8k6f4W8rAXB93Fgq-N-,UgyWWUY-30n0sGmxkpp4AaABAg,YEDDknsAX7U,True,author_2659,2026-05-24T07:33:55Z,2026-05-24T07:33:55Z,0,Ma stai zitto asino.,UgyWWUY-30n0sGmxkpp4AaABAg,1,repubblica,author_2659,1
UgyWWUY-30n0sGmxkpp4AaABAg.AXB8k6f4W8rAXB9OKlmbOj,UgyWWUY-30n0sGmxkpp4AaABAg,YEDDknsAX7U,True,author_3068,2026-05-24T07:36:48Z,2026-05-24T07:36:48Z,0,"Come ha fatto la polizia dei paesi Baschi ieri.
Le zecche Italiote mi avevano detto che la Melona è pericolosamente fassista, mentre Sanchez....aaaaah che leader straordinario.....poi arrivano le goduriose smanganellate ai flottigliosi in aeroporto........a Bilbao.
Sto godendo e ridendo da ieri sera.",UgyWWUY-30n0sGmxkpp4AaABAg,1,repubblica,author_3068,1
UgyWWUY-30n0sGmxkpp4AaABAg.AXB8k6f4W8rAXB9Qsw_tud,UgyWWUY-30n0sGmxkpp4AaABAg,YEDDknsAX7U,True,author_68,2026-05-24T07:37:09Z,2026-05-24T07:37:09Z,0,Ecco il pedofilo!,UgyWWUY-30n0sGmxkpp4AaABAg,1,repubblica,author_68,1
UgyWWUY-30n0sGmxkpp4AaABAg.AXB8k6f4W8rAXB9XPi9Bu6,UgyWWUY-30n0sGmxkpp4AaABAg,YEDDknsAX7U,True,author_137,2026-05-24T07:38:02Z,2026-05-24T07:38:02Z,5,"Quindi il pericolo non è chi bombarda i paesi, ma chi viene bombardato... Tieni tu è caduto il naso rosso 🤡🤡🤡🤡🤡🤡",UgyWWUY-30n0sGmxkpp4AaABAg,1,repubblica,author_137,1
