comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxWiqTTpWc-Zp3ljzx4AaABAg,,Yc0lJwxrmHo,False,author_115,2026-05-27T13:13:35Z,2026-05-27T13:13:35Z,1,"Buongiorno , meno male è  giusto così  😢😢",,0,repubblica,author_115,0
UgwZnl4mwINc31OqdK54AaABAg,,Yc0lJwxrmHo,False,author_116,2026-05-27T13:15:47Z,2026-05-27T13:15:47Z,3,E altre Perle dal mondo della scuola.,,0,repubblica,author_116,1
UgyV2rpZ4HHBsHvlIVF4AaABAg,,Yc0lJwxrmHo,False,author_77,2026-05-27T14:28:21Z,2026-05-27T14:28:21Z,0,Gli studenti dormono tanto,,0,repubblica,author_77,0
UgxOM0ArFMSIkINYa6N4AaABAg,,Yc0lJwxrmHo,False,author_81,2026-05-27T14:35:26Z,2026-05-27T14:35:26Z,1,Ormai non servivano più.,,0,repubblica,author_81,1
Ugwm8dctwHWN31xFa5B4AaABAg,,Yc0lJwxrmHo,False,author_117,2026-05-27T17:42:15Z,2026-05-27T17:42:15Z,7,"Suvvia  la chiusura o no del sito non è importante, guardiamo le responsabilità serie, l’università sapeva  che quelle escursioni accadevano ? aveva dato una formale autorizzazione? se non l’aveva data la prof aveva firmato qualche foglio? Vi sono assicurazioni? Perché la docente ha portato con sé quegli studenti? A che titolo? Chi ha pagato le spese e il viaggio ? Un viaggio alle Maldive come studio non è male..quante volte la prof andava alle malvide ‘per studio’ ? Quindi da esperta sapeva della pericolosità? Penso che un Università  che ha le pezze .. che avrebbe priorità più importanti pensa alla ricerca sui fondali delle Maldive??? Inviando ogni anno quanti prof? Quanti studenti? E poi se la prof conosceva la grotta e la sua pericolosità perché lo ha portati con una bombola? Senza filo di Arianna? Una pazza? L’opinione personale che mi sono fatta e’ di una persona istruita ma con un forte ego. Mi dispiace per tutti anche per lei ma soprattutto per quei ragazzi che l’anno seguita e ancora di più per la guardia costiera  che era scesa a cercare i corpi.",,0,repubblica,author_117,1
UgwU7KooBOvgoBh7Aop4AaABAg,,Yc0lJwxrmHo,False,author_118,2026-05-27T17:56:16Z,2026-05-27T17:56:16Z,1,Gomblotto 😱😱😱,,0,repubblica,author_118,1
UgyY2YE5AulTDmtxOFt4AaABAg,,Yc0lJwxrmHo,False,author_119,2026-05-27T19:27:22Z,2026-05-27T19:27:22Z,2,"Bene, questo le ha riportate in vita?",,0,repubblica,author_119,1
UgzDfHZZ4DheKzpRfpt4AaABAg,,Yc0lJwxrmHo,False,author_120,2026-05-28T03:25:32Z,2026-05-28T03:25:32Z,0,studenti di cosa ?????,,0,repubblica,author_120,1
UgzGlFGStf12iOvODIt4AaABAg,,Yc0lJwxrmHo,False,author_121,2026-05-28T05:39:30Z,2026-05-28T05:39:30Z,2,"Come docente: finalmente il gesto di riconoscenza più bello che gli studenti potessero fare ... non riporterà in vita nessuno , ma la voce gratitudine è l'omaggio doveroso e sincero nei confronti di chi ha dato la vita per la ricerca ... 🎉🎉🎉🎉 un forte abbraccio alle famiglie e a tutti gli studenti 🎉🎉🎉",,0,repubblica,author_121,0
UgzGlFGStf12iOvODIt4AaABAg.AXLF8fWDrjQAXLQcBg-8eG,UgzGlFGStf12iOvODIt4AaABAg,Yc0lJwxrmHo,True,author_122,2026-05-28T07:19:47Z,2026-05-28T07:19:47Z,0,Concordo pienamente,UgzGlFGStf12iOvODIt4AaABAg,1,repubblica,author_122,0
Ugwm8dctwHWN31xFa5B4AaABAg.AXJy3SX5wCaAXLSqxp7vXa,Ugwm8dctwHWN31xFa5B4AaABAg,Yc0lJwxrmHo,True,author_123,2026-05-28T07:39:16Z,2026-05-28T07:39:16Z,0,"Ho avuto lo stesso suo stesso pensiero. E il giorno che che successe la disgrazia, la prima domanda che mi sono posta è stato sul filo di Arianna, perché non lo avevano?",Ugwm8dctwHWN31xFa5B4AaABAg,1,repubblica,author_123,0
Ugwm8dctwHWN31xFa5B4AaABAg.AXJy3SX5wCaAXLWQwByccx,Ugwm8dctwHWN31xFa5B4AaABAg,Yc0lJwxrmHo,True,author_124,2026-05-28T08:10:32Z,2026-05-28T08:10:32Z,0,Concordo su tutto,Ugwm8dctwHWN31xFa5B4AaABAg,1,repubblica,author_124,1
UgwZnl4mwINc31OqdK54AaABAg.AXJUZmZ10cVAXLtckN0TVP,UgwZnl4mwINc31OqdK54AaABAg,Yc0lJwxrmHo,True,author_125,2026-05-28T11:42:00Z,2026-05-28T11:42:00Z,0,"Non si tratta di scuola. Informati, magari!",UgwZnl4mwINc31OqdK54AaABAg,1,repubblica,author_125,0
Ugwm8dctwHWN31xFa5B4AaABAg.AXJy3SX5wCaAXMDeorZRnU,Ugwm8dctwHWN31xFa5B4AaABAg,Yc0lJwxrmHo,True,author_126,2026-05-28T14:45:47Z,2026-05-28T14:46:47Z,0,"Esatto parliamo delle cose serie.
E la mia impressione è che gli avvocati della famiglia vogliono evitare di parlare delle cose serie per avere un risarcimento del danno a cui probabilmente non hanno diritto.

Se diventa un caso mediatico faranno in modo di avere i soldi pur di chiudere la questione.

E Totò paga.",Ugwm8dctwHWN31xFa5B4AaABAg,1,repubblica,author_126,1
Ugwm8dctwHWN31xFa5B4AaABAg.AXJy3SX5wCaAXMEC-v-jle,Ugwm8dctwHWN31xFa5B4AaABAg,Yc0lJwxrmHo,True,author_124,2026-05-28T14:50:27Z,2026-05-28T14:50:27Z,0,Al netto della disgrazia. Magari mi sbaglio....anzi mi sbaglio....ma sento puzza di vacanza a spese del contribuente,Ugwm8dctwHWN31xFa5B4AaABAg,1,repubblica,author_124,1
