comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgwvauZAyzbz5DvE1Bl4AaABAg,,YfwPOFeY3eI,False,author_204,2026-05-27T10:31:31Z,2026-05-27T10:32:42Z,0,"È un antisionista, cioè un razzista, mascherato, agito da satana,usa parole diverse con lo stesso conte nuto....Enti che hanno un corpo da esseri umani ma con  il cuore e l' intelletto di satana Vorrei dire a questi imperdonabili personaggi,si guardino allo specchio e si ripetano all' infinito per 4000 anni siamo un popolo di mafiosi Ci sarà sempre qualcuno che parlerà di Falcone,ma il danno è fatto",,0,repubblica,author_204,1
UgzuXehN4dA_sb8K-5F4AaABAg,,YfwPOFeY3eI,False,author_205,2026-05-27T10:31:40Z,2026-05-27T10:31:40Z,2,Perché non cambi mestiere 🤣🤣🤣🤣🤣🏴🇮🇹🏴🇮🇹🏴🇮🇹,,0,repubblica,author_205,1
UgwuTTuJjOBoainDuIJ4AaABAg,,YfwPOFeY3eI,False,author_206,2026-05-27T10:39:46Z,2026-05-27T10:39:46Z,16,Condivido l'albergatore non si può più fare finta di niente!!!,,0,repubblica,author_206,1
Ugzk2HrX0AaqVr69k8B4AaABAg,,YfwPOFeY3eI,False,author_52,2026-05-27T10:39:50Z,2026-05-27T10:39:50Z,0,Non si capisce bene che cavolo centrano quelle bandiere.,,0,repubblica,author_52,0
UgxaYrSFkiizEMFusL54AaABAg,,YfwPOFeY3eI,False,author_207,2026-05-27T10:43:12Z,2026-05-27T10:43:12Z,11,Bravissimo  l'albergatore,,0,repubblica,author_207,0
UgxzeErb4BqTiBjFTrJ4AaABAg,,YfwPOFeY3eI,False,author_208,2026-05-27T10:46:54Z,2026-05-27T10:46:54Z,1,I giornalai e i politici sono quelli che ti mettono in queste situazioni...Vergogna,,0,repubblica,author_208,0
Ugw-v8oHc12lIeYajgx4AaABAg,,YfwPOFeY3eI,False,author_209,2026-05-27T10:47:19Z,2026-05-27T10:47:19Z,10,"Giusto,ognuno di noi non deve voltarsi dall'altra parte,prendere posizione contro il governo criminale di Israele è d'obbligo, visto che i politici sono pavidi su questo argomento la popolazione deve farsi sentire e stare dalla parte degli oppressi e non come anche certi giornali che stanno dalla parte degli oppressori",,0,repubblica,author_209,1
UgwfZozEIK80xnqPkYp4AaABAg,,YfwPOFeY3eI,False,author_210,2026-05-27T10:47:39Z,2026-05-27T10:47:39Z,5,Mi stupiscono queste prese di posizione mentre per altre tragedie nel mondo si fa finta di niente. Ormai c'è crétinisme di massa.,,0,repubblica,author_210,1
Ugzj2hA3vvBkR3kPAMB4AaABAg,,YfwPOFeY3eI,False,author_208,2026-05-27T10:55:59Z,2026-05-27T10:55:59Z,3,Giusta risposta,,0,repubblica,author_208,1
UgyQWr0DqEEXSCBR3-h4AaABAg,,YfwPOFeY3eI,False,author_211,2026-05-27T10:57:22Z,2026-05-27T10:57:22Z,0,"Ha ragione lui, perché dovrebbe rischiare il buon nome dell'agriturismo, ospitando una Sionista, basterebbe che lei dichiarasse di non esserlo, in fondo è una struttura privata, ed in un caso simile, il non volere ospitare una potenziale Sionista terrorista Israeliana, giustifica ampiamente la scelta del titolare.",,0,repubblica,author_211,1
UgyPnCdWm2TZ3HtnWCl4AaABAg,,YfwPOFeY3eI,False,author_212,2026-05-27T10:58:00Z,2026-05-27T10:58:00Z,0,Il popolo israeliano è anche stufo ogni tanto c'è qualcuno che vuole distruggere Israele basta. Sono stufi incattiviti,,0,repubblica,author_212,1
Ugz0O_tJ2UGQezIgcId4AaABAg,,YfwPOFeY3eI,False,author_213,2026-05-27T11:00:51Z,2026-05-27T11:00:51Z,9,Tutta la mia stima a questo albergatore avrei fatto lo stesso,,0,repubblica,author_213,1
UgwfZozEIK80xnqPkYp4AaABAg.AXJDbov-K3eAXJF9iMUWsJ,UgwfZozEIK80xnqPkYp4AaABAg,YfwPOFeY3eI,True,author_214,2026-05-27T11:01:09Z,2026-05-27T11:01:37Z,0,Adesso la colpa è dell'albergatore se non prende posizione alle altre tragedie del mondo? Il cretinisme di massa è di chi non comprende l'informazione a doppi standard che i mass media danno alle masse. In questo caso abbiamo uno stato criminale genocida e nazista come Israele e un occidente altrettanto criminale e nazista che lo difende e che è la causa diretta e indiretta di tutte le altre tragedie che ci sono al mondo.,UgwfZozEIK80xnqPkYp4AaABAg,1,repubblica,author_214,1
UgyPnCdWm2TZ3HtnWCl4AaABAg.AXJEndIROSwAXJFQO1uJ1l,UgyPnCdWm2TZ3HtnWCl4AaABAg,YfwPOFeY3eI,True,author_213,2026-05-27T11:03:26Z,2026-05-27T11:03:26Z,0,"Io sono stufo di chi fa finta di niente si dice indignato ma sommessamente appoggia il governo di Netanyahu,ben gvir, non ultimo erri de luca che a confessato d'essere sionista questa gente e gente senza moralità come Lei",UgyPnCdWm2TZ3HtnWCl4AaABAg,1,repubblica,author_213,1
Ugz0f96EdiLbKt3Q-3R4AaABAg,,YfwPOFeY3eI,False,author_104,2026-05-27T11:05:25Z,2026-05-27T11:05:25Z,5,"Ha ragione...a casa sua, anche se a pagamento...ospita chi vuole !",,0,repubblica,author_104,1
UgwuTTuJjOBoainDuIJ4AaABAg.AXJCi5pcW2mAXJGDcj2y0c,UgwuTTuJjOBoainDuIJ4AaABAg,YfwPOFeY3eI,True,author_158,2026-05-27T11:10:26Z,2026-05-27T11:10:26Z,0,Che vada a cagare l albergatore...si faccia i cazzi dell italia...!!!,UgwuTTuJjOBoainDuIJ4AaABAg,1,repubblica,author_158,1
UgzuonBaDnVrgQNiX6B4AaABAg,,YfwPOFeY3eI,False,author_158,2026-05-27T11:11:43Z,2026-05-27T11:11:43Z,0,FATEVI a cazzi vostri e imparate a guardare e migliorare il vostro paese che è L ITALIAAAAA...!!!,,0,repubblica,author_158,1
UgzSelHRczD-kwaAVut4AaABAg,,YfwPOFeY3eI,False,author_215,2026-05-27T11:12:04Z,2026-05-27T11:12:04Z,1,"E basta con l' alibi 
dell' antisemitismo!
Da quado Israele e' diventato uno stato nazista e terrorista 
l' unico ad essere amtisemita e' Netanyahu (e chi lo segue) con la sua ferocia verso i palestinesi che sono anch' essi semiti!",,0,repubblica,author_215,1
UgyjwgbRb5HOkvGODxt4AaABAg,,YfwPOFeY3eI,False,author_216,2026-05-27T11:17:58Z,2026-05-27T11:17:58Z,0,"Ahahahah FASCISTI!

PEGGIO DEL VENTENNIO. 
INTANTO IN GENOCIDIO IN UCRAINA CHI SE NE CURA? I BAMBINI UCRAINI SONO NAZISTI PURE LORO?",,0,repubblica,author_216,1
UgwehnXgqLdTVtggilZ4AaABAg,,YfwPOFeY3eI,False,author_217,2026-05-27T11:26:24Z,2026-05-27T11:26:24Z,2,Bravissimo 👏👏👏,,0,repubblica,author_217,0
UgyID_0H3KS889ZpNEt4AaABAg,,YfwPOFeY3eI,False,author_218,2026-05-27T11:28:20Z,2026-05-27T11:28:20Z,0,Magari è amico dei terroristi di Hamas... spero che succeda qualcosa a questo genio Pro PAL e che chiuda la sua attività presto....un conto il Governo Israeliano infame da sempre....un conto il popolo ebraico....,,0,repubblica,author_218,1
UgyID_0H3KS889ZpNEt4AaABAg.AXJIGkpgb_WAXJIp5dfShA,UgyID_0H3KS889ZpNEt4AaABAg,YfwPOFeY3eI,True,author_213,2026-05-27T11:33:09Z,2026-05-27T11:33:09Z,0,"Mi sembra abbia abbondantemente specificato questo host cos'è che chiedeva a questa famiglia Israeliana,comitiva, questo albergatore ed e se hanno simpatie per il governo Netanyahu per quello che sta perpetrando,mi ripeterò avrei fatto lo stesso chiedere e un diritto rispondere e educazione",UgyID_0H3KS889ZpNEt4AaABAg,1,repubblica,author_213,0
UgwyUmwUHLbeWcqffQB4AaABAg,,YfwPOFeY3eI,False,author_24,2026-05-27T11:38:12Z,2026-05-27T11:38:12Z,0,Razzista vergogna,,0,repubblica,author_24,1
UgyID_0H3KS889ZpNEt4AaABAg.AXJIGkpgb_WAXJJ_iPqozg,UgyID_0H3KS889ZpNEt4AaABAg,YfwPOFeY3eI,True,author_218,2026-05-27T11:39:48Z,2026-05-27T11:39:48Z,0,​author_7616 ha senso...ha voluto fare il fenomeno come tanti PROPAL... perché non gli chiedono se appoggia Hamas? Spero fallisca al più presto,UgyID_0H3KS889ZpNEt4AaABAg.AXJIGkpgb_WAXJIp5dfShA,2,repubblica,author_218,1
UgwriACPh_7_rgdhsfZ4AaABAg,,YfwPOFeY3eI,False,author_219,2026-05-27T11:45:55Z,2026-05-27T11:45:55Z,4,Se svolgi un servizio pubblico non ne hai il diritto. Cosa diresti se nel paese x un albergatore vedendo il tuo passaporto ti chiedesse se sei mafioso?,,0,repubblica,author_219,1
