comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgxKJoU5dqXwyWP6euJ4AaABAg,,at3B5bmCJFc,False,author_880,2026-05-25T17:16:16Z,2026-05-25T17:16:16Z,4,L’ essere soddisfatto della prestazione dei giocatori gridava licenziamento. Magari lo ha detto pure apposta.,,0,repubblica,author_880,0
UgzQVVir998l3E0dCVB4AaABAg,,at3B5bmCJFc,False,author_1836,2026-05-25T17:48:53Z,2026-05-25T17:48:53Z,1,Spero che diventi lui allenatore della italia,,0,repubblica,author_1836,0
Ugw3gm-fJXFZCbmlK694AaABAg,,at3B5bmCJFc,False,author_76,2026-05-25T18:20:42Z,2026-05-25T18:20:42Z,0,Che faccia da pirlx,,0,repubblica,author_76,1
Ugw9ISpf7ryhxa1EY5d4AaABAg,,at3B5bmCJFc,False,author_1837,2026-05-25T18:30:53Z,2026-05-25T18:30:53Z,2,Era ora che lo cacciassero il problema è che ora andrà alla Nazionale.....quarto mondiale eliminati? Probabile....magari andasse all'estero.....ma chi se lo prende? 😂😂😂,,0,repubblica,author_1837,1
UgyYbzIxWKcvm0JpyvN4AaABAg,,at3B5bmCJFc,False,author_1838,2026-05-25T18:46:47Z,2026-05-25T18:46:47Z,1,Grande allegri ai fatto bene 🤟🎸🎸 buona fortuna,,0,repubblica,author_1838,0
Ugw_iRdBOAxcu2wYOxF4AaABAg,,at3B5bmCJFc,False,author_1839,2026-05-25T19:00:43Z,2026-05-25T19:00:43Z,0,In sardegna cercano persone per muggere nandate allegri lui a rovinato il calcio in italia😅😅😅😅,,0,repubblica,author_1839,1
Ugy5hnOEvYl1JjaYX-94AaABAg,,at3B5bmCJFc,False,author_683,2026-05-25T21:04:57Z,2026-05-25T21:04:57Z,0,Ritirati,,0,repubblica,author_683,1
Ugz8pRt858h0Gbmz9mh4AaABAg,,at3B5bmCJFc,False,author_1840,2026-05-25T22:08:07Z,2026-05-25T22:08:07Z,0,Horto muso il comò,,0,repubblica,author_1840,1
UgzIH1LCFzfPT1yd-2F4AaABAg,,at3B5bmCJFc,False,author_111,2026-05-25T22:08:13Z,2026-05-25T22:08:13Z,1,"La dirigenza del Milan, dovrebbe licenziarsi in tronco. Fallimentare su tutti i fronti. Non hanno creato una squadra ma un'accozzaglia, un agglomerato di mercenari. Il Milan con il vivaio, con un nucleo di giovani italiani e con l'inserimento di pochi ma ottimi stranieri, ha vinto tutto.",,0,repubblica,author_111,1
UgyMLuD4Cws7ydLDcXl4AaABAg,,at3B5bmCJFc,False,author_1841,2026-05-26T06:53:20Z,2026-05-26T06:53:20Z,2,"Ho pregato che si perdesse col Cagliari per non rinnovare ad un incapace sopravvalutato da sempre. 
Adesso si può ripartire",,0,repubblica,author_1841,1
UgzQVVir998l3E0dCVB4AaABAg.AXEpECVzKVyAXGkr7s0MIO,UgzQVVir998l3E0dCVB4AaABAg,at3B5bmCJFc,True,author_1837,2026-05-26T11:49:07Z,2026-05-26T11:49:07Z,0,Sulla base di quali capacità....ha vinto solo in italia quindi ci aspettano altre eliminazioni varie😂😂,UgzQVVir998l3E0dCVB4AaABAg,1,repubblica,author_1837,1
UgyMLuD4Cws7ydLDcXl4AaABAg.AXGE-iEyjPqAXHP2PiS-yC,UgyMLuD4Cws7ydLDcXl4AaABAg,at3B5bmCJFc,True,author_1842,2026-05-26T17:49:04Z,2026-05-26T17:49:04Z,0,dovevano cacciarlo a gennaio....ci ha preso x il culo tutti. . a MAI PIÙ,UgyMLuD4Cws7ydLDcXl4AaABAg,1,repubblica,author_1842,1
