comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugz6o2HxsBR8x3ZhcVJ4AaABAg,,h_a5q4ESe98,False,author_2603,2026-05-24T12:53:15Z,2026-05-24T12:53:15Z,17,Un'altra cosa che non fa male a nessuno ma contraria agli innumerevoli record in negativo di questo governo 😂😂😂,,0,repubblica,author_2603,0
Ugxb4WJicuXQ--DVW4N4AaABAg,,h_a5q4ESe98,False,author_2604,2026-05-24T12:57:55Z,2026-05-24T12:57:55Z,1,Risibile😂😂😂😂,,0,repubblica,author_2604,0
UgxhvVfsZy3I_lmgGqp4AaABAg,,h_a5q4ESe98,False,author_616,2026-05-24T12:58:10Z,2026-05-24T12:58:10Z,0,🙆🏻,,0,repubblica,author_616,0
Ugw7mbCTKLU7GVg9o-R4AaABAg,,h_a5q4ESe98,False,author_2605,2026-05-24T13:00:37Z,2026-05-24T13:00:37Z,17,"Bellissima idea, il mondo non è bianco e nero, ma è un arcobaleno di colori.",,0,repubblica,author_2605,0
UgxTCWkwib4MCqgZUo54AaABAg,,h_a5q4ESe98,False,author_173,2026-05-24T13:15:54Z,2026-05-24T13:15:54Z,2,"Forse pensano che siamo ignoranti,ma che spreco di soldi pubblici😂😢😂",,0,repubblica,author_173,0
Ugx4Fw4G8GYzqYENddV4AaABAg,,h_a5q4ESe98,False,author_2606,2026-05-24T13:24:53Z,2026-05-24T13:24:53Z,4,Che male può fare.. quando si ha voglia si cerca libero no,,0,repubblica,author_2606,0
UgxVoluz8VyLsVP_dxh4AaABAg,,h_a5q4ESe98,False,author_215,2026-05-24T13:27:09Z,2026-05-24T13:27:09Z,3,Forte!!!😂,,0,repubblica,author_215,0
UgxTCWkwib4MCqgZUo54AaABAg.AXBlC-EYPn_AXBnC56HX7v,UgxTCWkwib4MCqgZUo54AaABAg,h_a5q4ESe98,True,author_2607,2026-05-24T13:33:23Z,2026-05-24T13:33:23Z,3,Infatti meglio che i politici se li intascano vero,UgxTCWkwib4MCqgZUo54AaABAg,1,repubblica,author_2607,1
UgzeRxSNIddTFZ54k_94AaABAg,,h_a5q4ESe98,False,author_1985,2026-05-24T13:35:07Z,2026-05-24T13:35:07Z,1,"Devo andare a pisciargli per terra nel cesso. Poi se mi dicono qualcosa gli risponderò che ero confuso, a sta banda di patetici deficenti 😂😂😂😂",,0,repubblica,author_1985,1
Ugw7mbCTKLU7GVg9o-R4AaABAg.AXBjS2Ud4BrAXBnQnW7H-H,Ugw7mbCTKLU7GVg9o-R4AaABAg,h_a5q4ESe98,True,author_1985,2026-05-24T13:35:24Z,2026-05-24T13:35:24Z,3,"Posa il fiasco, va là 😂😂😂",Ugw7mbCTKLU7GVg9o-R4AaABAg,1,repubblica,author_1985,1
UgxFQVVSlrZXUgw6h094AaABAg,,h_a5q4ESe98,False,author_27,2026-05-24T13:37:39Z,2026-05-24T13:37:39Z,0,Cattivoni fate tanto male al vaticano e alla sua cricca di depravati (Veri)😂,,0,repubblica,author_27,1
UgxTCWkwib4MCqgZUo54AaABAg.AXBlC-EYPn_AXBoEwbknWa,UgxTCWkwib4MCqgZUo54AaABAg,h_a5q4ESe98,True,author_173,2026-05-24T13:42:31Z,2026-05-24T13:42:31Z,0,​author_7504 investirli in qualcosa di più U TILE,UgxTCWkwib4MCqgZUo54AaABAg.AXBlC-EYPn_AXBnC56HX7v,2,repubblica,author_173,1
UgxTCWkwib4MCqgZUo54AaABAg.AXBlC-EYPn_AXBqOvFntVh,UgxTCWkwib4MCqgZUo54AaABAg,h_a5q4ESe98,True,author_2608,2026-05-24T14:01:21Z,2026-05-24T14:01:21Z,2,Farebbe meglio a scandalizzarsi il signor  Rossi sul nome  del fascista Almirante dato a una via della città di grosseto deciso proprio dalla giunta comunale di cui fa parte.,UgxTCWkwib4MCqgZUo54AaABAg,1,repubblica,author_2608,1
Ugx_c8wdifUDL1dOpgR4AaABAg,,h_a5q4ESe98,False,author_30,2026-05-24T14:59:49Z,2026-05-24T15:03:28Z,0,"Inutile e diseducativo. Non siamo in un film, siamo a scuola. Soprattutto le scritte vanno prima in italiano.",,0,repubblica,author_30,1
Ugw7mbCTKLU7GVg9o-R4AaABAg.AXBjS2Ud4BrAXBxDyCfxIP,Ugw7mbCTKLU7GVg9o-R4AaABAg,h_a5q4ESe98,True,author_2605,2026-05-24T15:01:02Z,2026-05-24T15:01:02Z,0,"​Tu posa il fiasco in un mondo pieno di violenza, con gli adolescenti che girano col coltello. In famiglia si ammazzano tra loro non c'è più rispetto per nessuno. Questo è ciò che dovrebbe scandalizzare.",Ugw7mbCTKLU7GVg9o-R4AaABAg,1,repubblica,author_2605,1
Ugz15F0ceM08Qo3crph4AaABAg,,h_a5q4ESe98,False,author_41,2026-05-24T15:56:30Z,2026-05-24T15:56:30Z,0,"Io mi sento un albero e non è indicato, a morte!",,0,repubblica,author_41,0
Ugw7mbCTKLU7GVg9o-R4AaABAg.AXBjS2Ud4BrAXC34m2tNf6,Ugw7mbCTKLU7GVg9o-R4AaABAg,h_a5q4ESe98,True,author_756,2026-05-24T16:00:56Z,2026-05-24T16:00:56Z,0,"​author_7505 tardi, ormai lo ha svuotato",Ugw7mbCTKLU7GVg9o-R4AaABAg.AXBjS2Ud4BrAXBnQnW7H-H,2,repubblica,author_756,0
Ugxx2j3be7D3HRF5i2x4AaABAg,,h_a5q4ESe98,False,author_41,2026-05-24T16:03:03Z,2026-05-24T16:03:03Z,0,🤡,,0,repubblica,author_41,1
UgxYBfaMfBHC0rolm0R4AaABAg,,h_a5q4ESe98,False,author_1044,2026-05-24T16:59:00Z,2026-05-24T16:59:00Z,0,Spero arrivi presto una dittatura stile Corea del Nord,,0,repubblica,author_1044,1
UgwaNcYpKpP6OROy6UV4AaABAg,,h_a5q4ESe98,False,author_2609,2026-05-24T17:03:53Z,2026-05-24T17:03:53Z,2,che carino!,,0,repubblica,author_2609,0
Ugz6jB47mfMll0cl60l4AaABAg,,h_a5q4ESe98,False,author_778,2026-05-24T17:42:47Z,2026-05-24T17:42:47Z,0,Voglio vedere una ragazza che entra e c'è la tazza pisciata da un uomo. 😂 concettualmente bellissimo per carità.,,0,repubblica,author_778,1
UgyPpFlJ0GNoCpe02QR4AaABAg,,h_a5q4ESe98,False,author_188,2026-05-24T18:04:38Z,2026-05-24T18:04:38Z,0,Dillo senza piangere la prossima volta Fabrí,,0,repubblica,author_188,1
UgyavWqCT5SkeLK02UN4AaABAg,,h_a5q4ESe98,False,author_104,2026-05-24T18:29:44Z,2026-05-24T18:29:44Z,1,A destra...tanti insulsi: non capiscono l' ironia...😂...il brutto è che prendendo le cose troppo sul serio...come il loro ispiratore...finisce tutto malissimo...😢,,0,repubblica,author_104,0
