comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugy5ud3vUoFiWvYJLhl4AaABAg,,mRdPB7E-MeI,False,author_129,2026-05-26T09:34:42Z,2026-05-26T09:34:42Z,1,"Complimenti a lei, se è riuscita davvero a tappare i buchi di bilancio che gli, stessi suoi colleghi le han lasciato.... Però senza nuove tasse, sennò saremmo capaci tutti",,0,repubblica,author_129,0
Ugz90g1j-wrOYj3Vhp54AaABAg,,mRdPB7E-MeI,False,author_1591,2026-05-26T09:38:44Z,2026-05-26T09:38:44Z,4,Perché non commentate anche la vittoria del centro destra a Venezia?????????????,,0,repubblica,author_1591,0
UgwAp3Yoc-cDYPLXweh4AaABAg,,mRdPB7E-MeI,False,author_1592,2026-05-26T09:41:17Z,2026-05-26T09:41:17Z,1,Bene brava speriamo che continui,,0,repubblica,author_1592,0
Ugz90g1j-wrOYj3Vhp54AaABAg.AXGWwBhLxcJAXGXIW9N3jY,Ugz90g1j-wrOYj3Vhp54AaABAg,mRdPB7E-MeI,True,author_188,2026-05-26T09:41:55Z,2026-05-26T09:41:55Z,7,Perché questo è l'articolo sulla vittoria del centrosinistra ad Andria,Ugz90g1j-wrOYj3Vhp54AaABAg,1,repubblica,author_188,0
UgzG0GIXPTAzpKRHB-h4AaABAg,,mRdPB7E-MeI,False,author_1593,2026-05-26T09:43:11Z,2026-05-26T09:43:11Z,4,Queste sono le donne che svolgono bene il loro lavoro e mantengono le promesse👏👏👏,,0,repubblica,author_1593,0
Ugz90g1j-wrOYj3Vhp54AaABAg.AXGWwBhLxcJAXGXzSNbGQ2,Ugz90g1j-wrOYj3Vhp54AaABAg.AXGWwBhLxcJAXGXIW9N3jY,mRdPB7E-MeI,True,author_1591,2026-05-26T09:47:55Z,2026-05-26T09:47:55Z,1,​author_188😮ma per favore va',Ugz90g1j-wrOYj3Vhp54AaABAg.AXGWwBhLxcJAXGXIW9N3jY,2,repubblica,author_1591,1
Ugx8ushW23w_sDAKdwp4AaABAg,,mRdPB7E-MeI,False,author_474,2026-05-26T09:48:31Z,2026-05-26T09:48:31Z,4,"Complimenti alla signora evidentemente è una donna capace. Però voi siete un giornale di pagliacci incapaci di essere obbiettivi. A Venezia la svizzerotta che quando parla è incomprensibile, aveva dichiarato in italiano semplice che da Venezia avrebbe mandato via il governo, com'è che non scrivere nulla su questo fallimento? A Reggio di Calabria dopo 12 anni la giunta di sx è stata mandata a casa al primo turno e di questo non scrivete nulla? Enfatizzate solo quello che è funzionale alla VS propaganda, un bel giornale siete😂😂😂😂",,0,repubblica,author_474,1
Ugx8ushW23w_sDAKdwp4AaABAg.AXGY2oM6TxuAXGYwWO-jA0,Ugx8ushW23w_sDAKdwp4AaABAg,mRdPB7E-MeI,True,author_1594,2026-05-26T09:56:15Z,2026-05-26T09:56:15Z,4,"Ma vi volete mettere in testa che la politica non è tifo da stadio tra sinistra e destra, che tra l'altro ormai sono solo concetti? È agghiaccante vedere commenti così, trattate la politica come se foste allo stadio mentre il Paese è al collasso tra tasse, costi dell'energia e pensioni. Voi siete lo schifo che è diventata l'Italia oggi. Polarizzate il dibattito al punto che l'obiettivo non è più migliorare il Paese ma battere la sinistra o la destra di turno.",Ugx8ushW23w_sDAKdwp4AaABAg,1,repubblica,author_1594,1
Ugz90g1j-wrOYj3Vhp54AaABAg.AXGWwBhLxcJAXGZgks1Udp,Ugz90g1j-wrOYj3Vhp54AaABAg,mRdPB7E-MeI,True,author_785,2026-05-26T10:02:51Z,2026-05-26T10:02:51Z,0,Meno punti interrogativi. Venezia is not Italy..Un bel.muro a Barberino e via...,Ugz90g1j-wrOYj3Vhp54AaABAg,1,repubblica,author_785,1
UgwLEX-9iMfQrVZ7mgR4AaABAg,,mRdPB7E-MeI,False,author_83,2026-05-26T10:27:45Z,2026-05-26T10:27:45Z,12,Andria paese della Puglia ad altissima densità mafiosa… il pd ci va a nozze,,0,repubblica,author_83,1
UgwYXVIDKjF3Q20olVF4AaABAg,,mRdPB7E-MeI,False,author_1595,2026-05-26T10:29:29Z,2026-05-26T10:29:29Z,6,povera citta mia 😞,,0,repubblica,author_1595,0
Ugx8ushW23w_sDAKdwp4AaABAg.AXGY2oM6TxuAXGom2dS9UD,Ugx8ushW23w_sDAKdwp4AaABAg.AXGY2oM6TxuAXGYwWO-jA0,mRdPB7E-MeI,True,author_474,2026-05-26T12:23:23Z,2026-05-26T12:23:23Z,0,​author_7620 ne spara di cazzate il paese al collasso 😂😂😂😂😂😂😂😂,Ugx8ushW23w_sDAKdwp4AaABAg.AXGY2oM6TxuAXGYwWO-jA0,2,repubblica,author_474,1
Ugx8ushW23w_sDAKdwp4AaABAg.AXGY2oM6TxuAXGpgmw53ja,Ugx8ushW23w_sDAKdwp4AaABAg,mRdPB7E-MeI,True,author_1596,2026-05-26T12:31:24Z,2026-05-26T12:31:24Z,0,Auguri🤦‍♀️,Ugx8ushW23w_sDAKdwp4AaABAg,1,repubblica,author_1596,0
Ugz90g1j-wrOYj3Vhp54AaABAg.AXGWwBhLxcJAXGptj7T13_,Ugz90g1j-wrOYj3Vhp54AaABAg,mRdPB7E-MeI,True,author_188,2026-05-26T12:33:10Z,2026-05-26T12:33:10Z,0,​author_1591 è fattuale. Ora torna a giocare a Candy Crash.,Ugz90g1j-wrOYj3Vhp54AaABAg,1,repubblica,author_188,1
UgwLEX-9iMfQrVZ7mgR4AaABAg.AXGbYANBIa6AXHLCahbgrU,UgwLEX-9iMfQrVZ7mgR4AaABAg,mRdPB7E-MeI,True,author_83,2026-05-26T17:15:30Z,2026-05-26T17:15:30Z,0,author_7621 pd e destra onestamente su corruzione e mafia sono uguali,UgwLEX-9iMfQrVZ7mgR4AaABAg,1,repubblica,author_83,1
Ugy0Ugq-n72iNT40Lr94AaABAg,,mRdPB7E-MeI,False,author_236,2026-05-26T19:08:13Z,2026-05-26T19:08:13Z,0,Che culo che avete cittadini di Andria 😂😂😂😂😂buona fortuna 🎉,,0,repubblica,author_236,1
UgwpX9gkoX1sPc26x_p4AaABAg,,mRdPB7E-MeI,False,author_1597,2026-05-26T20:52:55Z,2026-05-26T20:52:55Z,1,"Questa tra due mesi è indagata per corruzione, falso ideologico e chi più ne ha. .ne metta",,0,repubblica,author_1597,1
Ugz231uBhwllMFQ-hv14AaABAg,,mRdPB7E-MeI,False,author_244,2026-05-26T21:07:09Z,2026-05-26T21:07:09Z,1,Carina,,0,repubblica,author_244,0
Ugx8ushW23w_sDAKdwp4AaABAg.AXGY2oM6TxuAXHp3pjGBFK,Ugx8ushW23w_sDAKdwp4AaABAg,mRdPB7E-MeI,True,author_1598,2026-05-26T21:45:11Z,2026-05-26T21:45:11Z,1,I giornalisti della destra fanno peggio,Ugx8ushW23w_sDAKdwp4AaABAg,1,repubblica,author_1598,1
UgwpX9gkoX1sPc26x_p4AaABAg.AXHj51ojkuOAXHtcRnDwDF,UgwpX9gkoX1sPc26x_p4AaABAg,mRdPB7E-MeI,True,author_1599,2026-05-26T22:25:00Z,2026-05-26T22:25:00Z,0,😂😂😂😂😂,UgwpX9gkoX1sPc26x_p4AaABAg,1,repubblica,author_1599,0
UgwpX9gkoX1sPc26x_p4AaABAg.AXHj51ojkuOAXHu7Mg496z,UgwpX9gkoX1sPc26x_p4AaABAg,mRdPB7E-MeI,True,author_1599,2026-05-26T22:29:21Z,2026-05-26T22:29:21Z,0,"Si mo viene il bello,sai quanti ne sentiremo o che sia di destra o sinistra sono 2 facce sulla stessa medaglia. 
Il problema è di questi defficienti,che un po il sistema non è cambiato ma se ribellato.
Dopo una settimana cominciano a uscire i nomi di quelli che hanno fatto,voto di scambio mafioso. 
Fra una settimana cominciamo a ridere noi.",UgwpX9gkoX1sPc26x_p4AaABAg,1,repubblica,author_1599,1
UgzG0GIXPTAzpKRHB-h4AaABAg.AXGXRlkEc6DAXI3pctWdO4,UgzG0GIXPTAzpKRHB-h4AaABAg,mRdPB7E-MeI,True,author_41,2026-05-27T00:02:55Z,2026-05-27T00:02:55Z,0,Vedremo...,UgzG0GIXPTAzpKRHB-h4AaABAg,1,repubblica,author_41,0
Ugz90g1j-wrOYj3Vhp54AaABAg.AXGWwBhLxcJAXI3w8j2qsE,Ugz90g1j-wrOYj3Vhp54AaABAg.AXGWwBhLxcJAXGZgks1Udp,mRdPB7E-MeI,True,author_41,2026-05-27T00:03:48Z,2026-05-27T00:03:48Z,0,"​author_7622, anche da Roma in giù ..",Ugz90g1j-wrOYj3Vhp54AaABAg.AXGWwBhLxcJAXGZgks1Udp,2,repubblica,author_41,1
Ugx8ushW23w_sDAKdwp4AaABAg.AXGY2oM6TxuAXI48zQSrpz,Ugx8ushW23w_sDAKdwp4AaABAg,mRdPB7E-MeI,True,author_41,2026-05-27T00:05:42Z,2026-05-27T00:05:42Z,0,"Capace di cosa, è stata votata e basta, ancora deve dimostrare...🤡",Ugx8ushW23w_sDAKdwp4AaABAg,1,repubblica,author_41,1
Ugy5ud3vUoFiWvYJLhl4AaABAg.AXGWTdYQapDAXIOxikIMwH,Ugy5ud3vUoFiWvYJLhl4AaABAg,mRdPB7E-MeI,True,author_126,2026-05-27T03:07:31Z,2026-05-27T03:07:31Z,0,"Per 10 anni ad Andria prima di Giovanna Bruno il sindaco è stato di Forza Italia, e due volte il comune è stato commissariato.
Quindi perché dici che i buchi nei conti li ha fatti il centrosinistra?

Giovanna Bruno in un solo mandato ha risanato i conti pubblici, e per questo ha preso l 80% nel mandato successivo.

Ce la fai a constatare la realtà dei fatti oppure la tua testa è al limite della sua capienza?",Ugy5ud3vUoFiWvYJLhl4AaABAg,1,repubblica,author_126,1
