comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugw99MWc8KSibEXJfFx4AaABAg,,sQpOan3bpv0,False,author_104,2026-05-25T06:06:51Z,2026-05-25T06:06:51Z,3,Lo sappiamo...non ripristinano il calcio.... tendenzialmente lo tengono ai livelli iniziali della terapia...che di solito si inizia già tardi ..anche i bifosfonati non riparano l' osso.: lo mantengono e non lo fanno degradare,,0,repubblica,author_104,0
UgxrNES8UZPAJYXa55d4AaABAg,,sQpOan3bpv0,False,author_215,2026-05-25T07:56:44Z,2026-05-25T07:56:44Z,7,Anche la medicina dice tutto e il contrario di tutto??????😮,,0,repubblica,author_215,0
UgxggvA4TtdGHzTduAp4AaABAg,,sQpOan3bpv0,False,author_2273,2026-05-25T08:16:09Z,2026-05-25T08:16:09Z,5,"Dopo i vaccini coviddi che servivano solo per gli effetti avversi, non mi meraviglio di niente di questi pseudo scienziati asserviti alle lobby farmaceutiche",,0,repubblica,author_2273,1
UgxggvA4TtdGHzTduAp4AaABAg.AXDngT0ooc4AXDvgCjtS8B,UgxggvA4TtdGHzTduAp4AaABAg,sQpOan3bpv0,True,author_336,2026-05-25T09:26:02Z,2026-05-25T09:26:02Z,0,Grazie. ❤❤❤,UgxggvA4TtdGHzTduAp4AaABAg,1,repubblica,author_336,0
UgxRcckQo8OrxasjHwh4AaABAg,,sQpOan3bpv0,False,author_2274,2026-05-25T09:29:50Z,2026-05-25T09:29:50Z,3,Titoli così andrebbero segnalati all'ordine: uno studio deve essere discusso prima di essere accettato dalla comunità medica. Ammettiamo che sia vero il contrario: grazie al vostro titolo orde di pazienti rifiuteranno di  prendere farmaci utili.,,0,repubblica,author_2274,1
UgxggvA4TtdGHzTduAp4AaABAg.AXDngT0ooc4AXEIDrV9n0E,UgxggvA4TtdGHzTduAp4AaABAg,sQpOan3bpv0,True,author_2275,2026-05-25T12:51:44Z,2026-05-25T12:51:44Z,0,Ci sono tanti santoni e cartomanti in rete...rivolgetevi a loro,UgxggvA4TtdGHzTduAp4AaABAg,1,repubblica,author_2275,1
UgyaF6ut-J5ieUyfkct4AaABAg,,sQpOan3bpv0,False,author_1860,2026-05-25T16:01:24Z,2026-05-25T16:01:24Z,0,"Non è solo L integrazione ma anche la mobilità e l attività fisica se hai il culo moscio puoi bombarti tutta vitamina d  che vuoi non serve ,  dopo una certa età mobilità e esercizi di equilibrio vanno integrati quotidianamente basta esercitarsi  i sicurezza seguiti da un personal trainer e si risparmia in medicine e incidenti",,0,repubblica,author_1860,0
UgxggvA4TtdGHzTduAp4AaABAg.AXDngT0ooc4AXFmLrqMQaV,UgxggvA4TtdGHzTduAp4AaABAg.AXDngT0ooc4AXEIDrV9n0E,sQpOan3bpv0,True,author_41,2026-05-26T02:42:57Z,2026-05-26T02:42:57Z,0,"​author_7498 ragione tipo quelli che vediamo sempre in TV malati di ego, che si definiscono Dottori?",UgxggvA4TtdGHzTduAp4AaABAg.AXDngT0ooc4AXEIDrV9n0E,2,repubblica,author_41,1
UgxJXTRDfxOcDaRAZgd4AaABAg,,sQpOan3bpv0,False,author_41,2026-05-26T02:43:59Z,2026-05-26T02:43:59Z,0,"Tutte cazzate..., andate a zappare...",,0,repubblica,author_41,1
Ugy5gO_5J86bBT8KuXB4AaABAg,,sQpOan3bpv0,False,author_1344,2026-05-26T14:05:14Z,2026-05-26T14:05:14Z,0,Perché un integratore può prevenire cadute?,,0,repubblica,author_1344,0
