comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgzOyu8wXLJH2D-mlN14AaABAg,,u1uPuEA01gE,False,author_404,2026-05-24T10:34:16Z,2026-05-24T10:34:16Z,2,Ma che storia è????,,0,repubblica,author_404,0
Ugwv8qoxZBtG_ywDfEh4AaABAg,,u1uPuEA01gE,False,author_1300,2026-05-24T10:55:36Z,2026-05-24T10:55:36Z,2,La Pilato è la stessa della storia del furto in aeroporto?,,0,repubblica,author_1300,1
UgxB3ZLcSbl1vS11vyV4AaABAg,,u1uPuEA01gE,False,author_119,2026-05-24T11:01:54Z,2026-05-24T11:01:54Z,1,Potete dirci come funziona a Singapore? 🤔,,0,repubblica,author_119,0
UgxthxdLQay-zVDjz0t4AaABAg,,u1uPuEA01gE,False,author_2636,2026-05-24T11:15:57Z,2026-05-24T11:15:57Z,2,"Grande atleta e ragazza semplice, pugliese come me, so che tipo di mentalità ha e quindi la adoro",,0,repubblica,author_2636,0
Ugwv8qoxZBtG_ywDfEh4AaABAg.AXBW8NfSLJgAXBYVOdjC7k,Ugwv8qoxZBtG_ywDfEh4AaABAg,u1uPuEA01gE,True,author_2636,2026-05-24T11:16:13Z,2026-05-24T11:16:13Z,0,Cazzate.....,Ugwv8qoxZBtG_ywDfEh4AaABAg,1,repubblica,author_2636,1
UgyupPB5f9bqhunmgxR4AaABAg,,u1uPuEA01gE,False,author_2637,2026-05-24T11:19:50Z,2026-05-24T11:19:50Z,1,Forza Taranto benedetta,,0,repubblica,author_2637,0
Ugw4xIHU-itFB-jPARJ4AaABAg,,u1uPuEA01gE,False,author_144,2026-05-24T11:27:17Z,2026-05-24T11:27:17Z,0,Piccola furbetta ladruncola,,0,repubblica,author_144,1
UgzVkSLZbgM3frGOG4l4AaABAg,,u1uPuEA01gE,False,author_2638,2026-05-24T12:15:17Z,2026-05-24T12:15:17Z,6,"Grande, ci vuole umiltà",,0,repubblica,author_2638,0
UgxKtFn_T24BXiLKj194AaABAg,,u1uPuEA01gE,False,author_184,2026-05-24T12:18:14Z,2026-05-24T12:18:14Z,0,Mamma mia quante para,,0,repubblica,author_184,1
UgzyU_TrtlYHvGv4tSd4AaABAg,,u1uPuEA01gE,False,author_2331,2026-05-24T13:49:02Z,2026-05-24T13:49:02Z,0,"La brutta Storia,di Singapore?Lei con la,sua compagna hanno rubato i profumi Stop!Sono stati salvati perché atlete e perché difese dal PD!",,0,repubblica,author_2331,1
UgxthxdLQay-zVDjz0t4AaABAg.AXBYTOo4ikQAXBp1ZsFEYa,UgxthxdLQay-zVDjz0t4AaABAg,u1uPuEA01gE,True,author_2331,2026-05-24T13:49:26Z,2026-05-24T13:49:26Z,2,Come i profumi rubati a Singapore,UgxthxdLQay-zVDjz0t4AaABAg,1,repubblica,author_2331,1
