comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugw1If26SoIu5MOf2iZ4AaABAg,,uigowOrolPY,False,author_41,2026-05-25T12:24:08Z,2026-05-25T12:24:08Z,0,Liste di proscrizione per i fasci di merda...🙃🔥💀🇮🇱,,0,repubblica,author_41,1
UgyYJqfFX4jTxpbMwIJ4AaABAg,,uigowOrolPY,False,author_425,2026-05-25T12:29:48Z,2026-05-25T12:29:48Z,9,Evidentemente non lo aveva visto ed in ogni caso oggi per FERMARTI E PRESTARE SOCCORSO CON QUESTE BELVE OCCORRE ESSERE ARMATI DI BAZOOKA COME NEGLI USA,,0,repubblica,author_425,1
UgwhPTcT1BHGB0XYsCV4AaABAg,,uigowOrolPY,False,author_541,2026-05-25T13:12:13Z,2026-05-25T13:12:13Z,0,Sempre a difendere ste merde... Andate a fanculo anti italiani di merda,,0,repubblica,author_541,1
UgzP0ZL_lJbgr2H5Abp4AaABAg,,uigowOrolPY,False,author_172,2026-05-25T13:12:17Z,2026-05-25T13:12:17Z,5,Spero che nn abbiano visto il povero ragazzo accerchiato da quei delinquenti,,0,repubblica,author_172,0
Ugy0Id3NB4VRyOCjjc54AaABAg,,uigowOrolPY,False,author_30,2026-05-25T14:42:06Z,2026-05-25T14:42:06Z,1,L'ambulanza non è la Polizia se ci sono dei violenti non si ferma. Probabilmente è rimasta nei paraggi ed ha avvisato con la radio.,,0,repubblica,author_30,0
Ugy_YmCKqLiqJBy1CKJ4AaABAg,,uigowOrolPY,False,author_2009,2026-05-25T16:39:35Z,2026-05-25T16:39:35Z,0,Buttate la chiave a quelle merde,,0,repubblica,author_2009,1
UgzJ3Hs7cHrIP4PZ2fJ4AaABAg,,uigowOrolPY,False,author_2010,2026-05-25T17:28:33Z,2026-05-25T17:28:33Z,2,Se non lo hanno visto vuoi vedere che ora lo hanno ucciso quelli dell'ambulanza,,0,repubblica,author_2010,1
UgwHUm6Ji_nVApuJLp94AaABAg,,uigowOrolPY,False,author_2011,2026-05-25T18:00:01Z,2026-05-25T18:00:01Z,0,ma vaffanculo repubblica del cazzo,,0,repubblica,author_2011,1
UgzJ3Hs7cHrIP4PZ2fJ4AaABAg.AXEmuMmoAloAXFmqb0Gr0x,UgzJ3Hs7cHrIP4PZ2fJ4AaABAg,uigowOrolPY,True,author_41,2026-05-26T02:47:17Z,2026-05-26T02:47:17Z,0,"Omissione di soccorso, si chiama la polizia, ma forse non volevano farlo, fate parte di un mondo di merda...",UgzJ3Hs7cHrIP4PZ2fJ4AaABAg,1,repubblica,author_41,1
UgzJ3Hs7cHrIP4PZ2fJ4AaABAg.AXEmuMmoAloAXFpL2Hm0XP,UgzJ3Hs7cHrIP4PZ2fJ4AaABAg.AXEmuMmoAloAXFmqb0Gr0x,uigowOrolPY,True,author_2010,2026-05-26T03:09:03Z,2026-05-26T03:09:03Z,0,​author_41 non lo hanno visto ma perché vedete il male ovunque,UgzJ3Hs7cHrIP4PZ2fJ4AaABAg.AXEmuMmoAloAXFmqb0Gr0x,2,repubblica,author_2010,0
UgzJ3Hs7cHrIP4PZ2fJ4AaABAg.AXEmuMmoAloAXFriVWeQtr,UgzJ3Hs7cHrIP4PZ2fJ4AaABAg.AXEmuMmoAloAXFpL2Hm0XP,uigowOrolPY,True,author_41,2026-05-26T03:29:52Z,2026-05-26T03:30:32Z,1,"​​author_7368, vediamo male ovunque si, il male è ovunque oggi, quindi risparmiami questa filosofia spicciola...",UgzJ3Hs7cHrIP4PZ2fJ4AaABAg.AXEmuMmoAloAXFpL2Hm0XP,3,repubblica,author_41,0
UgzJ3Hs7cHrIP4PZ2fJ4AaABAg.AXEmuMmoAloAXFxOuMT2ng,UgzJ3Hs7cHrIP4PZ2fJ4AaABAg,uigowOrolPY,True,author_1511,2026-05-26T04:19:29Z,2026-05-26T04:19:29Z,0,​author_7369 taci cane,UgzJ3Hs7cHrIP4PZ2fJ4AaABAg.AXEmuMmoAloAXFmqb0Gr0x,2,repubblica,author_1511,1
UgwX_kM9_SJ6om_M9Ex4AaABAg,,uigowOrolPY,False,author_2012,2026-05-26T05:01:54Z,2026-05-26T05:01:54Z,0,Video utilizzato dai difensori degli indagati.....😳,,0,repubblica,author_2012,0
Ugx5TKzMvw_p0Zl8cpN4AaABAg,,uigowOrolPY,False,author_427,2026-05-26T11:14:39Z,2026-05-26T11:14:39Z,0,Taranto 😂 tutelano i delinquenti,,0,repubblica,author_427,1
Ugzc__ezDYo5gvzzlHx4AaABAg,,uigowOrolPY,False,author_1330,2026-05-26T14:53:32Z,2026-05-26T14:53:32Z,0,complimenti vivissimi!,,0,repubblica,author_1330,0
Ugwc44xqEBJv1V4Ry3B4AaABAg,,uigowOrolPY,False,author_2013,2026-05-26T16:06:27Z,2026-05-26T16:06:27Z,0,Forse non è stato visto,,0,repubblica,author_2013,0
Ugz0MXrQm3-vEkalPHx4AaABAg,,uigowOrolPY,False,author_2014,2026-05-26T17:16:22Z,2026-05-26T17:16:22Z,0,Classico video di merda...nn sanno nulla su cosa sia successo però alimentano dubbi e odio...giornalismo da quattro soldi,,0,repubblica,author_2014,1
UgxWZ58tnlH6KkS2XrN4AaABAg,,uigowOrolPY,False,author_2015,2026-05-26T18:16:57Z,2026-05-26T18:16:57Z,0,E ....quindi?,,0,repubblica,author_2015,0
UgzwWwYsEd2j57DJqvd4AaABAg,,uigowOrolPY,False,author_2016,2026-05-26T20:11:07Z,2026-05-26T20:11:07Z,0,Ma magari doveva andare da un altra parte ..chi l avrebbe chiamata se l aggressione era ancora in corso e xchè non prima le forze dell ordine?,,0,repubblica,author_2016,0
