comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
UgyIpNGMKKKf0H1QwQZ4AaABAg,,wSTv0LmC3ks,False,author_1521,2026-05-26T10:55:26Z,2026-05-26T10:55:26Z,62,Questi mondiali dovrebbero essere annullato proprio.,,0,repubblica,author_1521,0
Ugw5U-tHZ2iO4Fp1mnh4AaABAg,,wSTv0LmC3ks,False,author_783,2026-05-26T11:03:11Z,2026-05-26T11:03:11Z,92,Chi non dovrebbe partecipare a questo evento sono proprio gli americani,,0,repubblica,author_783,1
UgwT5HPvqh6DT0AEj-Z4AaABAg,,wSTv0LmC3ks,False,author_362,2026-05-26T11:11:53Z,2026-05-26T11:11:53Z,0,Ecco trovato il prossimo stato da invadere.... avanti america e Trump con la vostra democrazia...💩💩💩,,0,repubblica,author_362,1
UgzCrM2zx_el6HgOmrp4AaABAg,,wSTv0LmC3ks,False,author_764,2026-05-26T12:49:47Z,2026-05-26T12:49:47Z,0,Il mexico . .... fate gli schiavi i servi agli stati uniti?????? Bo ' ........ e ' ........,,0,repubblica,author_764,1
UgypuGaOZwdjYlDy2Jt4AaABAg,,wSTv0LmC3ks,False,author_764,2026-05-26T12:51:31Z,2026-05-26T12:51:31Z,6,Il.mediterraneo nn si pieghera mai agli Americani .... son popoli piuttosto che schiavi la morte .... onore al Iran e ai Palestinesi ....,,0,repubblica,author_764,1
UgwhkZmYYCwmnldL2B94AaABAg,,wSTv0LmC3ks,False,author_1522,2026-05-26T13:49:42Z,2026-05-26T13:49:42Z,0,Solidarietà terroristica.,,0,repubblica,author_1522,1
UgyIpNGMKKKf0H1QwQZ4AaABAg.AXGehwO5okFAXGzYNfKHq6,UgyIpNGMKKKf0H1QwQZ4AaABAg,wSTv0LmC3ks,True,author_1523,2026-05-26T13:57:30Z,2026-05-26T13:57:30Z,4,Basterà non seguirli,UgyIpNGMKKKf0H1QwQZ4AaABAg,1,repubblica,author_1523,0
UgzLZ5IjN_3IbBvd7AR4AaABAg,,wSTv0LmC3ks,False,author_1524,2026-05-26T14:02:49Z,2026-05-26T14:02:49Z,28,Credo siano gli Iraniani a non voler pernottare negli USA e getta.Grazie Messico Grazie grande presidente ♥️,,0,repubblica,author_1524,0
Ugwl-qxfbfn-7VQPg4B4AaABAg,,wSTv0LmC3ks,False,author_1525,2026-05-26T14:30:30Z,2026-05-26T14:30:30Z,5,"Che cambia ,sempre che devono varcare il confine e giocarci ...mi chiedo se ci saranno tifosi iraniani",,0,repubblica,author_1525,0
UgzCrM2zx_el6HgOmrp4AaABAg.AXGrnQDHxZ9AXH2T0cu972,UgzCrM2zx_el6HgOmrp4AaABAg,wSTv0LmC3ks,True,author_1526,2026-05-26T14:31:43Z,2026-05-26T14:31:43Z,1,Maddechè?😂,UgzCrM2zx_el6HgOmrp4AaABAg,1,repubblica,author_1526,0
Ugx6dm3jYbMXu8PuZx54AaABAg,,wSTv0LmC3ks,False,author_1527,2026-05-26T14:33:43Z,2026-05-26T14:33:43Z,2,Tramp ci fai o ci sei?,,0,repubblica,author_1527,1
Ugw4bfZOhDadAqaV7QZ4AaABAg,,wSTv0LmC3ks,False,author_1528,2026-05-26T14:44:52Z,2026-05-26T14:44:52Z,20,Le nazionali dovrebbero boicottare il  mondiale...come protesta a cio' che sta facendo trump....solo per un suo capriccio Siamo sull'orlo di una crisi mondiale....e nessuno dice niente,,0,repubblica,author_1528,1
UgzhzIl3uZ1uofEXdkR4AaABAg,,wSTv0LmC3ks,False,author_1529,2026-05-26T15:01:17Z,2026-05-26T15:01:17Z,0,Per la stessa motivazione per cui la Russia è stata bandita da molte competizioni....ricordiamoci che in iran chi comanda ha sterminato centinaia di innocenti in una piazza solo perché manifestavano contro di loro......,,0,repubblica,author_1529,1
UgypuGaOZwdjYlDy2Jt4AaABAg.AXGs-4ZNpplAXH69nISirC,UgypuGaOZwdjYlDy2Jt4AaABAg,wSTv0LmC3ks,True,author_1529,2026-05-26T15:04:02Z,2026-05-26T16:37:47Z,1,Scusa...onore all'Iran?  Togliamo la parte legata al conflitto con l'America ma onore a chi? A chi ha ucciso centinaia di manifestanti in una piazza senza nessuna colpa se non quella di manifestare contro chi li opprime😢,UgypuGaOZwdjYlDy2Jt4AaABAg,1,repubblica,author_1529,1
UgyR_d28RsYZeclwlpB4AaABAg,,wSTv0LmC3ks,False,author_1530,2026-05-26T15:23:35Z,2026-05-26T15:23:35Z,68,"Ma come si può arrivare al punto che gli US e ISRAELE decidano su ogni cosa. Ma dove stiamo arrivando, ma i nostri governi dove cazzo sono? Governo senza spina dorsale",,0,repubblica,author_1530,1
UgysrCGzXc5V7dDhwKp4AaABAg,,wSTv0LmC3ks,False,author_1384,2026-05-26T15:23:45Z,2026-05-26T15:23:45Z,0,Iran merda,,0,repubblica,author_1384,1
UgzOAex4ulhyMq0pNzl4AaABAg,,wSTv0LmC3ks,False,author_1531,2026-05-26T15:40:54Z,2026-05-26T15:40:54Z,0,"Ma chi caxxo è quel imbecille che fa ospitare il mondiale agli Stati Uniti, sono uno stato terrorista, imperialista e genocida",,0,repubblica,author_1531,1
UgzhzIl3uZ1uofEXdkR4AaABAg.AXH5qbw4GAaAXHGa0jlTTZ,UgzhzIl3uZ1uofEXdkR4AaABAg,wSTv0LmC3ks,True,author_1532,2026-05-26T16:35:08Z,2026-05-26T16:35:08Z,2,"Lo ha fatto anche l'Italia con Umberto I. Poi lo ha rifatto con Mussolini per poi rifarlo con il governo Tambroni, vogliamo dimenticare il G8 di Genova, giusto per non farci mancare nulla. A volte stare zitti si fa più bella figura.",UgzhzIl3uZ1uofEXdkR4AaABAg,1,repubblica,author_1532,1
UgzhzIl3uZ1uofEXdkR4AaABAg.AXH5qbw4GAaAXHH6XGGRth,UgzhzIl3uZ1uofEXdkR4AaABAg.AXH5qbw4GAaAXHGa0jlTTZ,wSTv0LmC3ks,True,author_1529,2026-05-26T16:39:43Z,2026-05-26T16:39:43Z,0,​author_7603 perché la Russia si? Tu che hai la verità in bocca.....,UgzhzIl3uZ1uofEXdkR4AaABAg.AXH5qbw4GAaAXHGa0jlTTZ,2,repubblica,author_1529,1
UgzhzIl3uZ1uofEXdkR4AaABAg.AXH5qbw4GAaAXHHLqUBIf6,UgzhzIl3uZ1uofEXdkR4AaABAg.AXH5qbw4GAaAXHGa0jlTTZ,wSTv0LmC3ks,True,author_1529,2026-05-26T16:41:48Z,2026-05-26T16:41:48Z,0,Poi il g8 di Genova non c'entra veramente niente........3000 morti bambini donne uomini contro uno che assaltava una camionetta con un estintore.....non dico che la polizia avesse ragione ma da paragonare 1 morto a 3000 c'è ne va di fantasia,UgzhzIl3uZ1uofEXdkR4AaABAg.AXH5qbw4GAaAXHGa0jlTTZ,2,repubblica,author_1529,1
UgypuGaOZwdjYlDy2Jt4AaABAg.AXGs-4ZNpplAXHHkLsFAvN,UgypuGaOZwdjYlDy2Jt4AaABAg,wSTv0LmC3ks,True,author_764,2026-05-26T16:45:17Z,2026-05-26T16:45:17Z,0,​author_7604 hanno fritto il cervello ....  pfff .... irack afganisthan Libia Siria Palestina iran Russia vietnam korea son tutti cattivi .... poverini ... poverini ... ipocriti ... ladri di petrolio ... ah gia il Venezuela quella e ' bastata una schiopettata col 36......,UgypuGaOZwdjYlDy2Jt4AaABAg,1,repubblica,author_764,1
UgzhzIl3uZ1uofEXdkR4AaABAg.AXH5qbw4GAaAXHHknakRhy,UgzhzIl3uZ1uofEXdkR4AaABAg.AXH5qbw4GAaAXHHLqUBIf6,wSTv0LmC3ks,True,author_1532,2026-05-26T16:45:21Z,2026-05-26T16:45:21Z,0,​author_7605 stessa di USA e Israele.,UgzhzIl3uZ1uofEXdkR4AaABAg.AXH5qbw4GAaAXHHLqUBIf6,3,repubblica,author_1532,1
UgwDeHDniq4zMWAN_-V4AaABAg,,wSTv0LmC3ks,False,author_1533,2026-05-26T16:47:10Z,2026-05-26T16:47:10Z,0,GOVERNO USA = TERZO REICH,,0,repubblica,author_1533,1
Ugzn9aO60aSsfEwo33Z4AaABAg,,wSTv0LmC3ks,False,author_1534,2026-05-26T17:01:15Z,2026-05-26T17:01:15Z,1,👏👏👏,,0,repubblica,author_1534,0
Ugw5U-tHZ2iO4Fp1mnh4AaABAg.AXGfahbCeWNAXHK73H62Rq,Ugw5U-tHZ2iO4Fp1mnh4AaABAg,wSTv0LmC3ks,True,author_1535,2026-05-26T17:06:00Z,2026-05-26T17:06:00Z,0,Statunitensi capra gli americani sono i messicani,Ugw5U-tHZ2iO4Fp1mnh4AaABAg,1,repubblica,author_1535,1
UgzCrM2zx_el6HgOmrp4AaABAg.AXGrnQDHxZ9AXHOO8ocfA_,UgzCrM2zx_el6HgOmrp4AaABAg,wSTv0LmC3ks,True,author_1536,2026-05-26T17:43:17Z,2026-05-26T17:43:17Z,0,"😂😂😂😂😂analfabeta difunzionale,prendi la pasticca!",UgzCrM2zx_el6HgOmrp4AaABAg,1,repubblica,author_1536,1
UgyWTeP6YKIZKXwSWp94AaABAg,,wSTv0LmC3ks,False,author_1537,2026-05-26T18:08:29Z,2026-05-26T18:08:29Z,0,Maledetti israeliani assassini di bambini. Complici del GENOCIDIO i nostri politici e i nostri giornalisti servi.,,0,repubblica,author_1537,1
UgyR_d28RsYZeclwlpB4AaABAg.AXH8OrGm5caAXHSIt0SRxc,UgyR_d28RsYZeclwlpB4AaABAg,wSTv0LmC3ks,True,author_1538,2026-05-26T18:17:31Z,2026-05-26T18:17:31Z,5,"Bullizzati da 60 anni, da uno stato con 10 milioni di abitanti. Naturalmente, con il consenso unanime di tutta la classe politica, nessuno escluso.",UgyR_d28RsYZeclwlpB4AaABAg,1,repubblica,author_1538,1
UgypuGaOZwdjYlDy2Jt4AaABAg.AXGs-4ZNpplAXHSo_peie8,UgypuGaOZwdjYlDy2Jt4AaABAg.AXGs-4ZNpplAXH69nISirC,wSTv0LmC3ks,True,author_1539,2026-05-26T18:21:59Z,2026-05-26T18:21:59Z,2,"​author_7606 la loro storia , di resistenza e di tutto quello che sarà .... RICORDATI com'era la situazione in Italia durante il lungo periodo del fascismo e tutto quello che è successo per anni e anni ! Ho tutti i ricordi dei miei nonni ben stampati nella memoria... Questo per ricordarti che nessuno ha il diritto di andare in un'altra nazione a fare come caxxo gli pare , con la scusa dell' atomica e bombardare una ""scuola di bambine"" !!! Petrolio, potere e indebolire gli Iraniani è questo che vogliono sia gli Israeliani che gli americani ... Ci vorrà tempo ma anche gli iraniani prima o poi raggiungeranno un loro equilibrio, com'è successo anche a noi !",UgypuGaOZwdjYlDy2Jt4AaABAg.AXGs-4ZNpplAXH69nISirC,2,repubblica,author_1539,1
UgzQSvTaDjEBMsmxl3F4AaABAg,,wSTv0LmC3ks,False,author_1539,2026-05-26T18:24:50Z,2026-05-26T18:24:50Z,5,"Ma come riusciranno a giocare per bene se dovranno fare avanti e indietro con il Messico e gli stadi di calcio negli USA! Dove giocano gli Iraniani nel primo turno? 🥺 Sempre peggio gli USA, loro non dovevano giocare ....",,0,repubblica,author_1539,0
