comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugy13jQglkwmDs0t8g14AaABAg,,witP6sX-_P4,False,author_129,2026-05-27T09:58:42Z,2026-05-27T09:58:42Z,5,"E te pare? Mo' son tutti cattivoni sti poliziotti... Sicuro qualcuno che esagera c'è stato, c'è e ci sarà sempre, ma per arrivare a quel punto sotto le mani non hai un santo...",,0,repubblica,author_129,1
Ugy13jQglkwmDs0t8g14AaABAg.AXJ80JL9sEHAXJ8HDWW3FJ,Ugy13jQglkwmDs0t8g14AaABAg,witP6sX-_P4,True,author_356,2026-05-27T10:01:01Z,2026-05-27T10:01:01Z,3,"Nemmeno Cucchi era un santo,ma meritava di morire ?? Pensi se dovesse capitare ad un suo famigliare,magari cambierebbe idea ,sul solito cliché che il fermato è il cattivo e il poliziotto è sempre il buono...",Ugy13jQglkwmDs0t8g14AaABAg,1,repubblica,author_356,1
UgxETpalqBHjtHXL-md4AaABAg,,witP6sX-_P4,False,author_357,2026-05-27T10:02:38Z,2026-05-27T10:02:38Z,3,MALE NON FARE PAURA NON AVERE !,,0,repubblica,author_357,1
UgwF--IUDFMDijGwCiR4AaABAg,,witP6sX-_P4,False,author_92,2026-05-27T10:03:15Z,2026-05-27T10:03:15Z,4,"Tipico della polizia ,non e' la prima volta e non sara' l ultima,",,0,repubblica,author_92,1
Ugy13jQglkwmDs0t8g14AaABAg.AXJ80JL9sEHAXJ8grsB9EG,Ugy13jQglkwmDs0t8g14AaABAg.AXJ80JL9sEHAXJ8HDWW3FJ,witP6sX-_P4,True,author_129,2026-05-27T10:04:39Z,2026-05-27T10:04:39Z,0,"​author_7428 ho detto che esagerare purtroppo capita... Però non esageriamo con sta storia. Se ti fermano e ti arrestano, c'è un motivo e bisogna sapersi comportare e non provocare",Ugy13jQglkwmDs0t8g14AaABAg.AXJ80JL9sEHAXJ8HDWW3FJ,2,repubblica,author_129,0
Ugzm2V7aEzcFkIYQDX94AaABAg,,witP6sX-_P4,False,author_358,2026-05-27T10:05:01Z,2026-05-27T10:05:01Z,1,"Che novità,e menomale fanno 6 ore al giorno e a 50 anni in pensione 'sti eroi...",,0,repubblica,author_358,1
Ugzm2V7aEzcFkIYQDX94AaABAg.AXJ8jUxvcPPAXJ9ghA5xav,Ugzm2V7aEzcFkIYQDX94AaABAg,witP6sX-_P4,True,author_25,2026-05-27T10:13:22Z,2026-05-27T10:13:37Z,0,"MA VA A CAGHER PIRLA, IN PENSIONE A 50 ANNI",Ugzm2V7aEzcFkIYQDX94AaABAg,1,repubblica,author_25,1
UgwF--IUDFMDijGwCiR4AaABAg.AXJ8XbM2-c1AXJ9nH-p86g,UgwF--IUDFMDijGwCiR4AaABAg,witP6sX-_P4,True,author_25,2026-05-27T10:14:16Z,2026-05-27T10:14:16Z,2,AL SUO PAESE LA POLIZIA GLI SPARAVA IN TESTA,UgwF--IUDFMDijGwCiR4AaABAg,1,repubblica,author_25,1
Ugx4PHu7h4xcxS9zQCN4AaABAg,,witP6sX-_P4,False,author_25,2026-05-27T10:14:46Z,2026-05-27T10:14:46Z,3,AL SUO PAESE A CUBA LA POLIZIA LO PORTAVA VIA E NON LO TROVAVANO PIU,,0,repubblica,author_25,1
UgxcSqn64It1eK0mx_l4AaABAg,,witP6sX-_P4,False,author_359,2026-05-27T10:16:52Z,2026-05-27T10:16:52Z,1,Non capisco dove sia la notizia🤔,,0,repubblica,author_359,0
UgxETpalqBHjtHXL-md4AaABAg.AXJ8T91edhbAXJAgIs7pKF,UgxETpalqBHjtHXL-md4AaABAg,witP6sX-_P4,True,author_213,2026-05-27T10:22:03Z,2026-05-27T10:22:03Z,0,Tipo i savi?,UgxETpalqBHjtHXL-md4AaABAg,1,repubblica,author_213,1
Ugy13jQglkwmDs0t8g14AaABAg.AXJ80JL9sEHAXJDQhI_RbG,Ugy13jQglkwmDs0t8g14AaABAg.AXJ80JL9sEHAXJ8grsB9EG,witP6sX-_P4,True,author_52,2026-05-27T10:46:00Z,2026-05-27T10:46:00Z,1,"​author_7429, stavano facendo un controllo,che non significa arresto.",Ugy13jQglkwmDs0t8g14AaABAg.AXJ80JL9sEHAXJ8grsB9EG,3,repubblica,author_52,0
Ugy13jQglkwmDs0t8g14AaABAg.AXJ80JL9sEHAXJEE5I-4Ct,Ugy13jQglkwmDs0t8g14AaABAg.AXJ80JL9sEHAXJ8grsB9EG,witP6sX-_P4,True,author_129,2026-05-27T10:53:01Z,2026-05-27T10:53:01Z,0,"​author_7430, se ce lha prese è perché qualcosa di, strano ha fatto... Sennò rimaneva un controllo. Quante volte ci fermano i CC per controllo patente? Mica mi han mai menato... Eppure mi rititarono la patente allora perché correvo su una strada col classico limite messo li per far cassa, ma non mi son sognato di replicare a malo modo, perché comunque ero formalmente nel torto, tant'è che poi dal Prefetto ho avuto ol minimo di sospensione e di ammenda. Allora ancora nn c'erano i punti",Ugy13jQglkwmDs0t8g14AaABAg.AXJ80JL9sEHAXJDQhI_RbG,4,repubblica,author_129,0
