comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,label
Ugy7b9mW_y_L1VRtZ9l4AaABAg,,xYuVPnkQf5Y,False,author_67,2026-05-26T11:43:15Z,2026-05-26T11:43:15Z,8,Marocco sarebbe Africa centrale 😂😂😂😂,,0,repubblica,author_67,1
Ugxn5XMC_wlMz5-lOrt4AaABAg,,xYuVPnkQf5Y,False,author_1377,2026-05-26T11:43:21Z,2026-05-26T11:43:21Z,12,Marocco africa centrale. Mitico. Legami talmente forti che c'è bisogno del ponte sullo stretto per la minaccia da sud. Il popolo non dimentica le vostre castronerie. Non vediamo l'ora che abbandoniate i posti al comando della nostra nazione,,0,repubblica,author_1377,1
UgyuAkv3qGWbskN0ctZ4AaABAg,,xYuVPnkQf5Y,False,author_1378,2026-05-26T11:48:28Z,2026-05-26T11:48:28Z,1,Oh Tajani ma vattene in rsa vai....,,0,repubblica,author_1378,1
UgxMnWULi3Zza4hLZS94AaABAg,,xYuVPnkQf5Y,False,author_68,2026-05-26T11:50:09Z,2026-05-26T11:50:09Z,0,"""Africa"" non è un popolo",,0,repubblica,author_68,1
UgzVotb6jLOihsLC3Mh4AaABAg,,xYuVPnkQf5Y,False,author_1327,2026-05-26T11:53:42Z,2026-05-26T11:53:42Z,0,LA CINA.   FA. I FATTI,,0,repubblica,author_1327,0
UgwO9rBV2pofc9RNGOd4AaABAg,,xYuVPnkQf5Y,False,author_1379,2026-05-26T11:57:21Z,2026-05-26T11:57:21Z,0,🤔hanno spostato il MAROCCO??,,0,repubblica,author_1379,1
UgxGmbl-7Z0WViXeA-J4AaABAg,,xYuVPnkQf5Y,False,author_1380,2026-05-26T11:59:31Z,2026-05-26T11:59:31Z,11,Beh in geografia siamo messi bene!!! Aspetto crozza😂😂😂😂,,0,repubblica,author_1380,1
Ugy6RdSxIZjH7wdg7654AaABAg,,xYuVPnkQf5Y,False,author_1328,2026-05-26T12:00:00Z,2026-05-26T12:00:00Z,5,Bipolarismo o disordine di personalita' multiple? Sono confusa...,,0,repubblica,author_1328,0
Ugyoy8fFmmGlEa4FL_V4AaABAg,,xYuVPnkQf5Y,False,author_1381,2026-05-26T12:01:03Z,2026-05-26T12:01:03Z,3,Siete diventati un partito di sx,,0,repubblica,author_1381,0
Ugyo8Pic5TDQ0I2HuIR4AaABAg,,xYuVPnkQf5Y,False,author_1382,2026-05-26T12:03:47Z,2026-05-26T12:03:47Z,0,"Ecco di anche a quel pseudo partito di fdi di ignoranti parentati gentaglia e criccomani, che Venezia e il Veneto non rappresentano di certo loro.",,0,repubblica,author_1382,1
UgwKGwgchNwc9WHPAqJ4AaABAg,,xYuVPnkQf5Y,False,author_1383,2026-05-26T12:05:05Z,2026-05-26T12:05:05Z,3,"Caro Tajani  stai diventando comunista.
Ti anno eletto gli Italiani lavora per loro
Troppo spesso voti con il PD .
Alle prossime elezioni ti trombano.",,0,repubblica,author_1383,1
UgxKYCmJ_Yeu5TSAvEx4AaABAg,,xYuVPnkQf5Y,False,author_215,2026-05-26T12:05:51Z,2026-05-26T12:05:51Z,1,"Tajani era il nome di un profeta dell' Islam?
Fermi Israele, allora!!!!!
Tra culture, etnie e religioni diverse 
ci vogliono legami 
di rispetto, di parita' non di sudditanza!
Lo dica ha quell' invasato di Netanyahu!",,0,repubblica,author_215,1
