comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon,annotator_number,label,type
UgxjovVRJWunf_Bwu2d4AaABAg,,y-_N-NGhP7k,False,author_1580,2026-05-26T09:51:08Z,2026-05-26T09:51:08Z,18,Bastardi criminali delinquenti,,0,repubblica,author_1580,2,1,gold
UgzCtTrPCYwcMYkhSEF4AaABAg,,y-_N-NGhP7k,False,author_1581,2026-05-26T09:58:34Z,2026-05-26T09:58:34Z,7,Viva le risorse e chi le vuole Vale a dire quelli che il vostro giornale si dà tanto da fare a pubblicizzare,,0,repubblica,author_1581,2,1,gold
Ugz37jhHew3bygQs6Gl4AaABAg,,y-_N-NGhP7k,False,author_1381,2026-05-26T09:59:55Z,2026-05-26T09:59:55Z,10,Saranno Svedesi??,,0,repubblica,author_1381,2,1,gold
UgyLUbryNn02iAPDrMl4AaABAg,,y-_N-NGhP7k,False,author_739,2026-05-26T10:00:09Z,2026-05-26T10:00:09Z,1,ovviamente erano immigrati di Bolzano vero?,,0,repubblica,author_739,2,1,gold
Ugyo0bYAVc0txdJjL7l4AaABAg,,y-_N-NGhP7k,False,author_83,2026-05-26T10:26:45Z,2026-05-26T10:26:45Z,10,Risorse o psicologicamente instabili suppongo,,0,repubblica,author_83,2,1,gold
UgzhQQb29bdpoItZPVV4AaABAg,,y-_N-NGhP7k,False,author_1582,2026-05-26T10:28:28Z,2026-05-26T10:28:28Z,0,Girate armati!,,0,repubblica,author_1582,2,0,gold
UgyLUbryNn02iAPDrMl4AaABAg.AXGZO0P5D5gAXGcmxAF2Xv,UgyLUbryNn02iAPDrMl4AaABAg,y-_N-NGhP7k,True,author_150,2026-05-26T10:38:38Z,2026-05-26T10:38:38Z,0,Ja klar. In Bozen geboren und aufgezogen.,UgyLUbryNn02iAPDrMl4AaABAg,1,repubblica,author_150,2,0,gold
UgytmYYYE6wlvsyOgWp4AaABAg,,y-_N-NGhP7k,False,author_1583,2026-05-26T10:41:52Z,2026-05-26T10:41:52Z,7,Mostrare i volti e i nomi così da essere perseguiti e perseguitati.,,0,repubblica,author_1583,2,1,gold
UgwoZOl2kdrlTC3Rtyl4AaABAg,,y-_N-NGhP7k,False,author_1584,2026-05-26T10:53:58Z,2026-05-26T10:53:58Z,4,Una risorsa,,0,repubblica,author_1584,2,1,gold
UgwsBlavwICp-A7sD8N4AaABAg,,y-_N-NGhP7k,False,author_434,2026-05-26T10:56:56Z,2026-05-26T10:56:56Z,0,Norvegesi? Se ne tornassero a Oslo,,0,repubblica,author_434,2,1,gold
Ugwec0QYwLMMAMtQgkR4AaABAg,,y-_N-NGhP7k,False,author_252,2026-05-26T11:07:50Z,2026-05-26T11:07:50Z,1,Tranquilli è solo percezione!!! Cit.,,0,repubblica,author_252,2,1,gold
UgwfwmGluBLS_K-KItl4AaABAg,,y-_N-NGhP7k,False,author_1330,2026-05-26T11:19:21Z,2026-05-26T11:19:21Z,0,Pezzi dì merda tossici e delinquenti,,0,repubblica,author_1330,2,1,gold
Ugws27IJ9NyQinJjNSV4AaABAg,,y-_N-NGhP7k,False,author_233,2026-05-26T11:34:52Z,2026-05-26T11:34:52Z,1,LAUREATI ?,,0,repubblica,author_233,2,1,gold
UgzU_Kte6MVTHeamr1N4AaABAg,,y-_N-NGhP7k,False,author_233,2026-05-26T11:35:07Z,2026-05-26T11:35:07Z,1,I COMPAGNI DEI PRO.PAZ,,0,repubblica,author_233,2,1,gold
UgxBYLJdpt8_PZSSXVR4AaABAg,,y-_N-NGhP7k,False,author_233,2026-05-26T11:35:24Z,2026-05-26T11:35:24Z,1,ERANO SULLA FLOTILLA ?,,0,repubblica,author_233,2,1,gold
Ugz37jhHew3bygQs6Gl4AaABAg.AXGZMHT9BPAAXGkSAmVrj4,Ugz37jhHew3bygQs6Gl4AaABAg,y-_N-NGhP7k,True,author_1585,2026-05-26T11:45:34Z,2026-05-26T11:45:34Z,0,Да ..настоящие шведы...из Анголы или Сирии😂😂😂😂,Ugz37jhHew3bygQs6Gl4AaABAg,1,repubblica,author_1585,2,0,gold
UgxBYLJdpt8_PZSSXVR4AaABAg.AXGjHfrdxs1AXHHORiB1vT,UgxBYLJdpt8_PZSSXVR4AaABAg,y-_N-NGhP7k,True,author_344,2026-05-26T16:42:10Z,2026-05-26T16:42:10Z,0,Che c'entra la flottilla???? 🤔🤔🤔,UgxBYLJdpt8_PZSSXVR4AaABAg,1,repubblica,author_344,2,0,gold
UgyoXoQyU9P5x5jWZMZ4AaABAg,,y-_N-NGhP7k,False,author_1586,2026-05-26T23:24:19Z,2026-05-26T23:24:19Z,0,Chi potevano essere? Due maomettani con la sciarpa di pro Hamas 👹😈👹😈👹😈🤮🤮🤮🤮,,0,repubblica,author_1586,2,1,gold
Ugw553bGtkRNI0ayJxx4AaABAg,,y-_N-NGhP7k,False,author_410,2026-05-27T09:35:19Z,2026-05-27T09:35:19Z,0,🐒🐒🐒 del cazzo,,0,repubblica,author_410,2,1,gold
