comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxEv3cFBC4Tvsa-vJN4AaABAg,,-Jz16gcNDG4,False,author_116,2026-05-18T12:54:59Z,2026-05-18T12:54:59Z,1,Ben fatto. Io lascero' tutto al Canile Municipale.,,0,corriere_della_sera,author_116
UgxEv3cFBC4Tvsa-vJN4AaABAg.AWxH1a7wbeDAWxHbkRPkm6,UgxEv3cFBC4Tvsa-vJN4AaABAg,-Jz16gcNDG4,True,author_4185,2026-05-18T13:00:04Z,2026-05-19T04:59:46Z,2,TANTO... CHE CA@user TI RITROVI?? NON HAI NEMMENO GLI OCCHI PER PIANGERE😅😅,UgxEv3cFBC4Tvsa-vJN4AaABAg,1,corriere_della_sera,author_4185
Ugytyyx8hKE1NbAj8l54AaABAg,,-Jz16gcNDG4,False,author_590,2026-05-18T13:14:13Z,2026-05-18T13:14:13Z,7,"Ognuno può disporre come vuole dei propri beni in assenza di discendenti diretti, gli altri parenti si attaccano 😅",,0,corriere_della_sera,author_590
UgyZ_GU2iHo1MlKeeRJ4AaABAg,,-Jz16gcNDG4,False,author_41,2026-05-18T14:49:44Z,2026-05-18T14:49:59Z,0,"Andate a lavorare merde e guadagnateveli, a morte...",,0,corriere_della_sera,author_41
UgxLmvqR6-ShT_vmr3V4AaABAg,,-Jz16gcNDG4,False,author_41,2026-05-18T14:50:44Z,2026-05-18T14:50:44Z,3,Basta lasciare eredità a figli e parenti senza riconoscenza...,,0,corriere_della_sera,author_41
UgxCTVE4igyYD5vJB3h4AaABAg,,-Jz16gcNDG4,False,author_4067,2026-05-18T16:28:47Z,2026-05-18T16:28:47Z,0,Hanno fatto bene i nipoti io impugnerei il testamento,,0,corriere_della_sera,author_4067
UgxHYfIKN2txF0TXBXl4AaABAg,,-Jz16gcNDG4,False,author_3824,2026-05-18T16:44:02Z,2026-05-18T16:44:02Z,0,sti vecchi,,0,corriere_della_sera,author_3824
UgzhW0Ys7ixnOxMd5eh4AaABAg,,-Jz16gcNDG4,False,author_66,2026-05-18T16:45:07Z,2026-05-19T14:55:05Z,1,"Se ha lasciato tutto in beneficenza a degli estranei invece che a voi nipoti , fatevi una domanda di come vi sarete comportati",,0,corriere_della_sera,author_66
Ugws6ifd8UH-_r8h_fZ4AaABAg,,-Jz16gcNDG4,False,author_433,2026-05-18T17:36:54Z,2026-05-18T17:36:54Z,5,Un classico di queste situazioni. I nipoti si fanno vedere solo quando c'e` da svuotare gli armadi.,,0,corriere_della_sera,author_433
UgxCTVE4igyYD5vJB3h4AaABAg.AWxeVWPPE93AWxuN_17KUb,UgxCTVE4igyYD5vJB3h4AaABAg,-Jz16gcNDG4,True,author_4186,2026-05-18T18:47:31Z,2026-05-18T18:47:31Z,0,😮😮😮,UgxCTVE4igyYD5vJB3h4AaABAg,1,corriere_della_sera,author_4186
UgxEv3cFBC4Tvsa-vJN4AaABAg.AWxH1a7wbeDAWy-ZuTonFM,UgxEv3cFBC4Tvsa-vJN4AaABAg,-Jz16gcNDG4,True,author_119,2026-05-18T19:41:38Z,2026-05-18T19:41:38Z,0,Così l'amministrazione marcerà a ostriche e champagne per un po' 😉,UgxEv3cFBC4Tvsa-vJN4AaABAg,1,corriere_della_sera,author_119
UgxCTVE4igyYD5vJB3h4AaABAg.AWxeVWPPE93AWy-hM_heMK,UgxCTVE4igyYD5vJB3h4AaABAg,-Jz16gcNDG4,True,author_4187,2026-05-18T19:42:47Z,2026-05-18T19:42:47Z,1,"I nipoti non sono eredi legittimi,quindi in presenza di testamento non possono opporsi alla volontà del defunto",UgxCTVE4igyYD5vJB3h4AaABAg,1,corriere_della_sera,author_4187
Ugzkk6M61ybqeJBNazd4AaABAg,,-Jz16gcNDG4,False,author_4188,2026-05-19T04:55:21Z,2026-05-19T04:56:42Z,1,A fatto bene sicuramente in vita non lanno mai cercato,,0,corriere_della_sera,author_4188
UgxCTVE4igyYD5vJB3h4AaABAg.AWxeVWPPE93AX0ZRtJEU_9,UgxCTVE4igyYD5vJB3h4AaABAg,-Jz16gcNDG4,True,author_4189,2026-05-20T04:52:50Z,2026-05-20T04:52:50Z,0,Io non li chiamerei nipoti e giustamente niente eredità 😢😢,UgxCTVE4igyYD5vJB3h4AaABAg,1,corriere_della_sera,author_4189
UgxURX28L4l9enuYUFV4AaABAg,,-Jz16gcNDG4,False,author_3309,2026-05-20T06:54:47Z,2026-05-20T06:56:30Z,0,"Niente eredità ai nipoti, ma almeno alle persone veramente bisognose e non ai monaci....",,0,corriere_della_sera,author_3309
UgxCTVE4igyYD5vJB3h4AaABAg.AWxeVWPPE93AX1104p4IiU,UgxCTVE4igyYD5vJB3h4AaABAg.AWxeVWPPE93AX0ZRtJEU_9,-Jz16gcNDG4,True,author_4067,2026-05-20T09:11:11Z,2026-05-20T09:11:11Z,0,@user è accertato che non se la meritano allora sono d' accordo con te,UgxCTVE4igyYD5vJB3h4AaABAg.AWxeVWPPE93AX0ZRtJEU_9,2,corriere_della_sera,author_4067
UgxCTVE4igyYD5vJB3h4AaABAg.AWxeVWPPE93AX1Vx3TCANF,UgxCTVE4igyYD5vJB3h4AaABAg.AWxeVWPPE93AX1104p4IiU,-Jz16gcNDG4,True,author_4190,2026-05-20T13:41:31Z,2026-05-20T13:41:31Z,0,@user cosa devi accertare. Ognuno fa ciò che vuole coi propri soldi.,UgxCTVE4igyYD5vJB3h4AaABAg.AWxeVWPPE93AX1104p4IiU,3,corriere_della_sera,author_4190
UgxCTVE4igyYD5vJB3h4AaABAg.AWxeVWPPE93AX1Z_YXaKrw,UgxCTVE4igyYD5vJB3h4AaABAg.AWxeVWPPE93AX1104p4IiU,-Jz16gcNDG4,True,author_4190,2026-05-21T00:00:00+00:00,,0,@author_4067 raggirata? Dai monaci? Bah...,UgxCTVE4igyYD5vJB3h4AaABAg.AWxeVWPPE93AX1104p4IiU,3,corriere_della_sera,author_4190
