comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxYdb9uP2F_Wf-vXJN4AaABAg,,0XkW6iFCmuw,False,author_1819,2026-05-18T15:37:17Z,2026-05-18T15:37:17Z,14,Alla sinistra Tanto piacciono le Risorse ... Vergogna,,0,corriere_della_sera,author_1819
UgxYdb9uP2F_Wf-vXJN4AaABAg.AWxZbDpjs53AWx_6MPXZnQ,UgxYdb9uP2F_Wf-vXJN4AaABAg,0XkW6iFCmuw,True,author_2641,2026-05-18T15:41:40Z,2026-05-18T15:41:40Z,1,E si la destra in questi 4 anni al governo ha fatto tanto .....a parole.,UgxYdb9uP2F_Wf-vXJN4AaABAg,1,corriere_della_sera,author_2641
UgwnQMDwSX04qADsTAx4AaABAg,,0XkW6iFCmuw,False,author_252,2026-05-18T15:44:13Z,2026-05-18T15:44:13Z,1,Account bannati da mesi da parte di Meta chissà perché 😅😅😅 una bravissima persona si è visto 😂😂😂,,0,corriere_della_sera,author_252
Ugz_x7kipxMvdhKtLth4AaABAg,,0XkW6iFCmuw,False,author_4146,2026-05-18T15:45:29Z,2026-05-18T15:45:29Z,8,Avvoltoi ??? E dei pagliacci che mi dice ?,,0,corriere_della_sera,author_4146
Ugx3qT56mQiUkuAK3WR4AaABAg,,0XkW6iFCmuw,False,author_3883,2026-05-18T15:45:33Z,2026-05-18T15:45:33Z,8,"Si vergogni ,si vergogni!!!!",,0,corriere_della_sera,author_3883
UgwCLY0CSbYFpIcYwcR4AaABAg,,0XkW6iFCmuw,False,author_25,2026-05-18T15:46:40Z,2026-05-18T15:46:40Z,1,"TANTO QUELLI SENZA LE GAMBE SONO GLI ALTRI , QUESTO SAREBBE IL RISULTATO DELLA VOSTRA POLITICA DI INTEGRAZIONE FATE VOMITARE !!!",,0,corriere_della_sera,author_25
UgzoeIykIJ3mzzYgzOt4AaABAg,,0XkW6iFCmuw,False,author_3883,2026-05-18T15:46:51Z,2026-05-18T15:46:51Z,1,Che pena quest'uomo,,0,corriere_della_sera,author_3883
UgwnQMDwSX04qADsTAx4AaABAg.AWx_OzYJ_TjAWx_mPJuBmz,UgwnQMDwSX04qADsTAx4AaABAg,0XkW6iFCmuw,True,author_213,2026-05-18T15:47:33Z,2026-05-18T15:47:33Z,0,"Sinceramente io e dal 2020i che me l'hanno bannato e dopo un iniziale dispiacere, adesso ne sono grato c'è tanta di quella m... Su facebook e Istagram che si sta meglio senza",UgwnQMDwSX04qADsTAx4AaABAg,1,corriere_della_sera,author_213
Ugy7KDwRyA_aZIdZL5Z4AaABAg,,0XkW6iFCmuw,False,author_92,2026-05-18T15:47:35Z,2026-05-18T15:47:35Z,0,"La tragedia di modena ,ha fatto comodo agli avvoltoi destri ,ci sguazzano, sono felici ,i vari giusti ,capezzone ,porro debbio ecc ecc ecc",,0,corriere_della_sera,author_92
UgwNqc0V6RyNHKxmXiJ4AaABAg,,0XkW6iFCmuw,False,author_4147,2026-05-18T15:51:24Z,2026-05-18T15:51:24Z,11,Questo e pazzo,,0,corriere_della_sera,author_4147
UgwoFlQ2OUikhmhekk14AaABAg,,0XkW6iFCmuw,False,author_4148,2026-05-18T15:52:43Z,2026-05-18T15:52:43Z,6,Sei complice del criminale dato che tu urli piu per chi si incazza col criminale e per me lo difende pure,,0,corriere_della_sera,author_4148
UgwnQMDwSX04qADsTAx4AaABAg.AWx_OzYJ_TjAWxaZflCekg,UgwnQMDwSX04qADsTAx4AaABAg,0XkW6iFCmuw,True,author_4148,2026-05-18T15:54:24Z,2026-05-18T15:54:24Z,0,non erano bannati!ora hanno oscurato i suoi accaunt per nascondere cio che scriveva,UgwnQMDwSX04qADsTAx4AaABAg,1,corriere_della_sera,author_4148
UgwCu_O1M3uTl_hdHP54AaABAg,,0XkW6iFCmuw,False,author_4149,2026-05-18T15:54:49Z,2026-05-18T15:54:49Z,3,"Mah le dichiarazioni del sindaco interessano poco,mi interesserebbero di più le dichiarazioni delle persone a cui hanno dovuto amputare le gambe",,0,corriere_della_sera,author_4149
UgxYdb9uP2F_Wf-vXJN4AaABAg.AWxZbDpjs53AWxaefwg4N9,UgxYdb9uP2F_Wf-vXJN4AaABAg,0XkW6iFCmuw,True,author_1342,2026-05-18T15:55:14Z,2026-05-18T15:55:14Z,0,"Gli piacciono tanto piu quanto compiono atti violenti nei nostri confronti, per loro quella povera donna falciata è una ""fascista"" solo per il fatto di essere italiana, loro silenziosamente parteggiano per El Koudri, ci scommetto.",UgxYdb9uP2F_Wf-vXJN4AaABAg,1,corriere_della_sera,author_1342
Ugxq7D8pF0BjhFJQeNN4AaABAg,,0XkW6iFCmuw,False,author_3255,2026-05-18T15:56:41Z,2026-05-18T15:56:41Z,10,Dimissioni grazie.,,0,corriere_della_sera,author_3255
Ugz_x7kipxMvdhKtLth4AaABAg.AWx_YLGfnYKAWxcYpSUSzL,Ugz_x7kipxMvdhKtLth4AaABAg,0XkW6iFCmuw,True,author_4150,2026-05-18T16:11:46Z,2026-05-18T16:11:46Z,1,"Perchè, si son fatti vedere ancora i rappresentanti di questo governo?",Ugz_x7kipxMvdhKtLth4AaABAg,1,corriere_della_sera,author_4150
UgxYdb9uP2F_Wf-vXJN4AaABAg.AWxZbDpjs53AWxcwrLLbjO,UgxYdb9uP2F_Wf-vXJN4AaABAg,0XkW6iFCmuw,True,author_4150,2026-05-18T16:15:11Z,2026-05-18T16:15:58Z,0,"lo squilibrato è cittadino italiano regolare, non un immigrato clandestino ed a contribuire al suo arresto sono stati anche due cittadini stranieri che vivono in Italia da anni. Un pakistano ed un egiziano, loro farebbero parte delle ""risorse"" che il tuo razzismo tanto disprezza, ma che hanno rischiato la pelle per fare quanto era giusto mentre altri ""probi ""cittadini erano lì col cellulare a vedere di postare l'evento su tik tok per racimolare 4 like e magari sputare sentenze, come hai fatto tu.",UgxYdb9uP2F_Wf-vXJN4AaABAg,1,corriere_della_sera,author_4150
Ugxq7D8pF0BjhFJQeNN4AaABAg.AWxapL-fVYNAWxd9IpRBlJ,Ugxq7D8pF0BjhFJQeNN4AaABAg,0XkW6iFCmuw,True,author_4150,2026-05-18T16:17:01Z,2026-05-18T16:17:01Z,0,"naaa, questo governo di peracottari non si dimetterà mai, han messo troppa colla sulle sedie",Ugxq7D8pF0BjhFJQeNN4AaABAg,1,corriere_della_sera,author_4150
UgyoEK9zcTY1Nw4sNF14AaABAg,,0XkW6iFCmuw,False,author_4151,2026-05-18T16:19:55Z,2026-05-18T16:19:55Z,3,Noi popolo italiano dobbiamo guardarci solo da persone come te e di tutta la sinistra altroché!!!!,,0,corriere_della_sera,author_4151
Ugz_zNxej_B4O9C2vFV4AaABAg,,0XkW6iFCmuw,False,author_4152,2026-05-18T16:58:27Z,2026-05-18T16:58:27Z,4,"Io sono modenese......il sindaco Mezzetti è un sinistroide di quelli che probabilmente accuserebbero le persone intervenute di aver maltrattato un povero marocchino indifeso.ovviamente spero che con questo i modenesi si sveglino, e smettano di votare a sinistra.",,0,corriere_della_sera,author_4152
Ugz8vxGADuyfM-uYtiZ4AaABAg,,0XkW6iFCmuw,False,author_431,2026-05-18T17:05:01Z,2026-05-18T17:05:01Z,1,"Sembra faccia il verso al sindaco Peppone dei film di don Camillo. Il quale era la parodia del sindaco comunista del dopoguerra. Il problema è che questo non recita, è proprio convinto. E sono passati 70 anni....",,0,corriere_della_sera,author_431
UgygxmZ_GQf-o2Z6NQR4AaABAg,,0XkW6iFCmuw,False,author_4153,2026-05-18T17:20:56Z,2026-05-18T17:20:56Z,6,Ma che cavolo vuole dire,,0,corriere_della_sera,author_4153
Ugxp8MheEkStNH0Dvg54AaABAg,,0XkW6iFCmuw,False,author_4154,2026-05-18T17:22:12Z,2026-05-18T17:23:05Z,5,SEI patetico.le gambe non Sono le tue.,,0,corriere_della_sera,author_4154
UgzRCCcEL9aRkbQV52t4AaABAg,,0XkW6iFCmuw,False,author_3695,2026-05-18T17:41:16Z,2026-05-18T17:41:16Z,3,Vergognati,,0,corriere_della_sera,author_3695
Ugw-zmCIshmmTuMzip54AaABAg,,0XkW6iFCmuw,False,author_4155,2026-05-18T17:43:23Z,2026-05-18T17:45:58Z,1,"Sembra strano ma ogni tragedia dicono sempre tutti, che era una persona normale , sia i comuni cittadini che le istituzioni. Siamo alla frutta.",,0,corriere_della_sera,author_4155
UgwEwrHF5mTgtA2ZYzJ4AaABAg,,0XkW6iFCmuw,False,author_4156,2026-05-18T17:50:18Z,2026-05-18T17:50:18Z,5,"Avete rovinato L'italia, con questo buonismo.",,0,corriere_della_sera,author_4156
UgxgiFaiCTywMznwFqt4AaABAg,,0XkW6iFCmuw,False,author_4157,2026-05-18T18:08:38Z,2026-05-18T18:08:38Z,0,Il ragazzo ha scritto a morte i cristiani,,0,corriere_della_sera,author_4157
UgwyU9LEs37rpupQZwh4AaABAg,,0XkW6iFCmuw,False,author_570,2026-05-18T18:19:50Z,2026-05-18T18:19:50Z,15,dovrebbe tornare di moda la vergogna,,0,corriere_della_sera,author_570
UgxqTj7ZvYUCwotPw5h4AaABAg,,0XkW6iFCmuw,False,author_503,2026-05-18T19:24:50Z,2026-05-18T19:24:50Z,0,Questo fa più schifo di tutti Emilia Romagna ormai e caduta e in mano ai mussulmani Complimenti schifoso,,0,corriere_della_sera,author_503
Ugzb8u53fF7SKaISVZ14AaABAg,,0XkW6iFCmuw,False,author_4158,2026-05-18T22:03:40Z,2026-05-18T22:03:40Z,2,BUFFONEEEEEEE,,0,corriere_della_sera,author_4158
UgxtZBJun6yAg1gKvGd4AaABAg,,0XkW6iFCmuw,False,author_4159,2026-05-19T00:49:54Z,2026-05-19T00:49:54Z,0,Fai veramente schifo,,0,corriere_della_sera,author_4159
Ugwsml_7fY3m4K7n0xh4AaABAg,,0XkW6iFCmuw,False,author_1898,2026-05-19T01:23:56Z,2026-05-19T01:23:56Z,0,Vada a dirlo ai feriti.,,0,corriere_della_sera,author_1898
Ugz_zNxej_B4O9C2vFV4AaABAg.AWxhtg5UzPfAWyjecnf3cD,Ugz_zNxej_B4O9C2vFV4AaABAg,0XkW6iFCmuw,True,author_4160,2026-05-19T02:33:06Z,2026-05-19T02:33:06Z,0,O sindaco ma se te levava a te le gambe parlavi così ma va,Ugz_zNxej_B4O9C2vFV4AaABAg,1,corriere_della_sera,author_4160
