comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgyQUj0NxZiu2JilJiZ4AaABAg,,4-qKoGqkRAg,False,author_3688,2026-05-21T10:38:32Z,2026-05-21T10:38:32Z,9,"Perdonami...ma io non ci riuscirei mai...anzi avrei fatto io a loro,quello che loro avevano fatto a te...",,0,corriere_della_sera,author_3688
UgzrN3afMnMVHJZNb814AaABAg,,4-qKoGqkRAg,False,author_3689,2026-05-21T10:39:59Z,2026-05-21T10:39:59Z,7,Male se abbracciamo i delinquenti non abbiamo capito niente; questi delinquenti quando escono fanno come prima delinquenti restano,,0,corriere_della_sera,author_3689
UgzCMid598PSHMPFZ6t4AaABAg,,4-qKoGqkRAg,False,author_3690,2026-05-21T10:48:48Z,2026-05-21T10:50:07Z,1,Chapeaux 🎩,,0,corriere_della_sera,author_3690
UgwDYd8Rf1x9zU9oE_p4AaABAg,,4-qKoGqkRAg,False,author_3527,2026-05-21T10:53:52Z,2026-05-21T10:53:52Z,0,Perché all'aggressore italiano 20 anni e al complice immigrato solo 10 mesi?,,0,corriere_della_sera,author_3527
UgyjQxS-a5ibWe1KGOp4AaABAg,,4-qKoGqkRAg,False,author_3691,2026-05-21T10:54:38Z,2026-05-21T10:54:38Z,1,la miglior vendetta e il perdono,,0,corriere_della_sera,author_3691
UgxMqLHxMxAMSdn7DmB4AaABAg,,4-qKoGqkRAg,False,author_462,2026-05-21T11:15:39Z,2026-05-21T11:15:39Z,2,Ma si perdoniamo chi ci fà del male tanto...,,0,corriere_della_sera,author_462
UgzCMid598PSHMPFZ6t4AaABAg.AX3lywpGAxSAX3pf-mBHDs,UgzCMid598PSHMPFZ6t4AaABAg,4-qKoGqkRAg,True,author_3320,2026-05-21T11:21:02Z,2026-05-21T11:21:37Z,0,Chapeau 🎩,UgzCMid598PSHMPFZ6t4AaABAg,1,corriere_della_sera,author_3320
UgyjQxS-a5ibWe1KGOp4AaABAg.AX3mddwVOiTAX3pmw3SRM9,UgyjQxS-a5ibWe1KGOp4AaABAg,4-qKoGqkRAg,True,author_3320,2026-05-21T11:22:07Z,2026-05-21T11:22:07Z,1,è,UgyjQxS-a5ibWe1KGOp4AaABAg,1,corriere_della_sera,author_3320
UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3poARNW7R,UgxMqLHxMxAMSdn7DmB4AaABAg,4-qKoGqkRAg,True,author_3320,2026-05-21T11:22:17Z,2026-05-21T11:22:17Z,0,sì,UgxMqLHxMxAMSdn7DmB4AaABAg,1,corriere_della_sera,author_3320
UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3qcXXAtBn,UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3poARNW7R,4-qKoGqkRAg,True,author_462,2026-05-21T11:29:26Z,2026-05-21T11:29:26Z,0,@author_3320 Piace appagare il proprio ego eh,UgxMqLHxMxAMSdn7DmB4AaABAg.AX3p2ZqXCiBAX3poARNW7R,2,corriere_della_sera,author_462
