comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugxgg0l7fteNsIGzi5Z4AaABAg,,6ZPpR075vGo,False,author_3870,2026-05-20T13:38:44Z,2026-05-20T13:38:44Z,22,Lasciateli li quei pagliacci 😂,,0,corriere_della_sera,author_3870
Ugzkw8S73ssJw8E1YtR4AaABAg,,6ZPpR075vGo,False,author_3871,2026-05-20T13:39:18Z,2026-05-20T13:40:46Z,3,Ma non l'avete capito che se ne fregano di noi e voi li votate bravi. Se usavano pallottole vere forse andava in niente li facevamo passare per terroristi e ciao come i nostri medici senza frontiere li fanno passare per terroristi o che erano sponsorizzati da Hamas o Ayatollah e lo stesso il papa dato che è contro la guerra.,,0,corriere_della_sera,author_3871
Ugxgg0l7fteNsIGzi5Z4AaABAg.AX1VchpmkOQAX1WP6jU38n,Ugxgg0l7fteNsIGzi5Z4AaABAg,6ZPpR075vGo,True,author_3872,2026-05-20T13:45:29Z,2026-05-20T13:45:29Z,1,volevi dire eroi,Ugxgg0l7fteNsIGzi5Z4AaABAg,1,corriere_della_sera,author_3872
Ugxgg0l7fteNsIGzi5Z4AaABAg.AX1VchpmkOQAX1WPV8UJ7N,Ugxgg0l7fteNsIGzi5Z4AaABAg,6ZPpR075vGo,True,author_3677,2026-05-20T13:45:32Z,2026-05-20T13:45:32Z,4,Immagino un patriota...,Ugxgg0l7fteNsIGzi5Z4AaABAg,1,corriere_della_sera,author_3677
UgwMgEQ6O0Hyf4bROWR4AaABAg,,6ZPpR075vGo,False,author_661,2026-05-20T13:48:18Z,2026-05-20T13:48:18Z,1,Sempre peggio,,0,corriere_della_sera,author_661
Ugz5-D3PShxRQhNHI9t4AaABAg,,6ZPpR075vGo,False,author_3873,2026-05-20T13:50:30Z,2026-05-20T13:50:30Z,1,"Certo che questi militari sono inbranati, non sono ancora riusciti ad affondarne una",,0,corriere_della_sera,author_3873
Ugxgg0l7fteNsIGzi5Z4AaABAg.AX1VchpmkOQAX1XgcAYk6t,Ugxgg0l7fteNsIGzi5Z4AaABAg,6ZPpR075vGo,True,author_3874,2026-05-20T13:56:45Z,2026-05-20T13:56:45Z,4,Ma non ti vergogni per niente.,Ugxgg0l7fteNsIGzi5Z4AaABAg,1,corriere_della_sera,author_3874
Ugxgg0l7fteNsIGzi5Z4AaABAg.AX1VchpmkOQAX1Xi6kKGjO,Ugxgg0l7fteNsIGzi5Z4AaABAg,6ZPpR075vGo,True,author_3875,2026-05-20T13:56:57Z,2026-05-20T13:56:57Z,6,Italiani di serie A e di serie B. Ecco uno dei nuovi patrioti. Fai pena quanto la Meloni,Ugxgg0l7fteNsIGzi5Z4AaABAg,1,corriere_della_sera,author_3875
UgwD45YvcWnEQVg3iqB4AaABAg,,6ZPpR075vGo,False,author_3876,2026-05-20T14:04:15Z,2026-05-20T14:04:15Z,9,Potete tenerli a pane e acqua a vita. Solo da noi siamo permissivi con tutti,,0,corriere_della_sera,author_3876
Ugxgg0l7fteNsIGzi5Z4AaABAg.AX1VchpmkOQAX1Yk3W8Ty3,Ugxgg0l7fteNsIGzi5Z4AaABAg.AX1VchpmkOQAX1Xi6kKGjO,6ZPpR075vGo,True,author_3870,2026-05-20T14:05:57Z,2026-05-20T14:05:57Z,3,@user gli utili idioti 😂,Ugxgg0l7fteNsIGzi5Z4AaABAg.AX1VchpmkOQAX1Xi6kKGjO,2,corriere_della_sera,author_3870
UgyK5BfqjKt8YHy0Fml4AaABAg,,6ZPpR075vGo,False,author_3877,2026-05-20T14:06:15Z,2026-05-20T14:06:15Z,9,Tajani interessati di altro laciali agli israeliani che se li tengano. Tanto una volta liberi risalgono sulle barche e ritornano lì.questo giochino deve finire..lo fanno apposta per avere pubblicità..dimenticatili lì per sempre ci hanno rotto loro e i mass media che gli corrono dietro..,,0,corriere_della_sera,author_3877
UgzXK4av_gwS4BTLZfR4AaABAg,,6ZPpR075vGo,False,author_213,2026-05-20T14:09:04Z,2026-05-20T14:09:04Z,6,Carotenuto se fa lo sciopero della fame sai chi se accorge? Pesa più d'una tonnellata,,0,corriere_della_sera,author_213
UgxgvAUiGbNdZqrSF0J4AaABAg,,6ZPpR075vGo,False,author_3878,2026-05-20T14:21:52Z,2026-05-20T14:21:52Z,0,Stiano li merde servizi sociali non fateli più venire in Italia,,0,corriere_della_sera,author_3878
UgxbuplCHYO03IQZv-F4AaABAg,,6ZPpR075vGo,False,author_3879,2026-05-20T14:25:41Z,2026-05-20T14:25:41Z,12,I soldati israeliani devono aggiustare la mira,,0,corriere_della_sera,author_3879
Ugy98vqWyVoaX--7q4F4AaABAg,,6ZPpR075vGo,False,author_3880,2026-05-20T14:26:02Z,2026-05-20T14:26:02Z,0,"Ma non sarebbe meglio che il governo dicesse a questi rompiglioni, se andate in quel scenario di guerra sappiate non interverremo a vostra difesa. Sono dei provocatori che vogliono creare una crisi politica nel nostro paese. Lasciate che li inducano a miglior ragione i militari Israeliani.",,0,corriere_della_sera,author_3880
