comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwjQiQFL8ZG2K4Mf9N4AaABAg,,CAVns3bw4tc,False,author_2641,2026-05-16T06:57:46Z,2026-05-16T06:57:46Z,1,Cioè sulla Margherita il basilico è un ingrediente principale e lo fa pagare extra? Fanno bene a pubblicare queste cose . Poi quando nessuno ci va più maledirà la pretesa di quell'euro in più.,,0,corriere_della_sera,author_2641
UgzxFYIRDoYX1JXgpEV4AaABAg,,CAVns3bw4tc,False,author_4261,2026-05-16T07:10:10Z,2026-05-16T07:10:10Z,3,Poi si lamentano se la gente non va più in pizzeria,,0,corriere_della_sera,author_4261
Ugy-UwZGUvA9xJ7m6FZ4AaABAg,,CAVns3bw4tc,False,author_3373,2026-05-16T07:29:08Z,2026-05-16T07:29:08Z,5,"Roba da non credere, a questo punto, mi porto 3 o 4 foglie di basilico, ordino la pizza e gli dico, senza basilico e metto il mio.😂😂😂😂😂",,0,corriere_della_sera,author_3373
UgzQ0BUkZtL1S-n4fA14AaABAg,,CAVns3bw4tc,False,author_715,2026-05-16T07:34:52Z,2026-05-16T07:34:52Z,2,"Le polemiche non mi appartengono, generalmente Pago e ringrazio se il prodotto merita, ma qui effettivamente hanno esagerato, per il basilico che è un ingrediente naturale per la margherita 🤦, si può capire una differenza di prezzo con qualche ingrediente non di Base sulla Margherita",,0,corriere_della_sera,author_715
Ugy-UwZGUvA9xJ7m6FZ4AaABAg.AWrY9Bphc5NAWr_CVKOH9P,Ugy-UwZGUvA9xJ7m6FZ4AaABAg,CAVns3bw4tc,True,author_4262,2026-05-16T07:47:04Z,2026-05-16T07:47:04Z,2,E' da fare.,Ugy-UwZGUvA9xJ7m6FZ4AaABAg,1,corriere_della_sera,author_4262
Ugy9uks04AyWeHq503Z4AaABAg,,CAVns3bw4tc,False,author_4263,2026-05-16T08:07:43Z,2026-05-16T08:07:43Z,1,Cercate di finirla un euro di basilico fate pena,,0,corriere_della_sera,author_4263
Ugy-UwZGUvA9xJ7m6FZ4AaABAg.AWrY9Bphc5NAWrcciizGtJ,Ugy-UwZGUvA9xJ7m6FZ4AaABAg,CAVns3bw4tc,True,author_4264,2026-05-16T08:17:00Z,2026-05-16T08:17:00Z,1,No io comprerei UNA PIANTA IN VASO ( € 2 ) e gliela regalerei !!!! Ma che vergogna,Ugy-UwZGUvA9xJ7m6FZ4AaABAg,1,corriere_della_sera,author_4264
Ugy-UwZGUvA9xJ7m6FZ4AaABAg.AWrY9Bphc5NAWrdNDxLbmO,Ugy-UwZGUvA9xJ7m6FZ4AaABAg,CAVns3bw4tc,True,author_4265,2026-05-16T08:23:29Z,2026-05-16T08:23:29Z,1,Vero😂,Ugy-UwZGUvA9xJ7m6FZ4AaABAg,1,corriere_della_sera,author_4265
UgwPEZnkIg4-JFPCQKl4AaABAg,,CAVns3bw4tc,False,author_1299,2026-05-16T08:47:03Z,2026-05-16T08:47:03Z,4,Ecco perché devono chiudere tutti .... 26 euro uno spaghetto alle vongole .. 52 mila lire ...,,0,corriere_della_sera,author_1299
UgyCGCLWSMK8W2jEJex4AaABAg,,CAVns3bw4tc,False,author_4266,2026-05-16T09:05:19Z,2026-05-16T09:05:19Z,0,Con 2 euro ti compri una piantina intera 😂😂😂😂😂😂😂,,0,corriere_della_sera,author_4266
