comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugze9gv34PNFgTaggKZ4AaABAg,,EnSlebXIqvQ,False,author_4057,2026-05-19T09:33:21Z,2026-05-19T09:33:21Z,2,❤❤❤❤un. grande 💯💯❤❤ incidente molto grave ❤❤❤❤🎉🎉,,0,corriere_della_sera,author_4057
UgzmkIOG4Y5g_uNTAB94AaABAg,,EnSlebXIqvQ,False,author_3831,2026-05-19T09:53:35Z,2026-05-19T09:53:35Z,3,A preso un gelato ed era allergico al lattosio? E possibile mai che non sapeva di essere allergico?,,0,corriere_della_sera,author_3831
Ugw6VSsB_aRI0nat6Kp4AaABAg,,EnSlebXIqvQ,False,author_488,2026-05-19T10:31:51Z,2026-05-19T10:31:51Z,0,Mi dispiace ❤❤,,0,corriere_della_sera,author_488
Ugze9gv34PNFgTaggKZ4AaABAg.AWzUkbu-PecAWzaTX3-M4k,Ugze9gv34PNFgTaggKZ4AaABAg,EnSlebXIqvQ,True,author_3527,2026-05-19T10:32:03Z,2026-05-19T10:32:03Z,0,Complimenti alla redazione 😂😂😂,Ugze9gv34PNFgTaggKZ4AaABAg,1,corriere_della_sera,author_3527
UgzmkIOG4Y5g_uNTAB94AaABAg.AWzX3mm2SSIAWzadaZ6UJu,UgzmkIOG4Y5g_uNTAB94AaABAg,EnSlebXIqvQ,True,author_3527,2026-05-19T10:33:34Z,2026-05-19T10:33:34Z,1,Vuoi vedere che ora la colpa è del gelataio?😂,UgzmkIOG4Y5g_uNTAB94AaABAg,1,corriere_della_sera,author_3527
UgzmkIOG4Y5g_uNTAB94AaABAg.AWzX3mm2SSIAWzaiGVms0V,UgzmkIOG4Y5g_uNTAB94AaABAg,EnSlebXIqvQ,True,author_4058,2026-05-19T10:34:12Z,2026-05-19T10:36:11Z,3,"😮😮 sembra troppo strano anche a me il pensare che abbia ingerito una cosa di cui non poteva che esserne a conoscenza (16 enne non 2/3 anni) poi anche allergico, non intollerante che è ben diverso. Cmq Condogliaze ❤ alla famiglia.",UgzmkIOG4Y5g_uNTAB94AaABAg,1,corriere_della_sera,author_4058
Ugz0DnKpSHz1riPEPC94AaABAg,,EnSlebXIqvQ,False,author_3527,2026-05-19T10:34:43Z,2026-05-19T10:34:43Z,0,Selezione naturale,,0,corriere_della_sera,author_3527
Ugw6VSsB_aRI0nat6Kp4AaABAg.AWzaS2Yte5cAWzas0rQn35,Ugw6VSsB_aRI0nat6Kp4AaABAg,EnSlebXIqvQ,True,author_3527,2026-05-19T10:35:32Z,2026-05-19T10:35:32Z,0,Mi dispiace per il gelataio,Ugw6VSsB_aRI0nat6Kp4AaABAg,1,corriere_della_sera,author_3527
UgzmkIOG4Y5g_uNTAB94AaABAg.AWzX3mm2SSIAWzdj7-iiEm,UgzmkIOG4Y5g_uNTAB94AaABAg.AWzX3mm2SSIAWzadaZ6UJu,EnSlebXIqvQ,True,author_3831,2026-05-19T11:00:32Z,2026-05-19T11:00:32Z,0,@user ha sbagliato a dargli il gelato? Può essere,UgzmkIOG4Y5g_uNTAB94AaABAg.AWzX3mm2SSIAWzadaZ6UJu,2,corriere_della_sera,author_3831
UgyYJTSSzsMKk7PJ7FF4AaABAg,,EnSlebXIqvQ,False,author_4059,2026-05-19T11:38:22Z,2026-05-19T11:38:22Z,1,"Anafilaxia a las Proteinas de la leche de vaca! Caseina(proteina), no a Los disacaridos (lactosa), es bien diferente. Mal escrito. Shock anafilactico (causa alimentaria)! Escriban bien. Periodistas, no es tan dificil!!!!!!",,0,corriere_della_sera,author_4059
UgxPmZWj_xn4FOxXCnd4AaABAg,,EnSlebXIqvQ,False,author_3323,2026-05-19T11:52:14Z,2026-05-19T11:52:14Z,0,Sono una mamma e un dolore per i genitori riposa in pace 😭😇🙏,,0,corriere_della_sera,author_3323
