comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgyEeaG-8IQMIun0K_J4AaABAg,,NxmhNHc7fjs,False,author_3289,2026-05-27T05:53:10Z,2026-05-27T05:53:10Z,0,❤❤,,0,corriere_della_sera,author_3289
UgzV7Thx1ujU1NybTAN4AaABAg,,NxmhNHc7fjs,False,author_3290,2026-05-27T06:51:09Z,2026-05-27T06:51:09Z,1,"Un guerriero sul campo, un guerriero fuori. Auguri a tutti.",,0,corriere_della_sera,author_3290
Ugz38M0wfbgAFuf5iod4AaABAg,,NxmhNHc7fjs,False,author_3291,2026-05-27T07:59:06Z,2026-05-27T07:59:06Z,0,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤sei un grande 💪😊,,0,corriere_della_sera,author_3291
UgxKFurMrV2vNW-T-gV4AaABAg,,NxmhNHc7fjs,False,author_3292,2026-05-27T11:31:53Z,2026-05-27T11:31:53Z,0,😢😢😢😢❤❤❤❤❤,,0,corriere_della_sera,author_3292
UgzmRYPP3YH5JtioQLd4AaABAg,,NxmhNHc7fjs,False,author_3293,2026-05-27T11:40:58Z,2026-05-27T11:40:58Z,0,Non mollare bomber sarai più forte di lui💪,,0,corriere_della_sera,author_3293
Ugy2WHacLFzPBT25okh4AaABAg,,NxmhNHc7fjs,False,author_3294,2026-05-27T12:38:56Z,2026-05-27T12:38:56Z,0,"Che dire,mitico in tutto,uomo,giocatore,padre,che tu possa guarire al 100%,pregp x te bomber,tua figlia e' orgogliosa di avere un padre cosi eccezionale,un abbraccione Igor",,0,corriere_della_sera,author_3294
UgxdokXET3Qw66v1czd4AaABAg,,NxmhNHc7fjs,False,author_3295,2026-05-27T12:40:59Z,2026-05-27T12:40:59Z,0,Un guerriero sino all' ultimo,,0,corriere_della_sera,author_3295
UgxkPlUIY3CdohnTU-p4AaABAg,,NxmhNHc7fjs,False,author_3296,2026-05-27T13:47:50Z,2026-05-27T13:47:50Z,0,Forza bomber....ancora mi ricordo quando facevi tremare tutti i campi compreso gli avversari....Non mollare.,,0,corriere_della_sera,author_3296
UgyQa8ckHs4oTTcdw354AaABAg,,NxmhNHc7fjs,False,author_3297,2026-05-27T14:20:10Z,2026-05-27T14:20:10Z,1,"Anche questo è sacrificio,sei un grande ❤❤❤❤❤",,0,corriere_della_sera,author_3297
UgxIbW0VSAgKDrN_JeN4AaABAg,,NxmhNHc7fjs,False,author_3298,2026-05-27T16:14:47Z,2026-05-27T16:14:47Z,1,Una grande forza. Tutta l'Italia ti mada un grande abbraccio ❤,,0,corriere_della_sera,author_3298
Ugy3Imq0K18TgIBCkLV4AaABAg,,NxmhNHc7fjs,False,author_3299,2026-05-27T18:20:38Z,2026-05-27T18:20:38Z,0,Forza Igor tanti auguri a te e tua figlia 🙏🙏🌹❤😊,,0,corriere_della_sera,author_3299
UgxJc4kuyzKRlBS2N0x4AaABAg,,NxmhNHc7fjs,False,author_3300,2026-05-27T19:12:23Z,2026-05-27T19:12:23Z,0,El garincia Usc Cremo forza Igor non mollare so cosa stai passando ...mio fratello anche lui cosi😢😢😢😢😢,,0,corriere_della_sera,author_3300
UgyewMTB_jkhUooI7CF4AaABAg,,NxmhNHc7fjs,False,author_3301,2026-05-27T19:22:53Z,2026-05-27T19:22:53Z,0,Tantissimi auguri per tua figlia❤❤ sei un grande❤❤❤,,0,corriere_della_sera,author_3301
UgwGpqqAGDEpWRMLuTJ4AaABAg,,NxmhNHc7fjs,False,author_3302,2026-05-27T20:05:35Z,2026-05-27T20:05:35Z,0,Grande guerriero auguri per la figliola e onore al campione,,0,corriere_della_sera,author_3302
UgwlzC0ZafawBTAgXYp4AaABAg,,NxmhNHc7fjs,False,author_3303,2026-05-27T21:57:25Z,2026-05-27T21:57:25Z,0,Che uomo si orgogliosa di tuo padre,,0,corriere_della_sera,author_3303
UgwdgRwtnK3Hab-6n4V4AaABAg,,NxmhNHc7fjs,False,author_3304,2026-05-28T05:08:40Z,2026-05-28T05:08:40Z,0,"Il tuo gesto e' un atto eroico, e sei da ammirare, bravo e innanzitutto ti auguro tutto il bene per la tua.malattia.",,0,corriere_della_sera,author_3304
