comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugy7RMAfXNeKRmcxgPp4AaABAg,,ZgeqvI1q7SY,False,author_41,2026-05-18T11:19:51Z,2026-05-18T11:19:51Z,2,"Non avere profili è segno di Intelligenza..., poi se aveva altri problemi ok..., non avere profili è segno di sanità mentale...🤡",,0,corriere_della_sera,author_41
Ugy7RMAfXNeKRmcxgPp4AaABAg.AWx68hnHWcHAWx7HrQpZmq,Ugy7RMAfXNeKRmcxgPp4AaABAg,ZgeqvI1q7SY,True,author_3320,2026-05-18T11:29:50Z,2026-05-18T11:29:50Z,0,Alla fine è così,Ugy7RMAfXNeKRmcxgPp4AaABAg,1,corriere_della_sera,author_3320
UgzCEO4-xSVaEsj4Z4h4AaABAg,,ZgeqvI1q7SY,False,author_4200,2026-05-18T11:42:54Z,2026-05-18T11:42:54Z,11,La vita....solitaria? O qualche seme di odio piantato abilmente in una mente debole?,,0,corriere_della_sera,author_4200
UgygWvv7ib0pDy2-oWZ4AaABAg,,ZgeqvI1q7SY,False,author_4201,2026-05-18T12:21:28Z,2026-05-18T12:21:28Z,0,"Se tutti quelli che hanno problemi psichiatrici agiscono così, STILE TERRORISTA ISLAMICO, riapriamo I manicomi.",,0,corriere_della_sera,author_4201
Ugx4Itlub2f2LXYFszt4AaABAg,,ZgeqvI1q7SY,False,author_1831,2026-05-18T13:18:54Z,2026-05-18T13:18:54Z,0,"Come avevo scritto ieri non so dove, sarebbe stato accusato x il vero, di tentata strage . perché di fatto il reato si concretizza,con con tre o più vittime.. comunque va bene così! Quella povera signora❤ ora dovra' essere assistita e sappiamo come funge vero!",,0,corriere_della_sera,author_1831
Ugw74y2yqmh7Aw2G71h4AaABAg,,ZgeqvI1q7SY,False,author_4202,2026-05-18T14:15:15Z,2026-05-18T14:15:15Z,4,Ma che foto è con le orecchie a sventola ????😡 ne circola un'altra COMPLETAMENTE DIVERSA ma voi pseudogiornalisti siete capaci di dirci la verità ???😡😡😡,,0,corriere_della_sera,author_4202
Ugwkeq4WSFbE6Vu8qYV4AaABAg,,ZgeqvI1q7SY,False,author_4149,2026-05-18T16:08:32Z,2026-05-18T16:08:32Z,7,Vita solitaria ti autorizza a schiacciare le persone? Non riesco a capire certi titoli,,0,corriere_della_sera,author_4149
Ugwh41k6JTkRjTYoIet4AaABAg,,ZgeqvI1q7SY,False,author_4203,2026-05-18T18:22:07Z,2026-05-18T18:22:07Z,3,Quercia e corda,,0,corriere_della_sera,author_4203
Ugy7RMAfXNeKRmcxgPp4AaABAg.AWx68hnHWcHAWy2aRvqOT-,Ugy7RMAfXNeKRmcxgPp4AaABAg,ZgeqvI1q7SY,True,author_1648,2026-05-18T20:08:03Z,2026-05-18T20:08:03Z,1,Si è visto😮,Ugy7RMAfXNeKRmcxgPp4AaABAg,1,corriere_della_sera,author_1648
Ugx4Itlub2f2LXYFszt4AaABAg.AWxJlgiy8k5AWy349VpkdM,Ugx4Itlub2f2LXYFszt4AaABAg,ZgeqvI1q7SY,True,author_3320,2026-05-18T20:12:15Z,2026-05-18T20:12:15Z,0,come finisce,Ugx4Itlub2f2LXYFszt4AaABAg,1,corriere_della_sera,author_3320
UgzpGkk5rcAdBIY525N4AaABAg,,ZgeqvI1q7SY,False,author_4204,2026-05-18T21:00:14Z,2026-05-18T21:00:14Z,5,Cellula dormiente,,0,corriere_della_sera,author_4204
Ugwnxe2tlNnzXEXKYkh4AaABAg,,ZgeqvI1q7SY,False,author_4180,2026-05-19T04:03:55Z,2026-05-19T04:03:55Z,0,"La sindrome del "" caso isolato"" di stampo tedesco, ha raggiunto il Belpaese.",,0,corriere_della_sera,author_4180
Ugwh41k6JTkRjTYoIet4AaABAg.AWxrTWEydaRAWyyl8JICWy,Ugwh41k6JTkRjTYoIet4AaABAg,ZgeqvI1q7SY,True,author_2531,2026-05-19T04:45:04Z,2026-05-19T04:45:04Z,0,La pago io la corda,Ugwh41k6JTkRjTYoIet4AaABAg,1,corriere_della_sera,author_2531
UgyBKSNduthm5_QQ2Lx4AaABAg,,ZgeqvI1q7SY,False,author_4205,2026-05-19T04:57:24Z,2026-05-19T04:57:24Z,0,"Sempre a giustificare, basta è ora di finirla, é un attentatore!!!!",,0,corriere_della_sera,author_4205
UgziSJ7odcXHQpyrPWh4AaABAg,,ZgeqvI1q7SY,False,author_4206,2026-05-19T08:53:00Z,2026-05-19T08:53:00Z,1,adesso ci manca che tutte le persone sole facciano attentati,,0,corriere_della_sera,author_4206
Ugx9l7Qn8WygG3kGnZ94AaABAg,,ZgeqvI1q7SY,False,author_4207,2026-05-19T08:55:18Z,2026-05-19T08:55:18Z,0,"Si tratta di Attentato,no di una marachella di un folle",,0,corriere_della_sera,author_4207
