comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzNe23tiIj86puFNb54AaABAg,,gsUCuhWQqEI,False,author_3314,2026-05-26T20:05:02Z,2026-05-26T20:05:02Z,0,What a disgrace. Are they fascists?,,0,corriere_della_sera,author_3314
UgxVvrMCEo2uwPDOyGV4AaABAg,,gsUCuhWQqEI,False,author_105,2026-05-26T20:09:02Z,2026-05-26T20:09:02Z,2,Date da bere agli assetati allora è giuridicamente sbagliato. Gesù avrebbe perso la causa con i saggi della Cassazione. Si nega l'acqua e per la legge è pure giusto!,,0,corriere_della_sera,author_105
UgzEyjQw8DT1w0JEluB4AaABAg,,gsUCuhWQqEI,False,author_3315,2026-05-26T20:49:14Z,2026-05-26T20:49:14Z,2,In Francia invece è obbligatorio dare una caraffa d’acqua gratis al cliente che ordina al menu.,,0,corriere_della_sera,author_3315
UgzusnYOCMpv1BUSizd4AaABAg,,gsUCuhWQqEI,False,author_3316,2026-05-27T03:30:45Z,2026-05-27T03:30:45Z,3,"In un hotel a 5 stelle mi aspetto un servizio completo,la turista voleva anche pagare l'Acquq di rubinetto.Povertà mentale dell' albergatore!!!",,0,corriere_della_sera,author_3316
UgzNe23tiIj86puFNb54AaABAg.AXHdbK5iwRJAXIbOB-My_2,UgzNe23tiIj86puFNb54AaABAg,gsUCuhWQqEI,True,author_3317,2026-05-27T05:04:52Z,2026-05-27T05:04:52Z,0,50% of Italian people.,UgzNe23tiIj86puFNb54AaABAg,1,corriere_della_sera,author_3317
Ugyi8WTeuYqztGA3K994AaABAg,,gsUCuhWQqEI,False,author_3318,2026-05-27T06:30:27Z,2026-05-27T06:30:27Z,4,Farsi la guerra in Tribunale per una bottiglia d'acqua fa capire a che livello è arrivata questa società. (Ammesso che la notizia sia vera),,0,corriere_della_sera,author_3318
Ugz8au_mMr-GM8B8nI54AaABAg,,gsUCuhWQqEI,False,author_3319,2026-05-27T06:35:02Z,2026-05-27T06:35:02Z,0,"In Alto Adige poi, la culla della civiltà 😂",,0,corriere_della_sera,author_3319
UgzEyjQw8DT1w0JEluB4AaABAg.AXHif4aYNrAAXImik2oiCO,UgzEyjQw8DT1w0JEluB4AaABAg,gsUCuhWQqEI,True,author_871,2026-05-27T06:43:56Z,2026-05-27T06:43:56Z,0,In Italia sono poveri come lammerda e cercano di farsi pagare il più possibile e per qualsiasi cosa,UgzEyjQw8DT1w0JEluB4AaABAg,1,corriere_della_sera,author_871
UgyXqHfwkpXXOmsD9v14AaABAg,,gsUCuhWQqEI,False,author_3320,2026-05-27T07:46:16Z,2026-05-27T07:46:16Z,0,Per fregarsi soldi in più?,,0,corriere_della_sera,author_3320
UgzusnYOCMpv1BUSizd4AaABAg.AXIRbs5Yw15AXItuDPtkvN,UgzusnYOCMpv1BUSizd4AaABAg,gsUCuhWQqEI,True,author_3320,2026-05-27T07:46:40Z,2026-05-27T07:46:40Z,0,Alto Adige/Suedtirol,UgzusnYOCMpv1BUSizd4AaABAg,1,corriere_della_sera,author_3320
UgyEd7c4rb_hDLb_9od4AaABAg,,gsUCuhWQqEI,False,author_3320,2026-05-27T07:47:13Z,2026-05-27T07:47:13Z,2,Boicottaggio,,0,corriere_della_sera,author_3320
UgzNe23tiIj86puFNb54AaABAg.AXHdbK5iwRJAXIuSOqWXob,UgzNe23tiIj86puFNb54AaABAg,gsUCuhWQqEI,True,author_3320,2026-05-27T07:51:28Z,2026-05-27T07:51:28Z,0,Germans hating italian language,UgzNe23tiIj86puFNb54AaABAg,1,corriere_della_sera,author_3320
UgzNe23tiIj86puFNb54AaABAg.AXHdbK5iwRJAXIuTnSucIG,UgzNe23tiIj86puFNb54AaABAg.AXHdbK5iwRJAXIbOB-My_2,gsUCuhWQqEI,True,author_3320,2026-05-27T07:51:40Z,2026-05-27T07:51:40Z,0,@user knows?,UgzNe23tiIj86puFNb54AaABAg.AXHdbK5iwRJAXIbOB-My_2,2,corriere_della_sera,author_3320
UgzNe23tiIj86puFNb54AaABAg.AXHdbK5iwRJAXIuVOCp9p8,UgzNe23tiIj86puFNb54AaABAg.AXHdbK5iwRJAXIbOB-My_2,gsUCuhWQqEI,True,author_3320,2026-05-27T07:51:53Z,2026-05-27T07:51:53Z,0,@user,UgzNe23tiIj86puFNb54AaABAg.AXHdbK5iwRJAXIbOB-My_2,2,corriere_della_sera,author_3320
UgzNe23tiIj86puFNb54AaABAg.AXHdbK5iwRJAXIujraB9dH,UgzNe23tiIj86puFNb54AaABAg,gsUCuhWQqEI,True,author_3320,2026-05-27T07:53:59Z,2026-05-27T07:53:59Z,0,Disgrace fosho,UgzNe23tiIj86puFNb54AaABAg,1,corriere_della_sera,author_3320
UgxfBrUkpT6xTeu7xFV4AaABAg,,gsUCuhWQqEI,False,author_3290,2026-05-27T10:28:37Z,2026-05-27T10:28:37Z,0,"Non lo trovo così scandaloso. Lo diventerebbe se la"" doggy bag ""divenisse a sua volta un obbligo.",,0,corriere_della_sera,author_3290
UgxMOzYDRL64Lro8f9J4AaABAg,,gsUCuhWQqEI,False,author_3112,2026-05-28T07:57:06Z,2026-05-28T07:57:06Z,0,State a casa e l'acqua se la bevono loro,,0,corriere_della_sera,author_3112
