comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugyn17lcwRc1QT3eDtF4AaABAg,,mSr5kjfrtak,False,author_3926,2026-05-20T10:43:33Z,2026-05-20T10:43:33Z,19,Come si fa difendere certa gente,,0,corriere_della_sera,author_3926
UgyPF2IqvAVKojkf4Fd4AaABAg,,mSr5kjfrtak,False,author_3927,2026-05-20T10:49:50Z,2026-05-20T10:49:50Z,0,Si spari signor legale lei difende gli asini e come lei tanti altri . la vera rovina d'Italia siete voi feci umane,,0,corriere_della_sera,author_3927
UgzNGBxxA99bMSYMfwx4AaABAg,,mSr5kjfrtak,False,author_3255,2026-05-20T10:52:09Z,2026-05-20T10:52:09Z,3,E diventato anche muto...?,,0,corriere_della_sera,author_3255
Ugx8-9SJE28nHWHp6qd4AaABAg,,mSr5kjfrtak,False,author_3928,2026-05-20T11:06:45Z,2026-05-20T11:06:45Z,10,É dispiaciuto? Ok adesso giù botte,,0,corriere_della_sera,author_3928
Ugxbcdbd2i0E08il5-t4AaABAg,,mSr5kjfrtak,False,author_3929,2026-05-20T11:14:49Z,2026-05-20T11:14:49Z,1,Film?,,0,corriere_della_sera,author_3929
UgzZ0Y0uOub5-9e6ggB4AaABAg,,mSr5kjfrtak,False,author_462,2026-05-20T11:15:19Z,2026-05-20T11:15:19Z,12,Ora che sappiamo tutto del legale si capisce il risultato di qst processo,,0,corriere_della_sera,author_462
UgwuTkDsrydonLLgvlp4AaABAg,,mSr5kjfrtak,False,author_3930,2026-05-20T11:28:55Z,2026-05-20T11:28:55Z,12,"Ma come fai a difendere uno così? È cinismo puro, zero coscienza, schifo.",,0,corriere_della_sera,author_3930
UgwTGp8Y4nCvRC_jm1J4AaABAg,,mSr5kjfrtak,False,author_3931,2026-05-20T12:21:56Z,2026-05-20T12:21:56Z,12,"So chi é questo ""Avvocato"" . Farà di tutto per dimostrare che i colpevoli sono gli Italiani feriti ed amputati",,0,corriere_della_sera,author_3931
UgwfPRXVWGRJgZ_PxZJ4AaABAg,,mSr5kjfrtak,False,author_3932,2026-05-20T13:19:01Z,2026-05-20T13:19:01Z,12,follia totale.,,0,corriere_della_sera,author_3932
UgwkDZymxQHmEjKsbR94AaABAg,,mSr5kjfrtak,False,author_3609,2026-05-20T13:32:52Z,2026-05-20T13:32:52Z,14,Avvocato ma chi ti paga la retta o l attentatore ha il patrocinio gratuito e quindi a spese dei cittadini?,,0,corriere_della_sera,author_3609
UgyZUDRNoxor7z0Es9F4AaABAg,,mSr5kjfrtak,False,author_3933,2026-05-20T14:39:44Z,2026-05-20T14:39:44Z,6,Come si fa a difendere uno così?! Semplice lui ha già ricevuto gli ordini dal partito.. questi qui sono arrivati in Italia grazie alla politica di centro-sinistra! Sono gli ultimi tragici 30 anni perché è partito 30 anni fa questo progetto!,,0,corriere_della_sera,author_3933
UgwTGp8Y4nCvRC_jm1J4AaABAg.AX1MqESQQP_AX1byZjcLRt,UgwTGp8Y4nCvRC_jm1J4AaABAg,mSr5kjfrtak,True,author_3933,2026-05-20T14:42:53Z,2026-05-20T14:42:53Z,0,Sarà un avvocato del partito... Alla fine la colpa nostra che non riusciamo Ma pensa che s****** che siamo a dare una casa un lavoro ben pagato o ha un immigrante o di seconda generazione e guarda un po' che capita altrettanto a quelli che sono Emiliani italiani Nati e cresciuti da decine se non centinaia di anni in Italia però arrivano loro e dobbiamo farci in disparte per fare strada loro!!! Che pagliacciate è ora di finir!a! Ma lui l'ha sempre capito è programmato e progettato quello che ha fatto e secondo me qualcuno gli ha già suggerito qualche anno fa la faccenda di farsi curare per farsi fingere matto perché poi gli dicono guarda che dopo siccome dicono che non ci stai con la testa ti lasciano andare vieni fuori subito e poi ricominciare a lavorare per noi! Parlo di islamici naturalmente hanno capito come gira la s******** qui in Italia!,UgwTGp8Y4nCvRC_jm1J4AaABAg,1,corriere_della_sera,author_3933
Ugxq33CcgXVoykGQgtt4AaABAg,,mSr5kjfrtak,False,author_1127,2026-05-20T16:04:22Z,2026-05-20T16:04:22Z,4,Ma l'avvocato è un membro del collegio di difesa di hannoun?? È un avvocato attivista?? Ah beh beh! Ora si spiega tutto!,,0,corriere_della_sera,author_1127
UgyVpAVj77btrCA8wM54AaABAg,,mSr5kjfrtak,False,author_2593,2026-05-20T16:05:30Z,2026-05-20T16:05:30Z,7,non ce ne frega niente quello che ha detto ma quello che ha fatto,,0,corriere_della_sera,author_2593
UgwDFBW3EHiaJ0o-TKt4AaABAg,,mSr5kjfrtak,False,author_3934,2026-05-20T17:34:14Z,2026-05-20T17:34:14Z,3,"Cit. ""Li dispiace com'è finita..."" Perché non è riuscito a fare fuori qualcuno?",,0,corriere_della_sera,author_3934
UgyGmBSjbdUITApW3jh4AaABAg,,mSr5kjfrtak,False,author_3265,2026-05-20T18:01:44Z,2026-05-20T18:01:44Z,0,Ma i bigotti che se la prendono con l avvocato?😂 Che paese di falliti che siamo,,0,corriere_della_sera,author_3265
UgyT2vma_RPPypO_4L14AaABAg,,mSr5kjfrtak,False,author_3935,2026-05-20T18:42:42Z,2026-05-20T18:42:42Z,1,Aiuto basta guardare la sua faccia si capisce tutto,,0,corriere_della_sera,author_3935
UgxzIiFBMK3QDCEZ-194AaABAg,,mSr5kjfrtak,False,author_3936,2026-05-20T19:00:36Z,2026-05-20T19:01:44Z,3,Speriamo che i compagni inizino ad aprire gli occhi.,,0,corriere_della_sera,author_3936
UgzA9cHG9xNdpQ4AJhB4AaABAg,,mSr5kjfrtak,False,author_3937,2026-05-20T23:21:49Z,2026-05-20T23:21:49Z,4,Ma lo volete passare x pazzo ??? NON E PAZZO i pazzi siete voi che lo giustificate 😮😮😮😮😮,,0,corriere_della_sera,author_3937
UgxLAEsUcDgpGoVvJpZ4AaABAg,,mSr5kjfrtak,False,author_83,2026-05-21T13:02:19Z,2026-05-21T13:02:19Z,1,Certe persone per 5 minuti di celebrità si venderebbero la madre. E questi giornali che su queste schifezze ci vanno a nozze son ben felici di dare spazio. La moralità....,,0,corriere_della_sera,author_83
Ugy7CYpblyDFHORSWPR4AaABAg,,mSr5kjfrtak,False,author_3938,2026-05-21T14:38:35Z,2026-05-21T14:38:35Z,2,PENSA CHE BRAVO! HA FORNITO LA PASSWORD E GLI DISPIACE . vomitoooooo,,0,corriere_della_sera,author_3938
UgyAK-wDgpGxhHzit6B4AaABAg,,mSr5kjfrtak,False,author_3939,2026-05-21T15:03:51Z,2026-05-21T15:03:51Z,0,Devono trovare un sistema di fermare gli avvocati demenziali come voi che li vanno a difendere e lo Stato Italiano Vi paga anche,,0,corriere_della_sera,author_3939
UgyQNAUXr0XTk2AzVUF4AaABAg,,mSr5kjfrtak,False,author_3940,2026-05-21T19:19:47Z,2026-05-21T19:19:47Z,0,In carcere con le gambe della signora ha tempo di capire,,0,corriere_della_sera,author_3940
UgwEwVmulmCb_DB9_3x4AaABAg,,mSr5kjfrtak,False,author_3931,2026-05-21T22:09:36Z,2026-05-21T22:09:36Z,5,In ogni cella ci dovrebbe essere una corda,,0,corriere_della_sera,author_3931
UgynigEawHoGJWr4Cq94AaABAg,,mSr5kjfrtak,False,author_3941,2026-05-22T08:33:14Z,2026-05-22T08:33:14Z,0,Comunista e colpa tua se è in italia😂😂😂😂😂😂,,0,corriere_della_sera,author_3941
