comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzJ-WshC9VB6-lbMCx4AaABAg,,nPR1KL3qz1o,False,author_285,2026-05-19T14:43:29Z,2026-05-19T14:43:29Z,3,Be' a me dispiace molto ..ma ..io non ci sarei mai andata ..hanno sbagliato qualcosa ..,,0,corriere_della_sera,author_285
UgwQtDFq65Yl1eWlHYN4AaABAg,,nPR1KL3qz1o,False,author_3990,2026-05-19T15:59:03Z,2026-05-19T16:01:34Z,1,Non è sicuramente quello il motivo. Non portano i sub fino in superficie perché devo osservare le tappe di decompressione e non possono usare palloni per il recupero. È assolutamente normale dividere il salvataggio in due frazioni. Non c' è quasi mai relazione tra le condizioni in superficie e quelle in profondità. Spesso sono un indicazione utile nel pianificare una immersione ma non è detto che sott'acqua si trovino condizioni simili.,,0,corriere_della_sera,author_3990
Ugz0cc8NXynwAo6ZizZ4AaABAg,,nPR1KL3qz1o,False,author_3326,2026-05-19T16:18:37Z,2026-05-19T16:18:37Z,0,Ma chi sei?? Ma andò vai??? Stattene a casa o vai a guardare i pesciolini che non capisci nu cazz😅,,0,corriere_della_sera,author_3326
UgyaSR0lxNY-6kg2Rxh4AaABAg,,nPR1KL3qz1o,False,author_566,2026-05-19T16:38:10Z,2026-05-19T16:38:10Z,0,Chi è questa braciolona?,,0,corriere_della_sera,author_566
UgwQjCNz6b2R8gzo4tl4AaABAg,,nPR1KL3qz1o,False,author_566,2026-05-19T16:39:01Z,2026-05-19T16:39:01Z,0,Braciolona,,0,corriere_della_sera,author_566
UgzJ-WshC9VB6-lbMCx4AaABAg.AX-2F3gg-yxAX-I6XDaxeE,UgzJ-WshC9VB6-lbMCx4AaABAg,nPR1KL3qz1o,True,author_2010,2026-05-19T17:02:07Z,2026-05-19T17:02:25Z,4,Sono stati totalmente degli incoscienti,UgzJ-WshC9VB6-lbMCx4AaABAg,1,corriere_della_sera,author_2010
UgziWycFYza3n2aqmWJ4AaABAg,,nPR1KL3qz1o,False,author_910,2026-05-19T17:25:14Z,2026-05-19T17:25:14Z,5,"Nemmeno pagato ci sarei andato. Penso che ad ogni habitat corrisponda la sua specie. Io amo la montagna comunque, che ha anche lei i suoi bei rischi....",,0,corriere_della_sera,author_910
Ugx8pwXXfNokz6oiojN4AaABAg,,nPR1KL3qz1o,False,author_3991,2026-05-19T22:24:09Z,2026-05-19T22:24:09Z,2,La grotta non è maledetta!!,,0,corriere_della_sera,author_3991
Ugxr8aL4hv7tDne1XfR4AaABAg,,nPR1KL3qz1o,False,author_3992,2026-05-19T23:18:36Z,2026-05-19T23:18:36Z,0,Quale grotta maledetta??,,0,corriere_della_sera,author_3992
UgxJq1Xssar4pgVzzSx4AaABAg,,nPR1KL3qz1o,False,author_3993,2026-05-20T13:46:12Z,2026-05-20T13:46:12Z,0,I curiosi sempre nel mezzo poi cosa c'e da vedere,,0,corriere_della_sera,author_3993
UgwCpuBD_lOWsscN1up4AaABAg,,nPR1KL3qz1o,False,author_3994,2026-05-21T17:12:12Z,2026-05-21T17:12:12Z,1,Ma quale grotta maledetta... Non è colpa della grotta se c'è stata questa disgrazia.,,0,corriere_della_sera,author_3994
UgzL4k_OQ8wjJ6ZdOId4AaABAg,,nPR1KL3qz1o,False,author_3995,2026-05-21T17:58:51Z,2026-05-21T17:58:51Z,1,Perché dici Grotta maledetta??Nessuno ti dici di andare a cercartela,,0,corriere_della_sera,author_3995
Ugxgn_W5rBtrzblX0xF4AaABAg,,nPR1KL3qz1o,False,author_3996,2026-05-22T20:54:10Z,2026-05-22T20:54:10Z,0,Ma vattene a fa le crostate,,0,corriere_della_sera,author_3996
