comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzhKWMr3mnQ-KKElqN4AaABAg,,oRkHtyD7r98,False,author_3598,2026-05-21T13:34:30Z,2026-05-21T13:34:30Z,17,"Ehilà, ci siamo svegliati?",,0,corriere_della_sera,author_3598
UgyUllb7DdbBMelKjxJ4AaABAg,,oRkHtyD7r98,False,author_591,2026-05-21T13:37:55Z,2026-05-21T13:37:55Z,30,"Buongiorno Mattarella, dormito bene fino a ieri?",,0,corriere_della_sera,author_591
UgwDjyL2aLswMgOP0rF4AaABAg,,oRkHtyD7r98,False,author_3599,2026-05-21T13:38:07Z,2026-05-21T13:38:07Z,10,Cavoli... c'è ne siamo accorti? Bene,,0,corriere_della_sera,author_3599
Ugz92A-3snvVuD5BMQd4AaABAg,,oRkHtyD7r98,False,author_3600,2026-05-21T13:39:07Z,2026-05-21T13:39:07Z,10,"Mi dispiace, ma penso che se stavano a casa loro invece che andare a provocare inutilmente un paese in guerra, magari cercando volutamente l'incidente internazionale, non gli sarebbe successo niente.",,0,corriere_della_sera,author_3600
Ugw-fziHpnYD1zRZY_Z4AaABAg,,oRkHtyD7r98,False,author_3601,2026-05-21T13:40:21Z,2026-05-21T13:40:21Z,10,Non avevano niente di meglio e di piu importante da fare? Cosa fanno di indispensabile nella vita di tutti i giorni? Poco o nulla...avessero da lavorare 40 anniin fabbrica x arrivare alla pensione...altro che barche a vela,,0,corriere_della_sera,author_3601
Ugwc1uRqhCBIDQAQU4p4AaABAg,,oRkHtyD7r98,False,author_3602,2026-05-21T13:41:48Z,2026-05-21T13:41:48Z,0,"Sergio Mattarella, c'hai ragione...",,0,corriere_della_sera,author_3602
UgwjlGNcl16mSqTz8wR4AaABAg,,oRkHtyD7r98,False,author_3603,2026-05-21T13:43:37Z,2026-05-21T13:43:37Z,0,Abbiate rispetto di ciò che dice il nostro presidente ed informatevi prima di sentenziare.,,0,corriere_della_sera,author_3603
Ugymd8HZs-nG1rH9G5h4AaABAg,,oRkHtyD7r98,False,author_3561,2026-05-21T13:47:28Z,2026-05-21T13:47:28Z,15,mattarella? Chi è mattarella?,,0,corriere_della_sera,author_3561
Ugy_gI2ZsoYuAPY4Is14AaABAg,,oRkHtyD7r98,False,author_3604,2026-05-21T13:51:28Z,2026-05-21T13:51:28Z,12,"Sapevano da prima cosa aspettarsi.. Errare è umano, perseverare è da incoscienti.",,0,corriere_della_sera,author_3604
UgzsLVVmf76sODyvaNZ4AaABAg,,oRkHtyD7r98,False,author_3605,2026-05-21T13:51:45Z,2026-05-21T13:51:45Z,16,ma mattarella si e dimenticato di belgrato???????,,0,corriere_della_sera,author_3605
UgwKUe7ATQjGfBebewt4AaABAg,,oRkHtyD7r98,False,author_3606,2026-05-21T13:51:46Z,2026-05-21T13:51:46Z,5,Buongiorno!,,0,corriere_della_sera,author_3606
