comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzLwP4UiJC3pi4lOFh4AaABAg,,tNZS0xUTYig,False,author_4208,2026-05-19T20:40:42Z,2026-05-19T20:40:42Z,23,Ma chi è che vi sceglie la musica?,,0,corriere_della_sera,author_4208
UgwnQ3Ih05STniKW-_x4AaABAg,,tNZS0xUTYig,False,author_4209,2026-05-20T15:34:19Z,2026-05-20T15:34:19Z,0,Ci sono stato.. Bello,,0,corriere_della_sera,author_4209
UgzUISNpOZF233CXibd4AaABAg,,tNZS0xUTYig,False,author_3434,2026-05-21T01:33:27Z,2026-05-21T01:33:27Z,1,SE fossero andati a 250 metri potrei capire..MA 10 metri ..non serve nessun permesso...,,0,corriere_della_sera,author_3434
UgySVWBdG9UGsG69-wF4AaABAg,,tNZS0xUTYig,False,author_4210,2026-05-21T10:55:44Z,2026-05-21T10:55:44Z,19,"il commento sonoro, data la tragedia accaduta e di cui si sta parlanod, é davero una pessima scelta.",,0,corriere_della_sera,author_4210
UgzUISNpOZF233CXibd4AaABAg.AX2mQRUbLFIAX3xou-k8TW,UgzUISNpOZF233CXibd4AaABAg,tNZS0xUTYig,True,author_2642,2026-05-21T12:32:17Z,2026-05-21T12:32:17Z,5,"60 metri non 10. E i permessi servono, non è una profondità per un' immersione a scopo ricreativo. Cambia tutto, a partire dall' attrezzatura, che a quanto pare non era adeguata. Dispiace immensamente perché si sono perse 5 vite, anzi 6, visto che ci ha rimesso la vita anche il sommozzatore che aveva tentato di andarli a salvare, pero' purtroppo credo che ci sia stata anche un po' di leggerezza nell' affrontare un' impresa simile...",UgzUISNpOZF233CXibd4AaABAg,1,corriere_della_sera,author_2642
UgySVWBdG9UGsG69-wF4AaABAg.AX3mlkROPa6AX8W8mQ9d3d,UgySVWBdG9UGsG69-wF4AaABAg,tNZS0xUTYig,True,author_4211,2026-05-23T06:57:56Z,2026-05-23T06:57:56Z,3,Io trovo chd la pessima scelta l'abbiano fatta i 5 subacquei a scendere a quelle profondità senza le dovute cautele.....per quanto esperti si possa essere con il mare non si scherza mai....non è il nostro habitat naturale 😢,UgySVWBdG9UGsG69-wF4AaABAg,1,corriere_della_sera,author_4211
UgzLwP4UiJC3pi4lOFh4AaABAg.AX-g7Nn3s-2AX96C_gDNia,UgzLwP4UiJC3pi4lOFh4AaABAg,tNZS0xUTYig,True,author_4212,2026-05-23T12:30:30Z,2026-05-23T12:30:30Z,0,Infatti,UgzLwP4UiJC3pi4lOFh4AaABAg,1,corriere_della_sera,author_4212
UgzUISNpOZF233CXibd4AaABAg.AX2mQRUbLFIAXBFyvetKSg,UgzUISNpOZF233CXibd4AaABAg.AX2mQRUbLFIAX3xou-k8TW,tNZS0xUTYig,True,author_4213,2026-05-24T08:34:22Z,2026-05-24T08:34:22Z,1,"@user a salvare, a recuperare i corpi. Comunque non c'è una spiegazione logica, la verità non la sapremo mai, l'autopsia non ci può dire cosa li ha spinti a quella profondità senza la competenza e l'attrezzatura",UgzUISNpOZF233CXibd4AaABAg.AX2mQRUbLFIAX3xou-k8TW,2,corriere_della_sera,author_4213
Ugx4l9IkKZo_-psO5s94AaABAg,,tNZS0xUTYig,False,author_4214,2026-05-24T16:37:46Z,2026-05-24T16:37:46Z,5,"Un pò di rispetto per coloro che sono morti, togliete questa musica",,0,corriere_della_sera,author_4214
UgzLwP4UiJC3pi4lOFh4AaABAg.AX-g7Nn3s-2AXE2EnY3Pwb,UgzLwP4UiJC3pi4lOFh4AaABAg,tNZS0xUTYig,True,author_4215,2026-05-25T10:32:03Z,2026-05-25T10:32:03Z,0,La scelgono a casaccio è oscena,UgzLwP4UiJC3pi4lOFh4AaABAg,1,corriere_della_sera,author_4215
