comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwKrtDusJy7baAsOC14AaABAg,,xAzRxS8zr8U,False,author_4130,2026-05-18T17:59:05Z,2026-05-18T17:59:05Z,2,🤣🤣🤣🤣🤣,,0,corriere_della_sera,author_4130
Ugw_ASsaeJmg6nGposp4AaABAg,,xAzRxS8zr8U,False,author_4130,2026-05-18T17:59:16Z,2026-05-18T17:59:16Z,1,🤣🤣🤣🤣🤣,,0,corriere_della_sera,author_4130
UgxmoPSwPde_KHQBbJt4AaABAg,,xAzRxS8zr8U,False,author_4130,2026-05-18T17:59:35Z,2026-05-18T17:59:35Z,0,🙈🙈🙈,,0,corriere_della_sera,author_4130
UgxL4amLNra_WEvMlnp4AaABAg,,xAzRxS8zr8U,False,author_3262,2026-05-18T19:01:09Z,2026-05-18T19:01:09Z,7,Bravo e simpatico 🤗,,0,corriere_della_sera,author_3262
Ugw6AiGz4nZ-Y18PBWl4AaABAg,,xAzRxS8zr8U,False,author_4131,2026-05-18T20:31:54Z,2026-05-18T20:31:54Z,1,Bravo !Signor Mattarella😂😂😂😂😂,,0,corriere_della_sera,author_4131
UgwjIEypFJ1n7kDf7hV4AaABAg,,xAzRxS8zr8U,False,author_3340,2026-05-18T20:55:43Z,2026-05-18T20:55:43Z,0,🤮🤮🤮🤮👎👎🤬,,0,corriere_della_sera,author_3340
Ugx26Lo5LQg6md37Bal4AaABAg,,xAzRxS8zr8U,False,author_4132,2026-05-18T22:05:13Z,2026-05-18T22:05:13Z,1,"Evasore incomincia a pagare le tasse in Italia, uno stato serio con un governo e un presidente della repubblica serio a questo individuo Sinner gli avrebbero già confiscato tutto e sopratutto levategli la cittadinanza italiana che non solo non è italiano, ma neppure sa parlare in italiano.... Che vergogna",,0,corriere_della_sera,author_4132
Ugww0S1wW-Ly_TO8eOh4AaABAg,,xAzRxS8zr8U,False,author_4133,2026-05-19T05:01:59Z,2026-05-19T05:01:59Z,1,Mattarella un presidente comunista,,0,corriere_della_sera,author_4133
UgzGR_EACebBjIxQZth4AaABAg,,xAzRxS8zr8U,False,author_4134,2026-05-19T05:45:29Z,2026-05-19T05:45:29Z,1,Quanta ipocrisia in questi commenti,,0,corriere_della_sera,author_4134
UgzBhicIuQdKwtNsGeh4AaABAg,,xAzRxS8zr8U,False,author_4135,2026-05-19T12:32:54Z,2026-05-19T12:32:54Z,1,Trovo inoppportuno che il presidente della repubblica italiana Mattarella abbia premiato Sinner che è residente a montecarlo e che in passato ha ricevuto anche una nota squalifica che poco ha a che fare con lo sport,,0,corriere_della_sera,author_4135
Ugwv_nECP5DJBylvZpF4AaABAg,,xAzRxS8zr8U,False,author_4136,2026-05-19T12:47:55Z,2026-05-19T12:49:17Z,0,"Noto con piacere che qui si è radunata la maggioranza dei simpatizzanti, convinti magari di raccogliere like",,0,corriere_della_sera,author_4136
UgzBhicIuQdKwtNsGeh4AaABAg.AWzoIfdYHZRAWzr9og8U7l,UgzBhicIuQdKwtNsGeh4AaABAg,xAzRxS8zr8U,True,author_4137,2026-05-19T12:57:54Z,2026-05-19T12:57:54Z,3,E tu voti pure😂😂😂poveri noi,UgzBhicIuQdKwtNsGeh4AaABAg,1,corriere_della_sera,author_4137
UgzBhicIuQdKwtNsGeh4AaABAg.AWzoIfdYHZRAX-ObP11cGm,UgzBhicIuQdKwtNsGeh4AaABAg.AWzoIfdYHZRAWzr9og8U7l,xAzRxS8zr8U,True,author_4135,2026-05-19T17:58:54Z,2026-05-19T17:58:54Z,1,"@user tu vivi, pensa a Te 😂 che cosa inutile",UgzBhicIuQdKwtNsGeh4AaABAg.AWzoIfdYHZRAWzr9og8U7l,2,corriere_della_sera,author_4135
UgzBhicIuQdKwtNsGeh4AaABAg.AWzoIfdYHZRAX1oDOb006-,UgzBhicIuQdKwtNsGeh4AaABAg,xAzRxS8zr8U,True,author_4137,2026-05-20T16:29:54Z,2026-05-20T16:29:54Z,0,@author_4135 certo tu e il tuo commento e inutile 😂😂😂.Non hai nessuno a chi dere le tue scemenze e hai pensato che i social e giusto x quelli come te😂,UgzBhicIuQdKwtNsGeh4AaABAg,1,corriere_della_sera,author_4137
