comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgyNILr_C9VE_4ikk4N4AaABAg,,2KjdGGY8At4,False,author_4721,2026-05-12T16:28:02Z,2026-05-12T16:28:02Z,5,"Morale della favola, stare lontano dalle topaie😂😂😂😂...",,0,il_gazzettino,author_4721
UgzgQ8_FILJjOH1ownR4AaABAg,,2KjdGGY8At4,False,author_6858,2026-05-12T16:34:58Z,2026-05-12T16:34:58Z,0,Ma va cagare bassetti😮spero che lo respiri tu per primo 😮,,0,il_gazzettino,author_6858
UgzODZl5De3e71HIn814AaABAg,,2KjdGGY8At4,False,author_718,2026-05-12T16:53:55Z,2026-05-12T16:53:55Z,2,"Bassetti ce lo studiamo da soli l'Antavirus, senza i microbiologi, grazie per il tuo e vostro lavoro in reparto....",,0,il_gazzettino,author_718
UgzODZl5De3e71HIn814AaABAg.AWiFbHiobmGAWiH2qFCG2O,UgzODZl5De3e71HIn814AaABAg,2KjdGGY8At4,True,author_5383,2026-05-12T17:06:33Z,2026-05-12T17:06:33Z,0,"Ma si infatti, studiare non serve a niente noi studiamo su google😂😂😂",UgzODZl5De3e71HIn814AaABAg,1,il_gazzettino,author_5383
UgyNILr_C9VE_4ikk4N4AaABAg.AWiCdk1CqErAWiH5QWg8Kc,UgyNILr_C9VE_4ikk4N4AaABAg,2KjdGGY8At4,True,author_5383,2026-05-12T17:06:54Z,2026-05-12T17:06:54Z,0,E dai no vax😂😂,UgyNILr_C9VE_4ikk4N4AaABAg,1,il_gazzettino,author_5383
UgwN0c7XMutKMUEKKul4AaABAg,,2KjdGGY8At4,False,author_4672,2026-05-12T17:36:01Z,2026-05-12T17:36:01Z,9,Non iniziare a rompere grazie,,0,il_gazzettino,author_4672
UgxD8RBET8qTKweeAE14AaABAg,,2KjdGGY8At4,False,author_6859,2026-05-12T18:12:04Z,2026-05-12T18:12:04Z,3,Non respirate più punto 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,,0,il_gazzettino,author_6859
UgxqqWxyy2CPk-jKHF54AaABAg,,2KjdGGY8At4,False,author_1898,2026-05-12T19:53:11Z,2026-05-12T20:03:35Z,6,Mettiti d'accordo con Vaia ex direttore dello Spalanzani. E come mai chi ha trovato i corpi di Hakman e moglie non si sono infettati?,,0,il_gazzettino,author_1898
UgxZR9ksS6rpJK5ZbNV4AaABAg,,2KjdGGY8At4,False,author_6860,2026-05-12T19:59:35Z,2026-05-12T19:59:35Z,0,😂😂😂😂,,0,il_gazzettino,author_6860
UgykjBEBDFjjHj0Ao6N4AaABAg,,2KjdGGY8At4,False,author_1962,2026-05-12T20:17:54Z,2026-05-12T20:18:11Z,1,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂TAPPIAMOCI IL NASO 👃👃👃👃,,0,il_gazzettino,author_1962
Ugy5zCepokTVczJh9wN4AaABAg,,2KjdGGY8At4,False,author_6861,2026-05-12T21:16:13Z,2026-05-12T21:16:13Z,3,Banchi a rotelle,,0,il_gazzettino,author_6861
UgxE9owXURvDsvDLQ1F4AaABAg,,2KjdGGY8At4,False,author_6862,2026-05-13T00:26:37Z,2026-05-13T00:26:37Z,2,... sto individuo,,0,il_gazzettino,author_6862
UgxqqWxyy2CPk-jKHF54AaABAg.AWi_7Hr8E6uAWj3Zab6ItL,UgxqqWxyy2CPk-jKHF54AaABAg,2KjdGGY8At4,True,author_6862,2026-05-13T00:27:56Z,2026-05-13T00:27:56Z,2,Poi magari diranno che non si può nemmeno fare le autopsie! Che vadano a cagare,UgxqqWxyy2CPk-jKHF54AaABAg,1,il_gazzettino,author_6862
Ugx-dDuBFcolb15nv2h4AaABAg,,2KjdGGY8At4,False,author_6863,2026-05-13T09:34:13Z,2026-05-13T09:34:13Z,0,MA BASTAAAAAA!!!!!!!,,0,il_gazzettino,author_6863
UgyTIdW9YdD7rGEp1ul4AaABAg,,2KjdGGY8At4,False,author_3434,2026-05-13T10:11:41Z,2026-05-13T10:11:41Z,0,AI passeggeri viere rimborsato il biglietto ????,,0,il_gazzettino,author_3434
UgzdbZpkJkhI1g2b_wN4AaABAg,,2KjdGGY8At4,False,author_6864,2026-05-13T10:58:55Z,2026-05-13T10:58:55Z,5,"Il cazzaro dei virus, ricominciamo la solfa dei vaccini, AVETE ROTTO I COGLIONI.",,0,il_gazzettino,author_6864
UgzZhD05E5GsQShiDxp4AaABAg,,2KjdGGY8At4,False,author_862,2026-05-13T11:22:53Z,2026-05-13T11:22:53Z,0,Ma va a cagher te e tutti i tuoi colleghi portasfiga,,0,il_gazzettino,author_862
