comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwB45jkxINfCBQcxF14AaABAg,,3iSnrQqyJuc,False,author_6937,2026-05-09T15:17:31Z,2026-05-09T15:17:31Z,1,Povero cucciolo Poveri genitori 😢,,0,il_gazzettino,author_6937
UgxVU4Bg8Onhiq_6Ouh4AaABAg,,3iSnrQqyJuc,False,author_2034,2026-05-09T15:27:56Z,2026-05-09T15:27:56Z,1,🤦🤦🤦,,0,il_gazzettino,author_2034
UgwfHfJGBKL5PSUp4UR4AaABAg,,3iSnrQqyJuc,False,author_5252,2026-05-09T15:47:51Z,2026-05-09T15:47:51Z,0,Si può rilasciare come fanno un patentino per muletto in 3 mesi?,,0,il_gazzettino,author_5252
UgwfHfJGBKL5PSUp4UR4AaABAg.AWaPenLVJ2yAWaQraA4HKH,UgwfHfJGBKL5PSUp4UR4AaABAg,3iSnrQqyJuc,True,author_52,2026-05-09T15:58:20Z,2026-05-09T15:58:20Z,0,"Che centra mica dipende dalla durata del corso, probabilmente il bambino si è avvicinato troppo basta poco un muletto pesa di media 30 ql se ti arriva addosso specialmente a un bambino di pochi anni sono guai. Non diciamo cavolate per favore sicuramente è sfuggito al controllo di qualcuno.",UgwfHfJGBKL5PSUp4UR4AaABAg,1,il_gazzettino,author_52
Ugzv5DdR0X8aQ_PF_Lt4AaABAg,,3iSnrQqyJuc,False,author_6938,2026-05-09T16:24:48Z,2026-05-09T16:24:48Z,1,che disgrazia,,0,il_gazzettino,author_6938
UgwfHfJGBKL5PSUp4UR4AaABAg.AWaPenLVJ2yAWaWls1O50H,UgwfHfJGBKL5PSUp4UR4AaABAg.AWaPenLVJ2yAWaQraA4HKH,3iSnrQqyJuc,True,author_5252,2026-05-09T16:49:59Z,2026-05-09T16:50:58Z,0,@author_52 Quindi giustifichiamo? La scorsa settimana stesso incidente con una bambina di 18 mesi😢,UgwfHfJGBKL5PSUp4UR4AaABAg.AWaPenLVJ2yAWaQraA4HKH,2,il_gazzettino,author_5252
UgwfHfJGBKL5PSUp4UR4AaABAg.AWaPenLVJ2yAWa_vhBqaEb,UgwfHfJGBKL5PSUp4UR4AaABAg.AWaPenLVJ2yAWaWls1O50H,3iSnrQqyJuc,True,author_52,2026-05-09T17:26:17Z,2026-05-09T17:26:17Z,2,"@author_5252. Non hu detto di giustificare ma la storia dell patentino in poco tempo non regge. Certi incidenti succedono anche se hai 10.000 ore di lavoro sul muletto,li sbaglio è tenere dei bambini nel luogo di lavoro che sia casa o azienda purtroppo 8 bambini sono imprevedibili.",UgwfHfJGBKL5PSUp4UR4AaABAg.AWaPenLVJ2yAWaWls1O50H,3,il_gazzettino,author_52
UgyjTbVHkV6TZ7nVrWJ4AaABAg,,3iSnrQqyJuc,False,author_534,2026-05-09T18:29:17Z,2026-05-09T18:29:17Z,0,I corsi della sicurezza in quella azienda sono al top,,0,il_gazzettino,author_534
UgyNGMcOw3ZKYKDVGoN4AaABAg,,3iSnrQqyJuc,False,author_2,2026-05-10T00:18:40Z,2026-05-10T00:18:40Z,0,"Portare il foglio piccolo in un posto simile,non sei un genitore sei un figlio di satana 🤦",,0,il_gazzettino,author_2
Ugy6cNdq4A2W-QKyKhl4AaABAg,,3iSnrQqyJuc,False,author_1314,2026-05-10T04:53:49Z,2026-05-10T04:53:49Z,0,Adesso non aveva colpa a 6 anni....ma probabilmente veniva su stupido come il padre 🤷.....,,0,il_gazzettino,author_1314
UgwfHfJGBKL5PSUp4UR4AaABAg.AWaPenLVJ2yAWbothk6t7w,UgwfHfJGBKL5PSUp4UR4AaABAg,3iSnrQqyJuc,True,author_1314,2026-05-10T04:56:19Z,2026-05-10T04:56:19Z,0,Si può che i bambini giocano in un cortile di un'azienda? Sempre far credere che la madonna è vergine....,UgwfHfJGBKL5PSUp4UR4AaABAg,1,il_gazzettino,author_1314
UgxjsZmxRiaJvnLZitN4AaABAg,,3iSnrQqyJuc,False,author_2677,2026-05-10T10:55:03Z,2026-05-10T10:55:03Z,0,Ma come cazzo sinfa a maneggiare un muletto con un bambino di 6 anni nelle vicinanze... non ci si può assolutamente fidare minimamente. Se un secondo sono a 10 mt un secondo dopo possono essere a 10 cm!,,0,il_gazzettino,author_2677
Ugwa3OdwxrfLDqqLwop4AaABAg,,3iSnrQqyJuc,False,author_4258,2026-05-10T11:05:14Z,2026-05-10T11:05:14Z,0,Padre imprudente...che tragedia,,0,il_gazzettino,author_4258
Ugy3YNUOlAFAECJXnk94AaABAg,,3iSnrQqyJuc,False,author_6939,2026-05-10T15:00:05Z,2026-05-10T15:00:05Z,0,Doamne!😢😢😢😢,,0,il_gazzettino,author_6939
UgwDLRLfgGaI8hNAU_N4AaABAg,,3iSnrQqyJuc,False,author_425,2026-05-15T07:03:49Z,2026-05-15T07:03:49Z,0,Tragedia che porterà per tutta la vita..😢,,0,il_gazzettino,author_425
