comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxAEploIzIZZToxCeV4AaABAg,,NrsOQsfaYYw,False,author_6806,2026-05-13T17:54:10Z,2026-05-13T17:54:10Z,0,BEVONO......O.CATTKVERIE DI GRUPPO,,0,il_gazzettino,author_6806
UgyUSXF5y9xQ5Sh2M0t4AaABAg,,NrsOQsfaYYw,False,author_6807,2026-05-13T18:06:10Z,2026-05-13T18:06:10Z,9,"Eliminare le gite è la cosa più sensata,!!!😢",,0,il_gazzettino,author_6807
UgwwwicgprFn4zs1-sF4AaABAg,,NrsOQsfaYYw,False,author_6673,2026-05-13T18:40:25Z,2026-05-13T18:40:25Z,4,Poverino.Condoglianze😢,,0,il_gazzettino,author_6673
UgyUSXF5y9xQ5Sh2M0t4AaABAg.AWkxfML7YwVAWl4KqUAjZv,UgyUSXF5y9xQ5Sh2M0t4AaABAg,NrsOQsfaYYw,True,author_6808,2026-05-13T19:13:08Z,2026-05-13T19:13:08Z,0,😅 che grande cazzata,UgyUSXF5y9xQ5Sh2M0t4AaABAg,1,il_gazzettino,author_6808
Ugz8zyJpDaZ6jCZ1brV4AaABAg,,NrsOQsfaYYw,False,author_74,2026-05-13T19:19:27Z,2026-05-13T19:19:27Z,4,Molto genio non era....,,0,il_gazzettino,author_74
UgzY9ZDitYu1AAl0zal4AaABAg,,NrsOQsfaYYw,False,author_6809,2026-05-13T19:26:12Z,2026-05-13T19:26:12Z,5,Condoglianze ai genitori. Non ci sono parole.,,0,il_gazzettino,author_6809
Ugye136K2sanYNhMnO54AaABAg,,NrsOQsfaYYw,False,author_6810,2026-05-13T19:45:47Z,2026-05-13T19:45:47Z,3,Che destino infame🥲🥲🥲🥲🥲 Riposa angelo benedetto🥲🥲🥲,,0,il_gazzettino,author_6810
Ugz8zyJpDaZ6jCZ1brV4AaABAg.AWl530xNqmYAWlHF7wmHCQ,Ugz8zyJpDaZ6jCZ1brV4AaABAg,NrsOQsfaYYw,True,author_1624,2026-05-13T21:05:57Z,2026-05-13T21:05:57Z,0,Stavo cercando proprio questo commento,Ugz8zyJpDaZ6jCZ1brV4AaABAg,1,il_gazzettino,author_1624
Ugxfi52l-MITkgbfn054AaABAg,,NrsOQsfaYYw,False,author_534,2026-05-13T21:15:23Z,2026-05-13T21:15:23Z,5,Fateci caso. Tutti geni. Futuro campione. Promessa dello sport.,,0,il_gazzettino,author_534
UgyUSXF5y9xQ5Sh2M0t4AaABAg.AWkxfML7YwVAWlJfE2DsON,UgyUSXF5y9xQ5Sh2M0t4AaABAg,NrsOQsfaYYw,True,author_6811,2026-05-13T21:27:08Z,2026-05-13T21:27:08Z,1,"HO fatto decine di gite durante le scuole elementari e medie, maestre e professori sempre vigili e attenti, e, siam sempre tornati tutti....quindi perchè eliminare le gite ?",UgyUSXF5y9xQ5Sh2M0t4AaABAg,1,il_gazzettino,author_6811
UgwhFxtTaDnQ3pxfIsR4AaABAg,,NrsOQsfaYYw,False,author_6812,2026-05-14T00:03:06Z,2026-05-14T00:03:06Z,4,Sicuro che e' precipitato da solo????? A diciott'anni????🤔,,0,il_gazzettino,author_6812
Ugz8zyJpDaZ6jCZ1brV4AaABAg.AWl530xNqmYAWlvpLx3Y7Y,Ugz8zyJpDaZ6jCZ1brV4AaABAg.AWl530xNqmYAWlHF7wmHCQ,NrsOQsfaYYw,True,author_74,2026-05-14T03:09:18Z,2026-05-14T03:09:18Z,0,@user l hai trovato,Ugz8zyJpDaZ6jCZ1brV4AaABAg.AWl530xNqmYAWlHF7wmHCQ,2,il_gazzettino,author_74
UgzoDoNVSQI5l6UV8oN4AaABAg,,NrsOQsfaYYw,False,author_5884,2026-05-14T04:36:59Z,2026-05-14T04:36:59Z,0,Ummm.!!! 😒,,0,il_gazzettino,author_5884
UgxgR1iz5xdfzJ-wAHV4AaABAg,,NrsOQsfaYYw,False,author_4080,2026-05-14T07:13:18Z,2026-05-14T07:13:18Z,7,Togliete le gite dalle scuole queste generazioni di oggi devono stare a casa 😢😢😢😢😢😢,,0,il_gazzettino,author_4080
Ugxfi52l-MITkgbfn054AaABAg.AWlIK9eq-W8AWmRNMlEmry,Ugxfi52l-MITkgbfn054AaABAg,NrsOQsfaYYw,True,author_6813,2026-05-14T07:53:42Z,2026-05-14T07:53:42Z,0,"""18enne normale muore"" chiappa meno visual",Ugxfi52l-MITkgbfn054AaABAg,1,il_gazzettino,author_6813
UgzuxCD0ojhFEA5-FCF4AaABAg,,NrsOQsfaYYw,False,author_6814,2026-05-14T11:42:12Z,2026-05-14T11:42:12Z,2,Non credo abbia fatto tutto da solo,,0,il_gazzettino,author_6814
UgwB3GMdNPoLmtYduex4AaABAg,,NrsOQsfaYYw,False,author_6815,2026-05-14T13:36:41Z,2026-05-14T13:36:41Z,0,"Il gestore del hotel deve andare in carcere,,, è una vergogna che non ci siano sistemi di sicurezza adeguati..",,0,il_gazzettino,author_6815
UgxgR1iz5xdfzJ-wAHV4AaABAg.AWmMkTnoYRpAWn2mrzCF9p,UgxgR1iz5xdfzJ-wAHV4AaABAg,NrsOQsfaYYw,True,author_6815,2026-05-14T13:38:06Z,2026-05-14T13:38:06Z,0,Pensare che in Svizzera hanno incendiato un locale 😮,UgxgR1iz5xdfzJ-wAHV4AaABAg,1,il_gazzettino,author_6815
UgxgR1iz5xdfzJ-wAHV4AaABAg.AWmMkTnoYRpAWn4sEUYwC6,UgxgR1iz5xdfzJ-wAHV4AaABAg.AWmMkTnoYRpAWn2mrzCF9p,NrsOQsfaYYw,True,author_4080,2026-05-14T13:56:19Z,2026-05-14T13:56:19Z,0,@author_6815🤷🤦🫣,UgxgR1iz5xdfzJ-wAHV4AaABAg.AWmMkTnoYRpAWn2mrzCF9p,2,il_gazzettino,author_4080
