comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxszsCnH9sk4Y0FGF94AaABAg,,co7cT93lKDQ,False,author_6823,2026-05-13T17:08:21Z,2026-05-13T17:08:21Z,16,Rimandiamoli tutti a casa sua!!!!,,0,il_gazzettino,author_6823
Ugzkss8UMDutp9jfg854AaABAg,,co7cT93lKDQ,False,author_6833,2026-05-13T17:08:57Z,2026-05-13T17:08:57Z,16,Rimandatelo subito a casa sua non vogliono essere aiutati c'è la guerra là non me né FREGO .,,0,il_gazzettino,author_6833
Ugwz0yuk3N_Sn3LGdnZ4AaABAg,,co7cT93lKDQ,False,author_6824,2026-05-13T17:24:21Z,2026-05-13T17:24:21Z,2,"Sono Risorse ,lavorano in proprio",,0,il_gazzettino,author_6824
UgxHpyVjJpvXn3A1ScZ4AaABAg,,co7cT93lKDQ,False,author_6834,2026-05-13T17:31:18Z,2026-05-13T17:31:18Z,5,Secondo la legge è sufficiente la denuncia. Questo perché non succede a loro,,0,il_gazzettino,author_6834
UgzXssiq0sLq5VAg3zd4AaABAg,,co7cT93lKDQ,False,author_1742,2026-05-13T17:41:53Z,2026-05-13T17:41:53Z,0,Ma fategli fare la fame non meritano niente tornassero a casa loro tacci loro 😡😡😡😡,,0,il_gazzettino,author_1742
UgzIW3zrDFJGG60XZi94AaABAg,,co7cT93lKDQ,False,author_6835,2026-05-13T18:08:51Z,2026-05-13T18:08:51Z,0,I rimpatri di tutti no ve?,,0,il_gazzettino,author_6835
UgxVNrfN9czfTMoCF4N4AaABAg,,co7cT93lKDQ,False,author_6836,2026-05-13T18:30:28Z,2026-05-13T18:30:28Z,27,"Vengono a casa nostra e pisciano sulle nostre chiese, sulle nostre statue, sulle nostre colonne, si comportano come se fossero palme dei loro villaggi e nessuno osa dire loro la differenza. Forse ce la stiamo scordando anche noi... O. Fallaci",,0,il_gazzettino,author_6836
UgwORsJroiTjIyMfQMZ4AaABAg,,co7cT93lKDQ,False,author_1724,2026-05-13T18:52:15Z,2026-05-13T18:52:15Z,0,Prossimo giro cianuro.. oltre la beffa il danno... è ora di finirla,,0,il_gazzettino,author_1724
UgwaTKmqFpd2EboX2v14AaABAg,,co7cT93lKDQ,False,author_6837,2026-05-13T19:08:01Z,2026-05-13T19:08:01Z,6,Rimandatelo a casa con il taglierino proprio lì.....,,0,il_gazzettino,author_6837
Ugwz0yuk3N_Sn3LGdnZ4AaABAg.AWkst6MQxG3AWl5FqBtWgf,Ugwz0yuk3N_Sn3LGdnZ4AaABAg,co7cT93lKDQ,True,author_718,2026-05-13T19:21:12Z,2026-05-13T19:21:12Z,0,Te sei una risorsa! Stasera aumenta il prezzo quando vendi le chiappe.,Ugwz0yuk3N_Sn3LGdnZ4AaABAg,1,il_gazzettino,author_718
Ugzj4_N7FxyvqmjDDqF4AaABAg,,co7cT93lKDQ,False,author_1655,2026-05-13T19:31:18Z,2026-05-13T19:31:18Z,3,Remigrazione Stop Oppure a breve ci sarà la goccia che farà traboccare il vaso e dopo la guerra civile,,0,il_gazzettino,author_1655
UgxjqK7p6Gf9mcpSYfp4AaABAg,,co7cT93lKDQ,False,author_6838,2026-05-13T19:53:07Z,2026-05-13T19:53:07Z,0,Fuori dall'Italia,,0,il_gazzettino,author_6838
UgzO8kAjARRe-HDVJqp4AaABAg,,co7cT93lKDQ,False,author_4156,2026-05-13T20:42:49Z,2026-05-13T20:42:49Z,1,Rispedirlo a casa sua.,,0,il_gazzettino,author_4156
UgyZCi-ae2_W541dxYp4AaABAg,,co7cT93lKDQ,False,author_709,2026-05-13T20:51:25Z,2026-05-13T20:51:25Z,5,"In spagna si stanno già divertendo con i nuovi laureati, ingenieri e dottori che pagheranno le loro pensioni 😂😂.",,0,il_gazzettino,author_709
UgxrHC-caAjJaw6AyzJ4AaABAg,,co7cT93lKDQ,False,author_534,2026-05-13T21:18:39Z,2026-05-13T21:18:39Z,0,Si lavano la coscienza con due piatti di brodo,,0,il_gazzettino,author_534
