comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugwg3TrjJHcPKXxK2wd4AaABAg,,fv4c2w2MdA4,False,author_6765,2026-05-16T17:56:28Z,2026-05-16T17:56:28Z,0,Pestarli a sangue si fa prima...... Fiducia nella legge uguale a zero🤬,,0,il_gazzettino,author_6765
UgzgndgFwIdvYhZv4jh4AaABAg,,fv4c2w2MdA4,False,author_6766,2026-05-16T18:21:15Z,2026-05-16T18:21:15Z,4,Remigrazione anche per i genitori.,,0,il_gazzettino,author_6766
UgzQb_H13QrrdWvHD9h4AaABAg,,fv4c2w2MdA4,False,author_6767,2026-05-16T18:59:47Z,2026-05-16T18:59:47Z,9,affondargli la barca no?,,0,il_gazzettino,author_6767
UgzNk22Hd3ITWI2pZiB4AaABAg,,fv4c2w2MdA4,False,author_6768,2026-05-16T19:58:56Z,2026-05-16T19:58:56Z,0,"Dopo i se impianta su e bricole i se copa però puaretto el gera un bravo fio, si ma de troia",,0,il_gazzettino,author_6768
Ugz99sJJp_NkN_yHZoJ4AaABAg,,fv4c2w2MdA4,False,author_6683,2026-05-17T19:58:23Z,2026-05-17T19:58:23Z,0,Che Mongoloidi 😡,,0,il_gazzettino,author_6683
Ugw0trOTFQD_Dy6BK-54AaABAg,,fv4c2w2MdA4,False,author_6598,2026-05-18T03:03:53Z,2026-05-18T03:03:53Z,6,Bersagli mobili per le esercitazioni del battaglione San Marco.,,0,il_gazzettino,author_6598
UgxkcLxGrzsoXHNDTjF4AaABAg,,fv4c2w2MdA4,False,author_6764,2026-05-18T08:55:57Z,2026-05-18T08:55:57Z,1,Affondare barchini😂,,0,il_gazzettino,author_6764
UgzyzWrGejMY47XFFpV4AaABAg,,fv4c2w2MdA4,False,author_4124,2026-05-18T13:14:25Z,2026-05-18T13:14:25Z,0,Ci vuole la patente,,0,il_gazzettino,author_4124
Ugw83Z9ZD7NiQc1yNiF4AaABAg,,fv4c2w2MdA4,False,author_119,2026-05-19T04:53:43Z,2026-05-19T04:53:43Z,3,Nostalgia della nave bananiera con cui sono arrivati 🙄,,0,il_gazzettino,author_119
Ugw-D17CcUHUHcKt8XR4AaABAg,,fv4c2w2MdA4,False,author_6769,2026-05-19T06:08:06Z,2026-05-19T06:08:06Z,2,Una bella raffica di mitra e giù a fondo ad ingrassare i pesci.,,0,il_gazzettino,author_6769
Ugz7YKUjJUvRBaJAsnZ4AaABAg,,fv4c2w2MdA4,False,author_6770,2026-05-19T14:44:11Z,2026-05-19T14:44:11Z,0,Speriamo che si schiantino sulle briccole,,0,il_gazzettino,author_6770
UgzH7OVSPAy12EQhv894AaABAg,,fv4c2w2MdA4,False,author_1868,2026-05-19T18:36:48Z,2026-05-19T18:36:48Z,1,LANCIASILURI.....AMEN,,0,il_gazzettino,author_1868
