comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgyuM1rZJTD_DgZraEd4AaABAg,,qq8l9OMCx9A,False,author_6719,2026-05-19T12:26:32Z,2026-05-19T12:26:32Z,7,Quante dosi del siero magico???????,,0,il_gazzettino,author_6719
UgyuM1rZJTD_DgZraEd4AaABAg.AWznZz_rHUiAWzo_3AZLlq,UgyuM1rZJTD_DgZraEd4AaABAg,qq8l9OMCx9A,True,author_6720,2026-05-19T12:35:16Z,2026-05-19T12:35:16Z,2,Ho pensato la stessa cosa.,UgyuM1rZJTD_DgZraEd4AaABAg,1,il_gazzettino,author_6720
UgyuM1rZJTD_DgZraEd4AaABAg.AWznZz_rHUiAWzocpkd1UB,UgyuM1rZJTD_DgZraEd4AaABAg,qq8l9OMCx9A,True,author_6721,2026-05-19T12:35:47Z,2026-05-19T12:35:47Z,4,Il super siero salvifico,UgyuM1rZJTD_DgZraEd4AaABAg,1,il_gazzettino,author_6721
UgysdPvkjjIM2aa1y_94AaABAg,,qq8l9OMCx9A,False,author_534,2026-05-19T13:57:15Z,2026-05-19T13:57:15Z,1,E ststa l'ansia,,0,il_gazzettino,author_534
Ugxa2VhmstYpCTmHha94AaABAg,,qq8l9OMCx9A,False,author_5533,2026-05-19T14:37:13Z,2026-05-19T14:37:13Z,2,Mi dispiace troppo giovane❤,,0,il_gazzettino,author_5533
UgwAfU0Ui8UcgwD5usN4AaABAg,,qq8l9OMCx9A,False,author_285,2026-05-19T14:47:48Z,2026-05-19T14:47:48Z,3,Il siero magico ..avanti ...povero tanti giovani ..rip❤❤❤❤❤❤❤,,0,il_gazzettino,author_285
UgyASBGK4bmOzG50xcp4AaABAg,,qq8l9OMCx9A,False,author_6601,2026-05-19T15:19:22Z,2026-05-19T15:19:22Z,3,"E' stata l'ansia ,fate ridere !!!",,0,il_gazzettino,author_6601
UgwAfU0Ui8UcgwD5usN4AaABAg.AX-2jlMive3AX-6hHWEzVQ,UgwAfU0Ui8UcgwD5usN4AaABAg,qq8l9OMCx9A,True,author_6683,2026-05-19T15:22:25Z,2026-05-19T15:22:25Z,1,Stesso pensiero 😢,UgwAfU0Ui8UcgwD5usN4AaABAg,1,il_gazzettino,author_6683
UgzZxvUpSr1bHg4_11x4AaABAg,,qq8l9OMCx9A,False,author_2028,2026-05-19T15:40:56Z,2026-05-19T15:40:56Z,0,Riposa in pace Sei andato in un posto meraviglioso Condoglianze alla famiglia ❤❤❤,,0,il_gazzettino,author_2028
UgyuM1rZJTD_DgZraEd4AaABAg.AWznZz_rHUiAX-VQqywl60,UgyuM1rZJTD_DgZraEd4AaABAg,qq8l9OMCx9A,True,author_449,2026-05-19T18:58:30Z,2026-05-19T18:58:30Z,1,Ma possibile che di fronte a queste tragedie di cui non sapete nulla facciate sfoggio di una sapienza tutta da dimostrare? Un po’ di rispetto,UgyuM1rZJTD_DgZraEd4AaABAg,1,il_gazzettino,author_449
UgxpFoB7Kgz_rdcthdl4AaABAg,,qq8l9OMCx9A,False,author_5295,2026-05-19T19:28:31Z,2026-05-19T19:28:31Z,0,Che tristezza così giovane un vero peccato non saprei cosa pensare si sente molto frequente di morte così strane,,0,il_gazzettino,author_5295
Ugy9DTrx0PWwfECL2jF4AaABAg,,qq8l9OMCx9A,False,author_1886,2026-05-19T21:15:14Z,2026-05-19T21:15:14Z,1,ne muore quasi uno ogni giorno. Io non sono un complottista ma possibile che nessuno indaghi ?,,0,il_gazzettino,author_1886
Ugy9DTrx0PWwfECL2jF4AaABAg.AX-k4OVYZRcAX47O7WGorr,Ugy9DTrx0PWwfECL2jF4AaABAg,qq8l9OMCx9A,True,author_6722,2026-05-21T14:04:37Z,2026-05-21T14:04:37Z,0,"Perché indagare .Ogni giorno trovato un colpevole,allergie,cibi avariati,gelati,pizza, e coniati nuovi termini ,malori al posto di infarti",Ugy9DTrx0PWwfECL2jF4AaABAg,1,il_gazzettino,author_6722
