comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgyVQi-6B9V7caSt23B4AaABAg,,-S50o9FMOLQ,False,author_3108,2026-05-25T09:32:55Z,2026-05-25T09:32:55Z,7,Ferito da un lacrimogeno no da na bottiglia,,0,ilmessaggero,author_3108
Ugwth0tFUHzdSb8aNDB4AaABAg,,-S50o9FMOLQ,False,author_5465,2026-05-25T09:33:30Z,2026-05-25T09:33:30Z,0,"Ma non si vergognano.....calcio sospeso x 3 anni compreso lo scudetto , ma cosa insegnano ai loro figli , e poi ci lamentiamo se aumenta la violenza ....lo sport è svago e divertimento non quello che si stà vedendo ...schifo.",,0,ilmessaggero,author_5465
UgzIFALf1EN53-bsZwB4AaABAg,,-S50o9FMOLQ,False,author_5466,2026-05-25T09:33:31Z,2026-05-25T09:33:31Z,1,"L evoluzione dell' essere umano,poi vogliamo sterminare i siluri perché specie infestante,noi no nn siamo infestante e nn causiamo l estinzione di altri esseri viventi innocenti",,0,ilmessaggero,author_5466
Ugz1r5HTdMO9kbMN0ld4AaABAg,,-S50o9FMOLQ,False,author_5467,2026-05-25T09:59:23Z,2026-05-25T09:59:23Z,0,Invece di fare scontri con la polizia poteva rimanere a casa gli sta bene a Sto ratto di rubentino,,0,ilmessaggero,author_5467
UgzNAnfsCtCM2SO9KkJ4AaABAg,,-S50o9FMOLQ,False,author_2039,2026-05-25T10:52:42Z,2026-05-25T10:52:42Z,0,E so ragazzi,,0,ilmessaggero,author_2039
UgyhDTk6j7i9O6SUC9h4AaABAg,,-S50o9FMOLQ,False,author_5468,2026-05-25T11:06:55Z,2026-05-25T11:06:55Z,2,Calcio 🤮🤮🤮,,0,ilmessaggero,author_5468
UgyTaNiO2Z9wC822pHB4AaABAg,,-S50o9FMOLQ,False,author_3111,2026-05-25T11:08:02Z,2026-05-25T11:08:02Z,0,"Sono italiani?????????? Perché se fossero stati stranieri, ci sarebbe stata la rivoluzione dei vari vannacci salvini e compagnia destronza",,0,ilmessaggero,author_3111
UgxFrX6yMARWtUMuL6R4AaABAg,,-S50o9FMOLQ,False,author_2410,2026-05-25T11:16:49Z,2026-05-25T11:16:49Z,0,La cosa divertente e che è stato un tifoso juventino a tirargli certa bottiglia 😂,,0,ilmessaggero,author_2410
UgwR5wIyDH28AujByO14AaABAg,,-S50o9FMOLQ,False,author_1,2026-05-25T12:00:08Z,2026-05-25T12:00:08Z,1,"Se penso che lo sport,come la musica,dovrebbe unire le persone ,mi chiedo dov'è che abbiamo sbagliato....che società degradata😢😢😢",,0,ilmessaggero,author_1
UgxXWlcD4Th6Gza96ZZ4AaABAg,,-S50o9FMOLQ,False,author_163,2026-05-25T12:06:28Z,2026-05-25T12:06:28Z,0,se vive si farà furbo ... forse . se non non perdiamo molto ...,,0,ilmessaggero,author_163
