comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwtIelfnJwKmmVtsvx4AaABAg,,3APB0guJKrw,False,author_4967,2026-05-25T11:53:12Z,2026-05-25T11:53:12Z,1,vergogna,,0,ilmessaggero,author_4967
UgwtIelfnJwKmmVtsvx4AaABAg.AXEBX5uR__-AXECdrwLcoL,UgwtIelfnJwKmmVtsvx4AaABAg,3APB0guJKrw,True,author_118,2026-05-25T12:03:00Z,2026-05-25T12:03:00Z,0,Capra,UgwtIelfnJwKmmVtsvx4AaABAg,1,ilmessaggero,author_118
Ugx00BLVBPCqxfkADPJ4AaABAg,,3APB0guJKrw,False,author_5399,2026-05-25T12:03:51Z,2026-05-25T12:03:51Z,3,"Secondo me si da la caccia ai fantasmi come sempre in italia...preposto che le indagini accerteranno tutto (si spera) ma a me pare lampante che quei 5 non erano preparati né equipaggiati per un immersione in grotta...i corpi sono stati titrovati in grotta...li hanno obbligati ad entrare forse? Mi pare difficile...la Montefalcone poi si era portata dietro anche la figlia estranea al team di ricerca...a me sembra abbastanza evidente una certa superficialità nel compiere l'immersione...e a quelle profondita la superficialità si paga cara,come è successo",,0,ilmessaggero,author_5399
UgwtIelfnJwKmmVtsvx4AaABAg.AXEBX5uR__-AXECo1qKPAl,UgwtIelfnJwKmmVtsvx4AaABAg,3APB0guJKrw,True,author_5399,2026-05-25T12:04:23Z,2026-05-25T12:04:23Z,3,Per cosa?,UgwtIelfnJwKmmVtsvx4AaABAg,1,ilmessaggero,author_5399
Ugx00BLVBPCqxfkADPJ4AaABAg.AXECkCaG78mAXED9zFmv_V,Ugx00BLVBPCqxfkADPJ4AaABAg,3APB0guJKrw,True,author_118,2026-05-25T12:07:31Z,2026-05-25T12:07:31Z,0,Approvo,Ugx00BLVBPCqxfkADPJ4AaABAg,1,ilmessaggero,author_118
Ugx00BLVBPCqxfkADPJ4AaABAg.AXECkCaG78mAXEDCyAQa4-,Ugx00BLVBPCqxfkADPJ4AaABAg,3APB0guJKrw,True,author_1782,2026-05-25T12:07:55Z,2026-05-25T12:07:55Z,0,È stata superficialità costata cara! Se hanno studiato non sapevano che ci volevano altre attrezzature?,Ugx00BLVBPCqxfkADPJ4AaABAg,1,ilmessaggero,author_1782
UgyxN0RdkCfHf52J6Gx4AaABAg,,3APB0guJKrw,False,author_5400,2026-05-25T12:15:02Z,2026-05-25T12:15:02Z,1,Come tante altre volte la colpa no sarà mai di nessuno....ma perche questi universitari si premuniscono di discolparsi...per cosa?,,0,ilmessaggero,author_5400
Ugz9nesnWtLoZTq6MpR4AaABAg,,3APB0guJKrw,False,author_3850,2026-05-25T12:20:25Z,2026-05-25T12:20:25Z,12,"È la presunzione umana di poter fare tutto,controllare tutto..",,0,ilmessaggero,author_3850
UgyuZ4tNa1__GaUTpGd4AaABAg,,3APB0guJKrw,False,author_5401,2026-05-25T12:37:00Z,2026-05-25T12:37:00Z,4,🕳️👎🏽🇮🇹LA VERITÀ È CHE ARRIVATI IN ITALIA I CORPI NON VESTITI E TUTTE LE ATTREZZATURE E VESTIARIO SUBACQUEO NON SONO STATE SPEDITE IN ITALIA COME PROVE REGINE DELLE CONTAMINAZIONI VISIBILI SIA NEL FILTRO DEL PRIMO STADIO CHE SUL VESTIARIO CHE POTEVA ESSERE CONTROLLATO INSIEME ALL'ATTREZZATURA SÉ CI FOSSE STATO AVVELENAMENTO DA QUALSIASI VETTORE.QUESTE MORTI COMPRESA LA MORTE DEL SERGENTE DELLE MALDIVE HA. SPIEGAZIONI DA COLABRODO CHE FANNO ACQUA MARCIA DA TUTTE LE PARTI COINVOLTE NAZIONI COMPRESE CHE VOGLIONO SEPPELLIRE CON URGENZA IL CASO CHIUSO .,,0,ilmessaggero,author_5401
UgwmdpVuNPujHO0q-6F4AaABAg,,3APB0guJKrw,False,author_5181,2026-05-25T12:44:01Z,2026-05-25T12:44:01Z,2,Mi dispeace 😢😢😢😢😢Poveri. 🙏🙏🙏🙏🙏,,0,ilmessaggero,author_5181
Ugy19lumGCFBWyfir1B4AaABAg,,3APB0guJKrw,False,author_5402,2026-05-25T13:16:06Z,2026-05-25T13:16:06Z,13,"Queste dichiarazioni ,se confermate , chiariscono ancora di più che questa immersione di scientifico aveva ben poco : forse una dimostrazione di voler andare oltre i propri limiti",,0,ilmessaggero,author_5402
Ugz_DBbqT03JN-y9SVN4AaABAg,,3APB0guJKrw,False,author_124,2026-05-25T13:19:42Z,2026-05-25T13:19:42Z,19,Al netto dell'enorme dispiacere qua c'è una leggera puzza di vacanza a spese del contribuente,,0,ilmessaggero,author_124
UgxI1n9FJoFJvwASlmx4AaABAg,,3APB0guJKrw,False,author_5403,2026-05-25T13:38:56Z,2026-05-25T13:38:56Z,7,E cosa deve rimanere a fare il profilo in piattaforma? Si attaccano alle sciocchezze e perdono di vista la realtà. La carriera della di docente e degli altri ricercatori non potrà mai essere cancellata dalla memoria. Il sito dell'università è una piattaforma di lavoro. Ma di cosa si parla qua? Fuffa!,,0,ilmessaggero,author_5403
UgyxN0RdkCfHf52J6Gx4AaABAg.AXEE12lNnB3AXEOipYJrZX,UgyxN0RdkCfHf52J6Gx4AaABAg,3APB0guJKrw,True,author_15,2026-05-25T13:48:32Z,2026-05-25T13:48:32Z,3,Ma di chi dovrebbe essere la colpa se non dei 5 che si sono immersi??? Perchè si deve cercare la colpa di qualcun altro???,UgyxN0RdkCfHf52J6Gx4AaABAg,1,ilmessaggero,author_15
UgwiLwkUYUO2rT-tv614AaABAg,,3APB0guJKrw,False,author_1802,2026-05-25T14:18:57Z,2026-05-25T14:18:57Z,1,Ci crepa il cuore la morte di questi ragazzi.,,0,ilmessaggero,author_1802
UgxjYB835zpzcq-2hdR4AaABAg,,3APB0guJKrw,False,author_5404,2026-05-25T14:19:03Z,2026-05-25T14:19:03Z,1,Sembra un po' ! Boh,,0,ilmessaggero,author_5404
Ugye2yUxRXpuHRpe_kh4AaABAg,,3APB0guJKrw,False,author_5405,2026-05-25T14:57:33Z,2026-05-25T14:57:33Z,6,"Comunque sia stata fatta l’immersione, sputtanare una persona che non c’e’ piu’ e’ da vermi,",,0,ilmessaggero,author_5405
Ugy19lumGCFBWyfir1B4AaABAg.AXEL0NAfQh8AXEZADxo2TO,Ugy19lumGCFBWyfir1B4AaABAg,3APB0guJKrw,True,author_1809,2026-05-25T15:19:47Z,2026-05-25T15:19:47Z,1,Se hanno già detto che nn avevano i mezzi necessari e giusti per questa immersione...e dove hanno trovato i 4 corpi era una porzione molto difficile da supportare....nn ci sono altre parole....purtroppo hanno rischiato troppo molto probabilmente si sentivano troppo sicuri e al massimo delle loro capacità.....,Ugy19lumGCFBWyfir1B4AaABAg,1,ilmessaggero,author_1809
Ugx00BLVBPCqxfkADPJ4AaABAg.AXECkCaG78mAXE_lmr5TVb,Ugx00BLVBPCqxfkADPJ4AaABAg,3APB0guJKrw,True,author_1782,2026-05-25T15:33:47Z,2026-05-25T15:33:47Z,0,Obbligati non credo!,Ugx00BLVBPCqxfkADPJ4AaABAg,1,ilmessaggero,author_1782
Ugye2yUxRXpuHRpe_kh4AaABAg.AXEWcL8HUa6AXEaRO7Gs8X,Ugye2yUxRXpuHRpe_kh4AaABAg,3APB0guJKrw,True,author_5406,2026-05-25T15:39:36Z,2026-05-25T15:39:36Z,0,Ovvero?,Ugye2yUxRXpuHRpe_kh4AaABAg,1,ilmessaggero,author_5406
UgxKDnsz55DC9wH8YuB4AaABAg,,3APB0guJKrw,False,author_5312,2026-05-25T16:48:22Z,2026-05-25T16:48:22Z,2,"Si vabbè, tutto quello che dicono loro... ma xchè questa fretta nel dissociarsi dall'evento? È questo che non capisco",,0,ilmessaggero,author_5312
Ugye2yUxRXpuHRpe_kh4AaABAg.AXEWcL8HUa6AXEzp0gldXu,Ugye2yUxRXpuHRpe_kh4AaABAg,3APB0guJKrw,True,author_5407,2026-05-25T19:21:25Z,2026-05-25T19:21:25Z,1,"Cioè , se salta fuori che la storia delle ricerche ecc ecc e la solita vicenda che sfiora il peculato facciamo finta di nulla ?",Ugye2yUxRXpuHRpe_kh4AaABAg,1,ilmessaggero,author_5407
Ugye2yUxRXpuHRpe_kh4AaABAg.AXEWcL8HUa6AXF-EWbU78f,Ugye2yUxRXpuHRpe_kh4AaABAg.AXEWcL8HUa6AXEzp0gldXu,3APB0guJKrw,True,author_5405,2026-05-25T19:25:02Z,2026-05-25T19:25:02Z,0,"@user no ci mancherebbe, ma che si faccia nel modo giusto e caso mai dirlo a indagini finite non cosi’",Ugye2yUxRXpuHRpe_kh4AaABAg.AXEWcL8HUa6AXEzp0gldXu,2,ilmessaggero,author_5405
UgySZvyxPP-8Iwntsa94AaABAg,,3APB0guJKrw,False,author_5408,2026-05-25T19:46:05Z,2026-05-25T19:46:05Z,0,Aveva l'anello al naso?,,0,ilmessaggero,author_5408
UgyuZ4tNa1__GaUTpGd4AaABAg.AXEGXugjxI-AXFCd4z3O3Q,UgyuZ4tNa1__GaUTpGd4AaABAg,3APB0guJKrw,True,author_5409,2026-05-25T21:22:08Z,2026-05-25T21:22:08Z,3,Scrivi in minuscolo e curati,UgyuZ4tNa1__GaUTpGd4AaABAg,1,ilmessaggero,author_5409
UgxZgm8Fn8hfZ_jWhZ54AaABAg,,3APB0guJKrw,False,author_1789,2026-05-26T00:01:40Z,2026-05-26T00:01:40Z,3,Esperti non erano !!!!,,0,ilmessaggero,author_1789
Ugye2yUxRXpuHRpe_kh4AaABAg.AXEWcL8HUa6AXF_r80JJbl,Ugye2yUxRXpuHRpe_kh4AaABAg.AXEWcL8HUa6AXF-EWbU78f,3APB0guJKrw,True,author_2093,2026-05-26T00:53:46Z,2026-05-26T00:53:46Z,0,"@author_5405 corretto. Chiunque attribuisca responsabilità all'uno o all'altro morto per ciò che è accaduto compie un reato, non c'entra la ""constatazione dei fatti"" o la ""verità"" e nemmeno la ""libertà di critica"" o il semplice ""eh ma lo dicono tutti.."", in assenza di un processo giudiziario (che a sua volta, dovrebbe essere concluso). Attualmente si indaga per omicidio colposo a carico di ignoti. Per quanto riguarda le speculazioni sulle dinamiche dell'incidente, dipende dalla sensibilità di ognuno.. io personalmente lo trovo veramente indelicata come cosa, e a volte leggendo commenti su youtube a riguardo m'incazzo..",Ugye2yUxRXpuHRpe_kh4AaABAg.AXEWcL8HUa6AXF-EWbU78f,3,ilmessaggero,author_2093
