comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugxz19Kp3hB5ZToT9594AaABAg,,6K_bqkjdX8w,False,author_5201,2026-05-26T08:36:02Z,2026-05-26T08:36:02Z,5,Povero figlio spero di cuore tu possa salvarti ❤,,0,ilmessaggero,author_5201
UgwHQKK6aUSW3wxvDzJ4AaABAg,,6K_bqkjdX8w,False,author_339,2026-05-26T08:45:58Z,2026-05-26T08:45:58Z,0,È nel DNA di certi popoli,,0,ilmessaggero,author_339
UgyK_-D21g15KiElWWN4AaABAg,,6K_bqkjdX8w,False,author_5202,2026-05-26T09:12:25Z,2026-05-26T09:12:25Z,6,"Non è possibile...me lo dico ogni volta, ma succede . Che la Madonna ti faccia guarire figliolo ❤",,0,ilmessaggero,author_5202
UgzRzDX2qMfTnn-awkd4AaABAg,,6K_bqkjdX8w,False,author_5203,2026-05-26T09:21:11Z,2026-05-26T09:21:11Z,0,❤😢,,0,ilmessaggero,author_5203
UgyZcBYyWTnnLpRwHsp4AaABAg,,6K_bqkjdX8w,False,author_3479,2026-05-26T09:25:23Z,2026-05-26T09:25:23Z,8,Qui gli assistenti sociali non ci sono eh??,,0,ilmessaggero,author_3479
Ugwx_1JXVVCTkTvIjjN4AaABAg,,6K_bqkjdX8w,False,author_5204,2026-05-26T09:52:54Z,2026-05-26T09:52:54Z,0,Tutta colpa degli italiani,,0,ilmessaggero,author_5204
UgyFnlgRVgB65w7BDGx4AaABAg,,6K_bqkjdX8w,False,author_5205,2026-05-26T11:12:33Z,2026-05-26T11:12:33Z,3,Stanno tutti fuori ... povero ragazzo,,0,ilmessaggero,author_5205
Ugy9pjg-b5c0H76YAld4AaABAg,,6K_bqkjdX8w,False,author_5206,2026-05-26T12:11:46Z,2026-05-26T12:11:46Z,0,Napoli caput mundi.....,,0,ilmessaggero,author_5206
UgxzNWcPQwGm1Ohmpex4AaABAg,,6K_bqkjdX8w,False,author_5207,2026-05-26T12:57:39Z,2026-05-26T12:57:39Z,2,Ma che cazz ma sta gente se non usano armi non sanno più discutere??? Povero ragazzo e povera anche l infermiera speriamo che possiate guarire il più presto possibile ❤,,0,ilmessaggero,author_5207
UgzYKH2Ic2Fv2orq4jF4AaABAg,,6K_bqkjdX8w,False,author_3442,2026-05-26T17:15:13Z,2026-05-26T17:15:13Z,0,Un altro matto libero di fare del male,,0,ilmessaggero,author_3442
UgwDY_c0rp5aNmYiRo54AaABAg,,6K_bqkjdX8w,False,author_668,2026-05-27T20:35:13Z,2026-05-27T20:35:13Z,0,Non ho parole,,0,ilmessaggero,author_668
