comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwxENSDl9lbONd0L3x4AaABAg,,6qP__CMW5j8,False,author_5483,2026-05-24T14:54:49Z,2026-05-24T14:54:49Z,6,Vergogna!,,0,ilmessaggero,author_5483
UgxoqmcO9zfROkO3I014AaABAg,,6qP__CMW5j8,False,author_3071,2026-05-24T14:56:39Z,2026-05-24T14:56:39Z,21,"Vergognati Sempio,direi che come cattiveria non sei lontano dalla mamma.",,0,ilmessaggero,author_3071
UgznL4Hj3KqWl2nFGRB4AaABAg,,6qP__CMW5j8,False,author_5484,2026-05-24T14:58:26Z,2026-05-24T14:58:26Z,2,CCHÈ EEEEEE.......🤮🤮🤮🤮🤮🤮🤮🤮,,0,ilmessaggero,author_5484
UgyOG3D_63RrhsqNzTJ4AaABAg,,6qP__CMW5j8,False,author_5485,2026-05-24T14:59:21Z,2026-05-24T14:59:21Z,3,Il tuo viso parla da solo,,0,ilmessaggero,author_5485
UgyaLTRA9TXMMliZySV4AaABAg,,6qP__CMW5j8,False,author_5486,2026-05-24T15:01:27Z,2026-05-24T15:01:27Z,0,Siii mo dopo le offese della madre ad Alberto e alla sua mamma pure questo .......,,0,ilmessaggero,author_5486
UgwPWkdcKrl3DbBXFON4AaABAg,,6qP__CMW5j8,False,author_5487,2026-05-24T15:04:01Z,2026-05-24T15:04:01Z,3,Vergonha 😮😮😮,,0,ilmessaggero,author_5487
UgzA6pyxXDOX2-Azidx4AaABAg,,6qP__CMW5j8,False,author_5488,2026-05-24T15:07:19Z,2026-05-24T15:07:19Z,23,Ma questo è completamente fuori di testa perché non guarda un po' dietro,,0,ilmessaggero,author_5488
UgzCQzRKKE3LOlkC2y94AaABAg,,6qP__CMW5j8,False,author_5489,2026-05-24T15:07:21Z,2026-05-24T15:07:21Z,14,😂😂😂😂 Il lupo perde il pelo ma non il vizio che coglll continua a parlare 😂😂😂 poi a proposito di corrotti abbiamo il bue che chiama cornuto l'asino😂😂😂,,0,ilmessaggero,author_5489
UgyBDEaQLJoRnocBxFJ4AaABAg,,6qP__CMW5j8,False,author_5490,2026-05-24T15:07:45Z,2026-05-24T15:07:45Z,12,Cominci ad avere paura caro Sempio,,0,ilmessaggero,author_5490
Ugwbrl98f87VIg_Rei54AaABAg,,6qP__CMW5j8,False,author_5491,2026-05-24T15:12:34Z,2026-05-24T15:12:34Z,24,"Davvero lui parla di corruzione, chieda lumi a suo padre",,0,ilmessaggero,author_5491
