comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwPEo4lJeYGxM_l_wV4AaABAg,,Asw6roWe4aU,False,author_6604,2026-05-21T07:40:21Z,2026-05-21T07:40:21Z,0,😢che traggedia,,0,ilmessaggero,author_6604
UgzLBoaDuqRlLaaqQtN4AaABAg,,Asw6roWe4aU,False,author_5883,2026-05-21T07:43:42Z,2026-05-21T07:43:42Z,5,"Certo che di pazzi c'è ne sono tanti in giro, se non fanno leggi più severe la vita umana e a rischio!",,0,ilmessaggero,author_5883
UgzLBoaDuqRlLaaqQtN4AaABAg.AX3RnJ77dCpAX3SjyMDSKw,UgzLBoaDuqRlLaaqQtN4AaABAg,Asw6roWe4aU,True,author_6605,2026-05-21T07:51:59Z,2026-05-21T07:51:59Z,0,"Più severe,questo va in carcere e la patente non la rivedrà mai più,come fanno ad essere più severe?(ovviamente ci mancherebbe anche,è quello che si merita)",UgzLBoaDuqRlLaaqQtN4AaABAg,1,ilmessaggero,author_6605
UgzLBoaDuqRlLaaqQtN4AaABAg.AX3RnJ77dCpAX3WXNcOgpB,UgzLBoaDuqRlLaaqQtN4AaABAg,Asw6roWe4aU,True,author_9,2026-05-21T08:25:05Z,2026-05-21T08:25:05Z,3,Il problema è che Milano è una città di cocainomani che vedono altro tipo di strisce... Non so se mi spiego,UgzLBoaDuqRlLaaqQtN4AaABAg,1,ilmessaggero,author_9
UgwWhSTeyX4Uq9nbp_p4AaABAg,,Asw6roWe4aU,False,author_4270,2026-05-21T08:43:20Z,2026-05-21T08:43:20Z,7,"Un altro drogato ubriaco italiano di 38 anni che uccide sulla strada, togliamogli la cittadinanza subito e rimandiamolo a casa sua.",,0,ilmessaggero,author_4270
UgzU8HBraJnwR5kTcQx4AaABAg,,Asw6roWe4aU,False,author_3420,2026-05-21T08:59:52Z,2026-05-21T08:59:52Z,7,A questo non togliamo la cittadinanza????,,0,ilmessaggero,author_3420
UgyDv12073KOR4gqxuZ4AaABAg,,Asw6roWe4aU,False,author_6606,2026-05-21T09:16:13Z,2026-05-21T09:16:13Z,0,Qualcuno mi può spiegare che differenza c'è se è italiano o straniero.,,0,ilmessaggero,author_6606
UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3cwoFGqfo,UgwWhSTeyX4Uq9nbp_p4AaABAg,Asw6roWe4aU,True,author_6607,2026-05-21T09:29:52Z,2026-05-21T09:29:52Z,1,😅🤣,UgwWhSTeyX4Uq9nbp_p4AaABAg,1,ilmessaggero,author_6607
UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3fqlJJ0Sd,UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3cwoFGqfo,Asw6roWe4aU,True,author_4270,2026-05-21T09:55:15Z,2026-05-21T09:55:15Z,2,@author_6607 😂,UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3cwoFGqfo,2,ilmessaggero,author_4270
UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3iuy7u-gk,UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3fqlJJ0Sd,Asw6roWe4aU,True,author_6607,2026-05-21T10:22:02Z,2026-05-21T10:22:02Z,1,"@user sta, ci sta 😉😊",UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX3fqlJJ0Sd,3,ilmessaggero,author_6607
UgzU8HBraJnwR5kTcQx4AaABAg.AX3_W8_08bzAX3ku9FcgDr,UgzU8HBraJnwR5kTcQx4AaABAg,Asw6roWe4aU,True,author_4999,2026-05-21T10:39:24Z,2026-05-21T10:39:24Z,0,Non sei per niente spiritoso,UgzU8HBraJnwR5kTcQx4AaABAg,1,ilmessaggero,author_4999
UgyajvqC3r0jNpQJG0F4AaABAg,,Asw6roWe4aU,False,author_2009,2026-05-21T11:05:33Z,2026-05-21T11:05:33Z,0,Sarà italiano,,0,ilmessaggero,author_2009
UgzU8HBraJnwR5kTcQx4AaABAg.AX3_W8_08bzAX3u7_mB67c,UgzU8HBraJnwR5kTcQx4AaABAg.AX3_W8_08bzAX3ku9FcgDr,Asw6roWe4aU,True,author_3420,2026-05-21T12:00:01Z,2026-05-21T12:00:01Z,3,@author_4999 non voglio essere spiritoso è una provocazione,UgzU8HBraJnwR5kTcQx4AaABAg.AX3_W8_08bzAX3ku9FcgDr,2,ilmessaggero,author_3420
UgzdTia35byfIHTcOBR4AaABAg,,Asw6roWe4aU,False,author_2315,2026-05-21T12:21:19Z,2026-05-21T12:21:19Z,0,Terrorismo cristiano!,,0,ilmessaggero,author_2315
UgyZxvSMiJVxbN-789p4AaABAg,,Asw6roWe4aU,False,author_6608,2026-05-21T14:35:19Z,2026-05-21T14:35:19Z,0,"Allora gli si toglie la Nazionalità!!!...come? Ah già, la solita minchiata leghista e vannacciana😂",,0,ilmessaggero,author_6608
UgzcKjcGsZWS0Jem4jx4AaABAg,,Asw6roWe4aU,False,author_3258,2026-05-21T14:55:09Z,2026-05-21T14:55:09Z,0,E mo che non è straniero che si fa?,,0,ilmessaggero,author_3258
UgwZk5q74YIgN5S3wNl4AaABAg,,Asw6roWe4aU,False,author_6609,2026-05-21T14:57:16Z,2026-05-21T14:57:16Z,0,Italia sfasciata. Droga e alcol cocktail micidiale. Potere al clero!,,0,ilmessaggero,author_6609
UgzEnP2kBxzlghPejcB4AaABAg,,Asw6roWe4aU,False,author_6610,2026-05-21T15:15:34Z,2026-05-21T15:15:34Z,1,Ergastolo,,0,ilmessaggero,author_6610
UgyYsCtG7BxaLwCLFdZ4AaABAg,,Asw6roWe4aU,False,author_4944,2026-05-21T15:17:26Z,2026-05-21T15:31:39Z,0,"Che dire, un degno italiano, un modello per tutti coloro che si devono integrare...",,0,ilmessaggero,author_4944
UgyHt09HNjlB5fStxC14AaABAg,,Asw6roWe4aU,False,author_2729,2026-05-21T15:18:53Z,2026-05-21T15:18:53Z,0,Sulla forca,,0,ilmessaggero,author_2729
Ugz_hhWcPyjiQasKjv14AaABAg,,Asw6roWe4aU,False,author_6611,2026-05-21T15:46:04Z,2026-05-21T15:46:04Z,0,Kaput,,0,ilmessaggero,author_6611
UgzLBoaDuqRlLaaqQtN4AaABAg.AX3RnJ77dCpAX4JDLBhu7y,UgzLBoaDuqRlLaaqQtN4AaABAg,Asw6roWe4aU,True,author_4964,2026-05-21T15:48:00Z,2026-05-21T15:48:00Z,0,😂😂😂Dopo il ponte 😂😂😂,UgzLBoaDuqRlLaaqQtN4AaABAg,1,ilmessaggero,author_4964
UgzLBoaDuqRlLaaqQtN4AaABAg.AX3RnJ77dCpAX4JIaiib0I,UgzLBoaDuqRlLaaqQtN4AaABAg.AX3RnJ77dCpAX3WXNcOgpB,Asw6roWe4aU,True,author_4964,2026-05-21T15:48:43Z,2026-05-21T15:48:43Z,0,@author_9 Sei uno che se ne intende 😂😂😂 vero 😂😂😂?,UgzLBoaDuqRlLaaqQtN4AaABAg.AX3RnJ77dCpAX3WXNcOgpB,2,ilmessaggero,author_4964
UgzLBoaDuqRlLaaqQtN4AaABAg.AX3RnJ77dCpAX4KI-duIPs,UgzLBoaDuqRlLaaqQtN4AaABAg.AX3RnJ77dCpAX4JDLBhu7y,Asw6roWe4aU,True,author_9,2026-05-21T15:57:22Z,2026-05-21T15:57:22Z,0,@author_4964 la tua battuta la capisci solo tu,UgzLBoaDuqRlLaaqQtN4AaABAg.AX3RnJ77dCpAX4JDLBhu7y,2,ilmessaggero,author_9
UgzO85adu3YeEkuolYR4AaABAg,,Asw6roWe4aU,False,author_6612,2026-05-21T16:04:33Z,2026-05-21T16:04:33Z,1,Per questi individui ripristinare la pena di morte.,,0,ilmessaggero,author_6612
UgyYsCtG7BxaLwCLFdZ4AaABAg.AX4FiVfaI9xAX4NDxDnfzb,UgyYsCtG7BxaLwCLFdZ4AaABAg,Asw6roWe4aU,True,author_6613,2026-05-21T16:23:02Z,2026-05-21T16:23:02Z,1,Almeno dopo essere sceso dalla macchina è andato a costituirsi e non ad accoltellare altra gente🤷,UgyYsCtG7BxaLwCLFdZ4AaABAg,1,ilmessaggero,author_6613
UgyYsCtG7BxaLwCLFdZ4AaABAg.AX4FiVfaI9xAX4NlSfevSc,UgyYsCtG7BxaLwCLFdZ4AaABAg.AX4FiVfaI9xAX4NDxDnfzb,Asw6roWe4aU,True,author_4944,2026-05-21T16:27:45Z,2026-05-21T17:47:49Z,0,"@author_6613 Appunto, lo vede che comunque è come dicevo...? Quella del coltello è la parte creativa, ogni cultura ci mette la propria...",UgyYsCtG7BxaLwCLFdZ4AaABAg.AX4FiVfaI9xAX4NDxDnfzb,2,ilmessaggero,author_4944
UgyYsCtG7BxaLwCLFdZ4AaABAg.AX4FiVfaI9xAX4Oju6EapL,UgyYsCtG7BxaLwCLFdZ4AaABAg.AX4FiVfaI9xAX4NDxDnfzb,Asw6roWe4aU,True,author_6614,2026-05-21T16:36:16Z,2026-05-21T16:36:16Z,0,"@author_6613...ehm, guarda che sono stati i suoi genitori che hanno chiamato il 112. E lui vedendosi messo alle strette ha pensato bene di fare un gesto da ""galantuomo m"" nel costituirsi 😮😮😮",UgyYsCtG7BxaLwCLFdZ4AaABAg.AX4FiVfaI9xAX4NDxDnfzb,2,ilmessaggero,author_6614
Ugx6bf_F92nAWt9rRtp4AaABAg,,Asw6roWe4aU,False,author_6614,2026-05-21T16:38:45Z,2026-05-21T16:38:45Z,0,"Manca all'appello il deciso gesto di condanna del ministro Salvini; ah, ecco; perchè Libero non ha pubbicato il nome di questo assassino?",,0,ilmessaggero,author_6614
UgzU8HBraJnwR5kTcQx4AaABAg.AX3_W8_08bzAX4Q9amL8lj,UgzU8HBraJnwR5kTcQx4AaABAg,Asw6roWe4aU,True,author_6615,2026-05-21T16:48:39Z,2026-05-21T16:48:39Z,1,Provocazione ridicola perchè il tizio di Modena ha cercato volutamente la strage!,UgzU8HBraJnwR5kTcQx4AaABAg,1,ilmessaggero,author_6615
UgytNitpQX9QqaLvJDF4AaABAg,,Asw6roWe4aU,False,author_6615,2026-05-21T16:52:19Z,2026-05-21T16:52:19Z,2,"Per quelli che non capiscono: tutti e due devono andare in galera, ma l'italiano era ubriaco, il tizio di Modena voleva la strage, c'è differenza o no?",,0,ilmessaggero,author_6615
UgzU8HBraJnwR5kTcQx4AaABAg.AX3_W8_08bzAX4Qg2Yv384,UgzU8HBraJnwR5kTcQx4AaABAg.AX3_W8_08bzAX4Q9amL8lj,Asw6roWe4aU,True,author_6616,2026-05-21T16:53:13Z,2026-05-21T16:53:13Z,1,@user guidi con un tasso alcolico quattro volte superiore al limite è sei anche drogato è facile che uccidi qualcuno 😢,UgzU8HBraJnwR5kTcQx4AaABAg.AX3_W8_08bzAX4Q9amL8lj,2,ilmessaggero,author_6616
Ugxmk-7YHqECAnf0MWx4AaABAg,,Asw6roWe4aU,False,author_5335,2026-05-21T16:54:21Z,2026-05-21T16:54:21Z,0,Questo non era mussulmano Salvini gli revochiamo la cittadinanza anche queto ? I coglioni sono dappertutto,,0,ilmessaggero,author_5335
UgzU8HBraJnwR5kTcQx4AaABAg.AX3_W8_08bzAX4RMhWsBHA,UgzU8HBraJnwR5kTcQx4AaABAg.AX3_W8_08bzAX4Q9amL8lj,Asw6roWe4aU,True,author_3420,2026-05-21T16:59:11Z,2026-05-21T16:59:11Z,0,@user uno che si ubriaca e si droga e sale in macchina va a margherite? Non voglio giustificare nessuno ma le parole dette da certi politici hanno un peso ...,UgzU8HBraJnwR5kTcQx4AaABAg.AX3_W8_08bzAX4Q9amL8lj,2,ilmessaggero,author_3420
UgwWhSTeyX4Uq9nbp_p4AaABAg.AX3Yc2H_lwDAX4UR60JgrC,UgwWhSTeyX4Uq9nbp_p4AaABAg,Asw6roWe4aU,True,author_6514,2026-05-21T17:26:00Z,2026-05-21T17:26:00Z,2,Non fai ridere....è morta una donna.,UgwWhSTeyX4Uq9nbp_p4AaABAg,1,ilmessaggero,author_6514
UgwfHfGl_9Wic1lWNK54AaABAg,,Asw6roWe4aU,False,author_3598,2026-05-21T17:26:05Z,2026-05-21T17:26:05Z,0,"Milano è diventata un vero far west! E' il frutto naturale partorito dall'attuale sindaco-manager, che è stato pure rieletto. Egli ha ereditato una città nella quale era raro vedere i vigili fare controlli per le strade. Con lui, li si vede praticamente solo fare i rilievi a seguito dei numerosissimi incidenti mortali che avvengono con regolare frequenza nelle strade della città, sempre più luride e malfrequentate. Una vera e propria terra di nessuno, dove proliferano la mcrodelinquenza e il rodeo stradale. In compenso, è diventato impossibile per i proletari superare le barriere dell'area C, e perfino circolare nella stessa area B dove ancora risiedono. A meno che non siano proprietari di una Tesla o di una Lamborghini di ultimissima generazione, naturalmente. Chapeau a chi l'ha votato! Chi è causa dei suoi mal...",,0,ilmessaggero,author_3598
