comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugw2D4s1IjPEMK62KWJ4AaABAg,,CLlbSu5oS-8,False,author_120,2026-05-26T15:54:40Z,2026-05-26T15:54:40Z,0,e vai,,0,ilmessaggero,author_120
UgywhM7YfJvgq9EYffd4AaABAg,,CLlbSu5oS-8,False,author_5180,2026-05-26T15:59:16Z,2026-05-26T15:59:16Z,9,😢roba da pazzi !!!!!,,0,ilmessaggero,author_5180
UgyuZRBHD1rsb5paM9F4AaABAg,,CLlbSu5oS-8,False,author_1367,2026-05-26T16:27:56Z,2026-05-26T16:27:56Z,0,Magari anche la biadante,,0,ilmessaggero,author_1367
UgxY6bRlEeWffPhmVFB4AaABAg,,CLlbSu5oS-8,False,author_9,2026-05-26T16:55:55Z,2026-05-26T16:55:55Z,3,"Ma è quella che diceva ""è stato un incidente""?",,0,ilmessaggero,author_9
Ugyynzg7LFHMhXcF7lR4AaABAg,,CLlbSu5oS-8,False,author_1612,2026-05-26T17:09:01Z,2026-05-26T17:09:01Z,4,Speriamo che si riesca a capire cosa è successo 😢,,0,ilmessaggero,author_1612
UgzO6wX0mp6-xDG0uSJ4AaABAg,,CLlbSu5oS-8,False,author_5181,2026-05-26T17:12:50Z,2026-05-26T17:12:50Z,2,😢😢😢😢😢,,0,ilmessaggero,author_5181
UgwOEwZSeVAg1OdqMGN4AaABAg,,CLlbSu5oS-8,False,author_3357,2026-05-26T17:49:57Z,2026-05-26T17:49:57Z,3,"Stanno girando a vuoto da mesi ormai, non verranno a capo di niente se continuano così.",,0,ilmessaggero,author_3357
UgxP4PFY5AH-aSb5smR4AaABAg,,CLlbSu5oS-8,False,author_59,2026-05-26T19:44:09Z,2026-05-26T19:45:02Z,5,Seee anche Hacher la zia novantenne che cercava informazioni su internet in incognito qui se continua così finisce come a Garlasco,,0,ilmessaggero,author_59
Ugx6uWUPNb9okRjyXRJ4AaABAg,,CLlbSu5oS-8,False,author_5086,2026-05-26T21:29:02Z,2026-05-26T21:29:02Z,3,"È tanto evidente che è stata la cugina del padre, usando la torta della zia.",,0,ilmessaggero,author_5086
UgxY6bRlEeWffPhmVFB4AaABAg.AXHIyCiLwToAXHnH3xOlMw,UgxY6bRlEeWffPhmVFB4AaABAg,CLlbSu5oS-8,True,author_5086,2026-05-26T21:29:31Z,2026-05-26T21:29:50Z,0,Si dicendo così sembra che vuole mettere le mani avanti.,UgxY6bRlEeWffPhmVFB4AaABAg,1,ilmessaggero,author_5086
UgzZigLCf5zlD_A0c7d4AaABAg,,CLlbSu5oS-8,False,author_5066,2026-05-27T02:51:18Z,2026-05-27T02:51:18Z,3,Poverine😢😢😢🙏⚘️⚘️,,0,ilmessaggero,author_5066
UgyigJFL3GPk_kqU0Op4AaABAg,,CLlbSu5oS-8,False,author_5182,2026-05-27T09:48:11Z,2026-05-27T09:48:11Z,5,SI SICURAMENTE VOLEVANO UN GRAN BENE A QUESTA FAMIGLIA😢,,0,ilmessaggero,author_5182
UgwzE3cg7uIU4Xq-itB4AaABAg,,CLlbSu5oS-8,False,author_5161,2026-05-27T11:44:20Z,2026-05-27T11:44:20Z,0,Udizze marocco yogurt marocco mecdonas Marocco marocco nonna sushi melanda ralmo rovigorovigo addonata di un cane di selena anni fa da addonata sushi melanda ralmo selena mollocone mamma selena mollocone lorenzo comouter dito che buiotto pietre beatrice furaillerie fiori fuilariele biscotti cioccolato Sadrokan periml avetrurie film Sadrokan guiosio partita pessima e tu siccsina piunagio di un lavoro,,0,ilmessaggero,author_5161
UgxABNcvYLETu0NSODl4AaABAg,,CLlbSu5oS-8,False,author_534,2026-05-27T21:04:16Z,2026-05-27T21:04:16Z,1,Fanno prima ad arrestare uno a caso. Magari tra vent'anni dicono che si sono sbagliati.,,0,ilmessaggero,author_534
UgxP4PFY5AH-aSb5smR4AaABAg.AXHbDOOv7PzAXMPM3z5D6I,UgxP4PFY5AH-aSb5smR4AaABAg,CLlbSu5oS-8,True,author_292,2026-05-28T16:27:57Z,2026-05-28T16:27:57Z,0,Uguale.,UgxP4PFY5AH-aSb5smR4AaABAg,1,ilmessaggero,author_292
UgzCHk53xwt-DDRTWnN4AaABAg,,CLlbSu5oS-8,False,author_3707,2026-05-28T16:50:11Z,2026-05-28T16:50:11Z,0,Che ambientino😅,,0,ilmessaggero,author_3707
