comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwxNmZTUUwYvn__AlF4AaABAg,,DX3RGd2t0xM,False,author_3091,2026-05-21T13:27:46Z,2026-05-21T13:27:46Z,0,Ma il gran caxxo che c'è né frega,,0,ilmessaggero,author_3091
UgzPM96xI5o_lr6RVSB4AaABAg,,DX3RGd2t0xM,False,author_166,2026-05-21T13:37:27Z,2026-05-21T13:37:27Z,1,Grande Antonino sei il nostro Frontline Combo contro le zecche di la7 9 e rai tre,,0,ilmessaggero,author_166
Ugx5s_V4uMgbimIgi614AaABAg,,DX3RGd2t0xM,False,author_4584,2026-05-21T13:49:43Z,2026-05-21T13:49:43Z,3,Forza Antonino Alle malelingue tornerà tutto La vita restituisce il male,,0,ilmessaggero,author_4584
UgwUA1U5K99U3uHAu854AaABAg,,DX3RGd2t0xM,False,author_6330,2026-05-21T14:56:19Z,2026-05-21T14:56:19Z,1,"Non ti curar di loro, ma' passa e vaiiii ❤",,0,ilmessaggero,author_6330
UgwoQ7JQPupBmumxGoZ4AaABAg,,DX3RGd2t0xM,False,author_6331,2026-05-21T15:11:43Z,2026-05-21T15:11:43Z,0,"Auguri di pronta guarigione, seguo spesso le sue inchieste e a molto coraggio. Questa persona questo giornalista d'inchiesta 🙏🏼🙏🏼",,0,ilmessaggero,author_6331
UgzPM96xI5o_lr6RVSB4AaABAg.AX44HELxmtAAX4FD3GGk7_,UgzPM96xI5o_lr6RVSB4AaABAg,DX3RGd2t0xM,True,author_6331,2026-05-21T15:13:00Z,2026-05-21T15:13:00Z,0,Io penso che non sia una persona schierata. Ci sono le zecche anche di destra prendetevene conto che è meglio di quello che sta succedendo in questo Parlamento ....,UgzPM96xI5o_lr6RVSB4AaABAg,1,ilmessaggero,author_6331
Ugxxzx63XCXCN_sTK8x4AaABAg,,DX3RGd2t0xM,False,author_3707,2026-05-21T15:27:49Z,2026-05-21T15:27:49Z,3,Io non so neanche chi è😂,,0,ilmessaggero,author_3707
Ugxd1MTDzWchhhdpgEp4AaABAg,,DX3RGd2t0xM,False,author_6332,2026-05-21T15:53:58Z,2026-05-21T15:53:58Z,0,❤,,0,ilmessaggero,author_6332
Ugxxzx63XCXCN_sTK8x4AaABAg.AX4GuVRuyOgAX4KNKV_Y3p,Ugxxzx63XCXCN_sTK8x4AaABAg,DX3RGd2t0xM,True,author_2250,2026-05-21T15:58:06Z,2026-05-21T15:58:06Z,1,"Neanch'io, meglio così 😂",Ugxxzx63XCXCN_sTK8x4AaABAg,1,ilmessaggero,author_2250
UgyrCgrF8uAPL1XVLdR4AaABAg,,DX3RGd2t0xM,False,author_6333,2026-05-21T17:08:25Z,2026-05-21T17:08:25Z,0,Auguri e buona guarigione,,0,ilmessaggero,author_6333
UgyC0ToqodPlnVR3MS54AaABAg,,DX3RGd2t0xM,False,author_6334,2026-05-21T18:11:10Z,2026-05-21T18:11:10Z,0,Tanti auguri di ottima guarigione❤😊,,0,ilmessaggero,author_6334
UgzPM96xI5o_lr6RVSB4AaABAg.AX44HELxmtAAX4d8yLYPJr,UgzPM96xI5o_lr6RVSB4AaABAg,DX3RGd2t0xM,True,author_6335,2026-05-21T18:50:54Z,2026-05-21T18:50:54Z,0,Linvidia ce anche tra i colleghi sul lavoro tra il partito pd sinistra~,UgzPM96xI5o_lr6RVSB4AaABAg,1,ilmessaggero,author_6335
UgzPM96xI5o_lr6RVSB4AaABAg.AX44HELxmtAAX4j0LlLEKf,UgzPM96xI5o_lr6RVSB4AaABAg.AX44HELxmtAAX4d8yLYPJr,DX3RGd2t0xM,True,author_166,2026-05-21T19:42:09Z,2026-05-21T19:42:09Z,1,È moderato Antonino gli altri troppo estremisti...,UgzPM96xI5o_lr6RVSB4AaABAg.AX44HELxmtAAX4d8yLYPJr,2,ilmessaggero,author_166
UgyJap_WPHtGMLYa_tp4AaABAg,,DX3RGd2t0xM,False,author_6336,2026-05-21T22:00:16Z,2026-05-21T22:00:16Z,0,Auguroniiiii💪💪💪,,0,ilmessaggero,author_6336
Ugz1ZYyhZmFrZ46KfPN4AaABAg,,DX3RGd2t0xM,False,author_1079,2026-05-22T10:48:37Z,2026-05-22T10:48:37Z,0,"Sei il miglior giornalista italiano in circolazione per quanto mi riguarda, e tutto ciò che riguarda Rosa e Olindo..la verità l' hai portata alla luce TU",,0,ilmessaggero,author_1079
UgzUqjvxvOMIg1tH45Z4AaABAg,,DX3RGd2t0xM,False,author_6337,2026-05-24T20:03:55Z,2026-05-24T20:03:55Z,0,Antonino ti auguro di guarire presto ❤,,0,ilmessaggero,author_6337
UgyECnNDVnl0JqhN5PR4AaABAg,,DX3RGd2t0xM,False,author_3909,2026-05-25T07:00:21Z,2026-05-25T07:00:21Z,0,auguri buona guarigione,,0,ilmessaggero,author_3909
UgweecIOrw2ScME3nB14AaABAg,,DX3RGd2t0xM,False,author_6338,2026-05-27T09:14:41Z,2026-05-27T09:14:41Z,0,Ti auguro di stare bene ❤,,0,ilmessaggero,author_6338
