comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwQ6mQX_KmsLE7UJx94AaABAg,,EqTMfJ8Sshg,False,author_5257,2026-05-25T17:56:07Z,2026-05-25T17:56:07Z,6,Bravissimo brava la Calabria complimenti al nuovo Sindaco ❤❤❤,,0,ilmessaggero,author_5257
Ugz0Y4ZL6U1Zz25YatB4AaABAg,,EqTMfJ8Sshg,False,author_5258,2026-05-25T17:59:27Z,2026-05-25T17:59:27Z,2,🎉,,0,ilmessaggero,author_5258
Ugy0Aj48-F2PkcLfdVt4AaABAg,,EqTMfJ8Sshg,False,author_462,2026-05-25T18:23:24Z,2026-05-25T18:23:24Z,6,Eh si. La gente ne ha piene le balle delle isterie collettive comuniste,,0,ilmessaggero,author_462
UgyzxUmv_xp-Ad8Wulh4AaABAg,,EqTMfJ8Sshg,False,author_5259,2026-05-25T18:26:45Z,2026-05-25T18:26:45Z,1,Eh bè? Dove sono finiti i comunisti? Tutti morti? Ma gli italiani non erano stanchi della Meloni?😂😂😂😂😂😂😂😂 Mi sa che con schlein e quegli altri cialtroni di fratoianni e bonelli resterete all'opposizione in eterno 😂😂😂😂😂😂pagliacciiiiiii😂😂😂😂😂,,0,ilmessaggero,author_5259
Ugy0Aj48-F2PkcLfdVt4AaABAg.AXEtAzyqyUQAXEu8bO4q83,Ugy0Aj48-F2PkcLfdVt4AaABAg,EqTMfJ8Sshg,True,author_5148,2026-05-25T18:31:48Z,2026-05-25T18:31:48Z,1,"Invece Meloni & co...., dx, sx, centro: è tutto un magna e fotti i cittadini italiani.",Ugy0Aj48-F2PkcLfdVt4AaABAg,1,ilmessaggero,author_5148
Ugy0Aj48-F2PkcLfdVt4AaABAg.AXEtAzyqyUQAXEvoOQljWt,Ugy0Aj48-F2PkcLfdVt4AaABAg.AXEtAzyqyUQAXEu8bO4q83,EqTMfJ8Sshg,True,author_462,2026-05-25T18:46:23Z,2026-05-25T18:46:23Z,1,@author_5148 L'immancabile commento generalista. Non dimenticare gli anarchici. Che ti fanno pure saltare in aria,Ugy0Aj48-F2PkcLfdVt4AaABAg.AXEtAzyqyUQAXEu8bO4q83,2,ilmessaggero,author_462
UgxFrGwJ3hcQVF9hTXp4AaABAg,,EqTMfJ8Sshg,False,author_1980,2026-05-25T18:54:12Z,2026-05-25T18:54:12Z,2,Ho notato che tutte le zecche rosse e il campomorto sono tornati nelle fogne a leccarsi le ferite!!!!!🤣🤣🤣🤣🤣🤣🖕🖕🖕🖕🖕 Bella ciao ciao 😂😂,,0,ilmessaggero,author_1980
UgyjBc-laL3rUUve4tV4AaABAg,,EqTMfJ8Sshg,False,author_3841,2026-05-25T19:20:29Z,2026-05-25T19:20:29Z,3,Perciò la Calabria è sempre una regione arretrata,,0,ilmessaggero,author_3841
Ugzqc9siUvqns9FR7b94AaABAg,,EqTMfJ8Sshg,False,author_3925,2026-05-25T21:15:03Z,2026-05-25T21:15:03Z,1,Brava Reggio Calabria!!!!!,,0,ilmessaggero,author_3925
UgyjBc-laL3rUUve4tV4AaABAg.AXEziCKRspUAXFBy6RFjIt,UgyjBc-laL3rUUve4tV4AaABAg,EqTMfJ8Sshg,True,author_116,2026-05-25T21:16:16Z,2026-05-25T21:16:16Z,1,Come Venezia che sta' in Veneto ?😂😂😂😂😂😂😂😂.........,UgyjBc-laL3rUUve4tV4AaABAg,1,ilmessaggero,author_116
UgzlwTQ4Sml637Ndu7B4AaABAg,,EqTMfJ8Sshg,False,author_3925,2026-05-25T21:16:25Z,2026-05-25T21:16:25Z,3,Deve tornare protagonista !!!!,,0,ilmessaggero,author_3925
UgxCht0tLc5Tk9cwlSF4AaABAg,,EqTMfJ8Sshg,False,author_382,2026-05-25T22:11:22Z,2026-05-25T22:11:22Z,1,❤❤❤❤❤❤❤❤❤❤,,0,ilmessaggero,author_382
Ugw7buHqZsiVWto5sSF4AaABAg,,EqTMfJ8Sshg,False,author_5260,2026-05-25T22:31:01Z,2026-05-25T22:31:01Z,2,"...chi dici a schlein?😅😅 ...povera,avrà le convulsioni!😂",,0,ilmessaggero,author_5260
