comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxrTWo4MMzVXFpH8hN4AaABAg,,I9I1XjsZoeY,False,author_2702,2026-05-23T15:06:22Z,2026-05-23T15:06:22Z,0,Auspico una fase finale per voi terroristi Usa e per i terroristi israeliani,,0,ilmessaggero,author_2702
UgyRQOPTlK5yjOCCxMR4AaABAg,,I9I1XjsZoeY,False,author_843,2026-05-23T15:09:34Z,2026-05-23T15:09:34Z,2,Non ci credo,,0,ilmessaggero,author_843
UgyRQOPTlK5yjOCCxMR4AaABAg.AX9OPddRfWGAX9OZo_DCir,UgyRQOPTlK5yjOCCxMR4AaABAg,I9I1XjsZoeY,True,author_175,2026-05-23T15:10:57Z,2026-05-23T15:13:42Z,2,Non ci crede nessuno... È da oltre 1 mese e mezzo che vanno avanti così...,UgyRQOPTlK5yjOCCxMR4AaABAg,1,ilmessaggero,author_175
UgzLUL6Dv3loplEOM7B4AaABAg,,I9I1XjsZoeY,False,author_5735,2026-05-23T15:13:35Z,2026-05-23T15:13:35Z,0,Ma vai a💩💩💩💩💩💩💩🤡🤡🤡🤡🤡💩💩💩💩💩,,0,ilmessaggero,author_5735
Ugz5Wg04m40cIrG7JE14AaABAg,,I9I1XjsZoeY,False,author_5736,2026-05-23T15:16:34Z,2026-05-23T15:16:34Z,3,Madonna come sono vicini si come no,,0,ilmessaggero,author_5736
UgzLjajh9_HTxBcHyYR4AaABAg,,I9I1XjsZoeY,False,author_5737,2026-05-23T15:58:24Z,2026-05-23T15:58:24Z,5,Bugiardi e falsi! Scrivete la verità! Non è una guerra tra Usa e Iran! È l' aggressione degli Usa all' Iran! Bugiardi!,,0,ilmessaggero,author_5737
UgzEJKk9jYHyvCLuqCF4AaABAg,,I9I1XjsZoeY,False,author_166,2026-05-23T16:23:57Z,2026-05-23T16:23:57Z,4,Bravi che bisogna disinfestare Cuba dalle zecche..... c'è stata Salis portatevi Frontline Combo vi sarà d aiuto,,0,ilmessaggero,author_166
UgwPmN7vIqMRpAe3s3x4AaABAg,,I9I1XjsZoeY,False,author_2531,2026-05-23T19:05:23Z,2026-05-23T19:05:23Z,6,America é a 90 gradi grande Iran ❤,,0,ilmessaggero,author_2531
UgxX9BouhNES7iIlflh4AaABAg,,I9I1XjsZoeY,False,author_3772,2026-05-23T19:21:40Z,2026-05-23T19:21:40Z,3,Per distogliere l'attenzione da epstein si fa di tutto. Tanto ..,,0,ilmessaggero,author_3772
UgwxtDgbc24LvvBduUJ4AaABAg,,I9I1XjsZoeY,False,author_5738,2026-05-24T00:15:59Z,2026-05-24T00:15:59Z,5,Ipocrisia totale!!,,0,ilmessaggero,author_5738
UgwxtDgbc24LvvBduUJ4AaABAg.AXAMwjgugXJAXAhOJFYbUX,UgwxtDgbc24LvvBduUJ4AaABAg,I9I1XjsZoeY,True,author_2272,2026-05-24T03:23:23Z,2026-05-24T03:23:23Z,0,macche accordo Bombe su quei beduini,UgwxtDgbc24LvvBduUJ4AaABAg,1,ilmessaggero,author_2272
UgyCq0qJtuKzi96f_CZ4AaABAg,,I9I1XjsZoeY,False,author_2583,2026-05-24T06:16:30Z,2026-05-24T06:16:30Z,0,Avete scelto che Israele era più importante di tutto il resto del pianeta. Non si torna indietro merde,,0,ilmessaggero,author_2583
UgxEeWQem9IjEBFGlx14AaABAg,,I9I1XjsZoeY,False,author_625,2026-05-24T06:21:35Z,2026-05-24T06:21:35Z,0,Nonolate gli iraniani.stanno tergiversando.per q guadagnare tempo.attacate.,,0,ilmessaggero,author_625
UgweMeSp2JKLJfYicIh4AaABAg,,I9I1XjsZoeY,False,author_5739,2026-05-24T06:28:20Z,2026-05-24T06:28:20Z,0,Trump MENTE,,0,ilmessaggero,author_5739
UgzEJKk9jYHyvCLuqCF4AaABAg.AX9WvUT1mFOAXB1eiCU7xj,UgzEJKk9jYHyvCLuqCF4AaABAg,I9I1XjsZoeY,True,author_5739,2026-05-24T06:29:16Z,2026-05-24T06:29:16Z,0,Stai muto coglione! A Cuba ci ha pensato la Cina che gli ha regalato le centrali solari e ora sono autosufficienti energeticamente alla faccia tua!,UgzEJKk9jYHyvCLuqCF4AaABAg,1,ilmessaggero,author_5739
UgzscO1NXyFBF7YgV8Z4AaABAg,,I9I1XjsZoeY,False,author_484,2026-05-24T06:32:23Z,2026-05-24T06:32:23Z,1,Prima l'Iran poi Cuba per poter competere col Vaticano..... 😭😭😭🌏🌍🌎,,0,ilmessaggero,author_484
UgypLUL1APHxAnfXQiR4AaABAg,,I9I1XjsZoeY,False,author_5740,2026-05-24T06:42:26Z,2026-05-24T06:42:26Z,2,"Allora tu o sei malato o sei malato?! Altra via non c'è primo Iran è un paese terrorista sponsorizza XAMAS HOUNTI HESBULA e tanti altri! Che destabilizzano il Mondo intero! Hanno attaccato Israele...! E minacciano Israele che con la prima bomba atomica che faranno lo distruggeranno in tutti i paesi del Golfo hanno detto che si Iran Fara la bomba atomica la faranno anche loro la bomba atomica, ti piace?! A Genaio il popolo Iranianobsive espresso ma e stato brutalmente represso! Fai propaganda o sei ignorante?!!!",,0,ilmessaggero,author_5740
UgzLjajh9_HTxBcHyYR4AaABAg.AX9U-FrwOSLAXB3C6nz3cG,UgzLjajh9_HTxBcHyYR4AaABAg,I9I1XjsZoeY,True,author_5740,2026-05-24T06:42:42Z,2026-05-24T06:42:42Z,2,"Allora tu o sei malato o sei malato?! Altra via non c'è primo Iran è un paese terrorista sponsorizza XAMAS HOUNTI HESBULA e tanti altri! Che destabilizzano il Mondo intero! Hanno attaccato Israele...! E minacciano Israele che con la prima bomba atomica che faranno lo distruggeranno in tutti i paesi del Golfo hanno detto che si Iran Fara la bomba atomica la faranno anche loro la bomba atomica, ti piace?! A Genaio il popolo Iranianobsive espresso ma e stato brutalmente represso! Fai propaganda o sei ignorante?!!!",UgzLjajh9_HTxBcHyYR4AaABAg,1,ilmessaggero,author_5740
UgwpvQCCHzjBKKkRCqV4AaABAg,,I9I1XjsZoeY,False,author_5741,2026-05-24T07:16:18Z,2026-05-24T07:16:18Z,1,Tradotto vuol dire che sono pronti ad un'altro attacco criminale.......coi sionisti l'unica certezza e' la menzogna.,,0,ilmessaggero,author_5741
UgzLjajh9_HTxBcHyYR4AaABAg.AX9U-FrwOSLAXB7PbmRtnx,UgzLjajh9_HTxBcHyYR4AaABAg.AX9U-FrwOSLAXB3C6nz3cG,I9I1XjsZoeY,True,author_5741,2026-05-24T07:19:30Z,2026-05-24T07:19:30Z,2,"@author_5740 amico stai messo male non sai di cosa parli, vatti a studiare la storia degli ultimi CENTO ANNI della PALESTINA poi potrai dare giudizi.............",UgzLjajh9_HTxBcHyYR4AaABAg.AX9U-FrwOSLAXB3C6nz3cG,2,ilmessaggero,author_5741
Ugy9fjSbgbXVofrHrX94AaABAg,,I9I1XjsZoeY,False,author_2752,2026-05-24T09:05:45Z,2026-05-24T09:05:45Z,1,"L'Iran da questa situazione ci ha molto guadagnato,l'America non ci ha perso nulla perché è chiaro che non voleva fare guerre.Quelli che ci hanno perso sono le vittime civili in generale, quindi anche chi si deve svenare per fare un pieno di benzina.",,0,ilmessaggero,author_2752
Ugwseh19cCaREUcnHgx4AaABAg,,I9I1XjsZoeY,False,author_5742,2026-05-24T09:41:46Z,2026-05-24T09:41:46Z,0,Sono mesi che siete al tra poco e presto... Non avrei mai pensato che il popolo USA cadesse tanto in basso con un soggetto da teatrino dei burattini...,,0,ilmessaggero,author_5742
UgzGd9pCLZqGXDueu1F4AaABAg,,I9I1XjsZoeY,False,author_5743,2026-05-24T10:54:52Z,2026-05-24T10:54:52Z,0,"Bugiardi come il loro capobranco,",,0,ilmessaggero,author_5743
Ugxlk14Sf7dP5v1fYkF4AaABAg,,I9I1XjsZoeY,False,author_5744,2026-05-24T11:20:09Z,2026-05-24T11:20:09Z,2,"sisi, come no...""vicini a dasse nuove mazzate peggio di prima""; ma tacete una volta tanto, l'OPINIONE(perchè ""informazione"" significa altro) dei servi di usraele non interessa al popolo italiano",,0,ilmessaggero,author_5744
UgypLUL1APHxAnfXQiR4AaABAg.AXB3ACQBG3_AXB_kh8xgJt,UgypLUL1APHxAnfXQiR4AaABAg,I9I1XjsZoeY,True,author_544,2026-05-24T11:35:55Z,2026-05-24T11:35:55Z,0,Stai zitto stupido ignorante,UgypLUL1APHxAnfXQiR4AaABAg,1,ilmessaggero,author_544
Ugy9fjSbgbXVofrHrX94AaABAg.AXBJZnCc5xPAXBa5YGwD6D,Ugy9fjSbgbXVofrHrX94AaABAg,I9I1XjsZoeY,True,author_544,2026-05-24T11:38:54Z,2026-05-24T11:38:54Z,0,Quelli che ci hanno perso sono gli europei e altro mezzo mondo. l'America ha perso soldi e anche credibilità e rispetto. Centinaia e centinaia di miliardi sono andati persi per la crisi che ha portato questa guerra,Ugy9fjSbgbXVofrHrX94AaABAg,1,ilmessaggero,author_544
UgxDwa5N_057ONlx0wZ4AaABAg,,I9I1XjsZoeY,False,author_5745,2026-05-24T12:21:14Z,2026-05-24T12:21:14Z,0,Abugiardiiiiiiiiiiiiii😂😊😅😂😅😊,,0,ilmessaggero,author_5745
Ugy9fjSbgbXVofrHrX94AaABAg.AXBJZnCc5xPAXC3MI1E3H1,Ugy9fjSbgbXVofrHrX94AaABAg.AXBJZnCc5xPAXBa5YGwD6D,I9I1XjsZoeY,True,author_2752,2026-05-24T16:03:20Z,2026-05-25T07:31:42Z,0,@user me non risulta che gli americani fossero rispettati.Si tratta di invasori professionisti nati da una invasione territoriale.Ora mi puoi dire che ti sono simpatici ma che li rispettassi mi sembra un pò ingenuo.L'Italia sicuramente ha imparato molto dall'America ma non perché essa ci abbia rispettato.,Ugy9fjSbgbXVofrHrX94AaABAg.AXBJZnCc5xPAXBa5YGwD6D,2,ilmessaggero,author_2752
UgznZddbMBN7IhG7AIx4AaABAg,,I9I1XjsZoeY,False,author_3846,2026-05-24T16:07:02Z,2026-05-24T16:07:02Z,0,Sono i nuovi nazisti insieme a quelli di israele appoggiati dai nuovi fascisti che sono in europa.,,0,ilmessaggero,author_3846
UgzCr1El9icqEWDRhNJ4AaABAg,,I9I1XjsZoeY,False,author_5746,2026-05-24T18:08:35Z,2026-05-24T18:08:35Z,1,Devono far passare che l Iran si accorda sul nucleare mentre la verità è che è finito l impero americano con tutta la sua credibilità,,0,ilmessaggero,author_5746
UgwFH4sFwk3JpvMOBo14AaABAg,,I9I1XjsZoeY,False,author_5747,2026-05-25T02:03:23Z,2026-05-25T02:03:23Z,0,In mano a quello?,,0,ilmessaggero,author_5747
UgzXwyRKEoup8tl8_2d4AaABAg,,I9I1XjsZoeY,False,author_4531,2026-05-28T10:27:14Z,2026-05-28T10:32:11Z,0,Come siete idioti la volete piantare con questa guerra o no? Chi vi crede piu' spiegatemi un po? un giorno ne dite una il giorno dopo un' altra che giochino è?,,0,ilmessaggero,author_4531
