comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwZsgarcnZcCu3l_ft4AaABAg,,KCSSJyllUHE,False,author_5024,2026-05-27T11:44:52Z,2026-05-27T11:44:52Z,2,Non si sputa nel piatto in cui si mangia se ne andasse antipatica e criticona vorrei vedere lei ballare......,,0,ilmessaggero,author_5024
UgxrYldJaOZJwpqZebF4AaABAg,,KCSSJyllUHE,False,author_636,2026-05-27T11:55:57Z,2026-05-27T11:55:57Z,0,BELLISSIMA DONNA CRUDELE!!!😍😍😍,,0,ilmessaggero,author_636
UgyoIUuAMdUWSkInWvJ4AaABAg,,KCSSJyllUHE,False,author_5025,2026-05-27T11:56:47Z,2026-05-27T11:56:47Z,0,Ma chi se ne fregaaaaa antipatica non ti guadero ne alla Rai e ne Merdaset 😮,,0,ilmessaggero,author_5025
UgxQYLdysyLwTQbPz4F4AaABAg,,KCSSJyllUHE,False,author_5026,2026-05-27T11:58:54Z,2026-05-27T11:58:54Z,0,Ma la odiano tutti...come mai non e' ancora morta?😂😂😂,,0,ilmessaggero,author_5026
Ugy7pMHn0c6JlDR-EJR4AaABAg,,KCSSJyllUHE,False,author_5027,2026-05-27T12:04:02Z,2026-05-27T12:04:02Z,0,Una caciottara di meno,,0,ilmessaggero,author_5027
Ugx8JJiKL9K5DYzWrzJ4AaABAg,,KCSSJyllUHE,False,author_5028,2026-05-27T12:09:59Z,2026-05-27T12:09:59Z,0,Magari fosse vero ma sono sicura che ci sarà insieme all altro fuori di testa di Mariotto,,0,ilmessaggero,author_5028
UgyC7z70vhOzD8Ba-XJ4AaABAg,,KCSSJyllUHE,False,author_5029,2026-05-27T12:10:28Z,2026-05-27T12:10:28Z,1,Isola dei famosi. Programma giusto per lei. Mondezza,,0,ilmessaggero,author_5029
UgzCcPIxYaWvOQZursF4AaABAg,,KCSSJyllUHE,False,author_3071,2026-05-27T12:11:20Z,2026-05-27T12:11:20Z,3,"Ma con tutte quelle brave e capaci e non come lei sempre che critica,offendere,acida che abbiamo la Selvaggia per carità",,0,ilmessaggero,author_3071
UgxzFkcsH2dWL4TBw0l4AaABAg,,KCSSJyllUHE,False,author_5030,2026-05-27T12:24:28Z,2026-05-27T12:24:28Z,0,Selvaggia ti adoro,,0,ilmessaggero,author_5030
Ugx1vqNAVeUpcogHcbx4AaABAg,,KCSSJyllUHE,False,author_1593,2026-05-27T12:29:53Z,2026-05-27T12:29:53Z,0,"Credo che l'isola faccia bene alla signora, poi se devi dire. La verità sarebbe bene tagliare l'ombelico dalla Rai",,0,ilmessaggero,author_1593
UgxIzvviSQHoKGN7K0B4AaABAg,,KCSSJyllUHE,False,author_5031,2026-05-27T12:34:20Z,2026-05-27T12:34:20Z,1,Che persona malvagia,,0,ilmessaggero,author_5031
UgwgCWE7avw6UJpaAfd4AaABAg,,KCSSJyllUHE,False,author_5032,2026-05-27T12:34:52Z,2026-05-27T12:34:52Z,0,Magari,,0,ilmessaggero,author_5032
Ugy0rsY7Ie4UymYeG2Z4AaABAg,,KCSSJyllUHE,False,author_5033,2026-05-27T15:13:19Z,2026-05-27T15:13:19Z,1,E speriamo che ce rimanga sull'isola...,,0,ilmessaggero,author_5033
Ugw4npoeCD-3kqhqikt4AaABAg,,KCSSJyllUHE,False,author_199,2026-05-27T15:14:48Z,2026-05-27T15:14:48Z,1,Che tragedia mamma mia!!!!!😢,,0,ilmessaggero,author_199
UgwH-k8ov53-ivnd0RN4AaABAg,,KCSSJyllUHE,False,author_5034,2026-05-27T16:37:43Z,2026-05-27T16:37:43Z,0,Ma sti ca@user,,0,ilmessaggero,author_5034
UgzFZkjfprJlVgZ9l_R4AaABAg,,KCSSJyllUHE,False,author_5035,2026-05-27T16:50:57Z,2026-05-27T16:50:57Z,1,"Non dormiro'stanotte ,che tragedia imane 😮😮",,0,ilmessaggero,author_5035
UgzCAfDH-YQWfi4eqOd4AaABAg,,KCSSJyllUHE,False,author_5036,2026-05-27T18:44:58Z,2026-05-27T18:44:58Z,0,Dove si fa ? Isola di Sardegna 😊,,0,ilmessaggero,author_5036
UgxUymhK08H27sn4iQ94AaABAg,,KCSSJyllUHE,False,author_4520,2026-05-27T19:38:43Z,2026-05-27T19:38:43Z,1,Il vile denaro vince sempre 😂😂😂😂😂😂😂,,0,ilmessaggero,author_4520
Ugw0JlGO1ONLqEOIPWZ4AaABAg,,KCSSJyllUHE,False,author_5037,2026-05-27T21:32:12Z,2026-05-27T21:32:12Z,0,E chi se frega. Tanto andrà a fare la cretina al grande fratello,,0,ilmessaggero,author_5037
UgwzDu25OikflKwyuQR4AaABAg,,KCSSJyllUHE,False,author_5038,2026-05-27T21:56:41Z,2026-05-27T21:56:41Z,0,Evviva 🎉🎉🎉brava Selvaggia sei bravissima ❤❤❤❤❤,,0,ilmessaggero,author_5038
Ugx7HjBbj2oYK_Qe8k94AaABAg,,KCSSJyllUHE,False,author_5039,2026-05-27T22:45:48Z,2026-05-27T22:45:48Z,0,Che voltafaccia!!!!!!!!,,0,ilmessaggero,author_5039
UgxUPG71XzmpUBNO0V54AaABAg,,KCSSJyllUHE,False,author_5040,2026-05-28T01:59:31Z,2026-05-28T01:59:31Z,1,La lucarelli è una grandissima 💩 Non dimentico....,,0,ilmessaggero,author_5040
Ugxz3bgeV1w9wrsBj8J4AaABAg,,KCSSJyllUHE,False,author_5041,2026-05-28T08:14:38Z,2026-05-28T08:14:38Z,1,"Ma che pena...che ne trovassero..una più capace..lei stava lì..solo a denigrare ,sminuire e offendere..i partecipanti!!!ahahahah",,0,ilmessaggero,author_5041
UgwL4E2S7kIr9p-07054AaABAg,,KCSSJyllUHE,False,author_5005,2026-05-28T08:37:05Z,2026-05-28T08:37:05Z,0,Così finito sull'isola magari le danno la pensione e si toglie dai coglioni una volta per tutte.,,0,ilmessaggero,author_5005
Ugwph__EzLnfkToWuw14AaABAg,,KCSSJyllUHE,False,author_5005,2026-05-28T08:38:04Z,2026-05-28T08:38:04Z,0,L'isola di quelli che pensano di essere famosi ma che non si incula nessuno......,,0,ilmessaggero,author_5005
UgzDtLlUJAkakuwUpVB4AaABAg,,KCSSJyllUHE,False,author_4068,2026-05-28T08:56:15Z,2026-05-28T08:56:15Z,0,Che pace ☮️,,0,ilmessaggero,author_4068
UgzymCVBl9yT7_JCaHl4AaABAg,,KCSSJyllUHE,False,author_5042,2026-05-28T10:38:38Z,2026-05-28T10:38:38Z,0,"Peccato che non si porti dietro quel pagliaccio di mariotto, perennemente in acidosi e classista",,0,ilmessaggero,author_5042
