comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxdIA9z4sY85g-V9MN4AaABAg,,N_XHotYlw8s,False,author_3420,2026-05-21T09:24:43Z,2026-05-21T09:24:43Z,2,E chi se ne frega...,,0,ilmessaggero,author_3420
Ugzmo2w2DJFuWPcRLuN4AaABAg,,N_XHotYlw8s,False,author_6331,2026-05-21T09:47:43Z,2026-05-21T09:47:43Z,22,Se fosse stata rubata un cittadino normale e non a una persona famosa come la signora Rita si sarebbero spesi i soldi per fare il DNA. Mi chiedo ?!,,0,ilmessaggero,author_6331
Ugw9hcD-9UNmSfwBsch4AaABAg,,N_XHotYlw8s,False,author_5924,2026-05-21T11:11:50Z,2026-05-21T11:11:50Z,2,Ma il padre si sta ancora rivoltando nella tomba....,,0,ilmessaggero,author_5924
UgwsAM3BHWcAq3m2ag94AaABAg,,N_XHotYlw8s,False,author_6564,2026-05-21T11:56:40Z,2026-05-21T11:56:40Z,0,Perché io sono io... E voi non siete un Ca**o!,,0,ilmessaggero,author_6564
Ugzmo2w2DJFuWPcRLuN4AaABAg.AX3ez_zC5VKAX3uuc4X48d,Ugzmo2w2DJFuWPcRLuN4AaABAg,N_XHotYlw8s,True,author_5198,2026-05-21T12:06:51Z,2026-05-21T12:06:51Z,0,"Bravo ,hai già capito! Con i soldi si compra tutto, ma proprio tutto. Vergognosi",Ugzmo2w2DJFuWPcRLuN4AaABAg,1,ilmessaggero,author_5198
Ugzmo2w2DJFuWPcRLuN4AaABAg.AX3ez_zC5VKAX3y0oJytpv,Ugzmo2w2DJFuWPcRLuN4AaABAg,N_XHotYlw8s,True,author_4270,2026-05-21T12:34:03Z,2026-05-21T12:34:03Z,1,È previsto dalla legge e per i costi i profili genetici e le analisi forensi partono generalmente da circa 100€ e possono superare i 250-700€ per test legali o completi.,Ugzmo2w2DJFuWPcRLuN4AaABAg,1,ilmessaggero,author_4270
Ugzmo2w2DJFuWPcRLuN4AaABAg.AX3ez_zC5VKAX3ztU0jwTg,Ugzmo2w2DJFuWPcRLuN4AaABAg.AX3ez_zC5VKAX3y0oJytpv,N_XHotYlw8s,True,author_6331,2026-05-21T12:50:23Z,2026-05-21T12:50:23Z,0,@user i costi sono a carico della pubblica amministrazione oppure della persona a cui è stata rubata la macchina? Visto che lei ne sa..,Ugzmo2w2DJFuWPcRLuN4AaABAg.AX3ez_zC5VKAX3y0oJytpv,2,ilmessaggero,author_6331
Ugzmo2w2DJFuWPcRLuN4AaABAg.AX3ez_zC5VKAX40eNdV_xf,Ugzmo2w2DJFuWPcRLuN4AaABAg.AX3ez_zC5VKAX3ztU0jwTg,N_XHotYlw8s,True,author_4270,2026-05-21T13:05:48Z,2026-05-21T13:05:48Z,0,"@author_6331 A carico dello Stato, totalmente a carico dello Stato.",Ugzmo2w2DJFuWPcRLuN4AaABAg.AX3ez_zC5VKAX3ztU0jwTg,3,ilmessaggero,author_4270
UgyIwLHJORf1xL4Yt4p4AaABAg,,N_XHotYlw8s,False,author_6565,2026-05-21T13:19:00Z,2026-05-21T13:19:00Z,3,Ma solo a me hanno rubato la macchina lo scooter e non è stato mai ritrovato,,0,ilmessaggero,author_6565
UgzTw3SD6wk_dl2ZGYR4AaABAg,,N_XHotYlw8s,False,author_6566,2026-05-21T13:30:05Z,2026-05-21T13:30:05Z,0,Filippini ne fanno di danni povera italia,,0,ilmessaggero,author_6566
UgxIJWVdE3aIO0GoKtZ4AaABAg,,N_XHotYlw8s,False,author_6567,2026-05-21T13:32:14Z,2026-05-21T13:32:14Z,1,Secondo me anche questa è stata sulla luna,,0,ilmessaggero,author_6567
UgzPFvDUdZ81tSjFIKx4AaABAg,,N_XHotYlw8s,False,author_843,2026-05-21T13:34:31Z,2026-05-21T13:34:31Z,8,Addirittura hanno prelevato il DNA 😂😂😂 no non ci credo...,,0,ilmessaggero,author_843
UgxxSb9JBZ24NpyAHxJ4AaABAg,,N_XHotYlw8s,False,author_6568,2026-05-21T15:05:58Z,2026-05-21T15:05:58Z,1,Come trovano subito i colpevoli in questi casi che robba,,0,ilmessaggero,author_6568
UgzoJP71j4gxURUIIip4AaABAg,,N_XHotYlw8s,False,author_6569,2026-05-21T15:23:20Z,2026-05-21T15:23:20Z,4,Se vai a fare una denuncia in caserma dai carabinieri se non sei nessuno la risposta è sempre la stessa torni domani mattina a quest'ora non c'è nessuno😮,,0,ilmessaggero,author_6569
UgyGfWknXaOKNEA1Hx14AaABAg,,N_XHotYlw8s,False,author_4340,2026-05-21T16:42:17Z,2026-05-21T16:42:17Z,0,Addirittura in galera ? Per omicidio stradale sono ai domiciliari,,0,ilmessaggero,author_4340
