comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgyLiPioPVNtfMapFdN4AaABAg,,P13g8os-7JM,False,author_4967,2026-05-27T13:06:39Z,2026-05-27T13:06:39Z,0,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,,0,ilmessaggero,author_4967
UgyT9qjWVAZ4JY2p5St4AaABAg,,P13g8os-7JM,False,author_116,2026-05-27T13:07:30Z,2026-05-27T13:07:30Z,0,E l'occasione fa l'uomo ladro ! 😂😂😂😂😂😂😂😂😂😂😂 Diciamo che almeno loro si sono ripresi una minuscola frazione di decenni di ruberie nei loro confronti. 😂😂😂😂😂😂😂😂😂,,0,ilmessaggero,author_116
Ugz5TG02-GwsDW9GRw14AaABAg,,P13g8os-7JM,False,author_92,2026-05-27T13:34:25Z,2026-05-27T13:34:25Z,0,Ma va tutto bene 😊😊😊😊😊😊😊😊😊😊😊😊,,0,ilmessaggero,author_92
UgxcjwtxZHAXEsAhbKl4AaABAg,,P13g8os-7JM,False,author_5002,2026-05-27T15:00:32Z,2026-05-27T15:00:32Z,1,Tanto non ci hanno rimesso,,0,ilmessaggero,author_5002
UgxcjwtxZHAXEsAhbKl4AaABAg.AXJfYyf-JltAXJj2aySCz6,UgxcjwtxZHAXEsAhbKl4AaABAg,P13g8os-7JM,True,author_1318,2026-05-27T15:31:04Z,2026-05-27T15:31:04Z,1,"Si certo, come no! Allora paga tu quello che ha perso il gestore!",UgxcjwtxZHAXEsAhbKl4AaABAg,1,ilmessaggero,author_1318
UgyT9qjWVAZ4JY2p5St4AaABAg.AXJTc2EeBMjAXJj7Xk4-wd,UgyT9qjWVAZ4JY2p5St4AaABAg,P13g8os-7JM,True,author_1318,2026-05-27T15:31:44Z,2026-05-27T15:31:44Z,0,Ai danni di un qualsiasi gestore? Che non c entra nulla con il prezzi?,UgyT9qjWVAZ4JY2p5St4AaABAg,1,ilmessaggero,author_1318
UgwS6OV5goweA3VkDml4AaABAg,,P13g8os-7JM,False,author_5003,2026-05-27T15:50:52Z,2026-05-27T15:50:52Z,3,"Tranne avvisare le forze dell'ordine pubblico per porre fine al perpretamento di un danneggiamento di un pubblico esercizio commerciale lecito,i cui titolari pagano le tasse ed avrebbero il diritto alla legalita nel senso piu stretto: ovvero, come in questo caso che dei cittadini impediscano ad altri cittadini di provocare un danno economico anche se indiretto ad un proprio simile umano lavoratore!",,0,ilmessaggero,author_5003
Ugx3m_x_japrVVvQYNd4AaABAg,,P13g8os-7JM,False,author_5004,2026-05-27T16:22:06Z,2026-05-27T16:22:23Z,0,Che Strano Guasto.. 🤔,,0,ilmessaggero,author_5004
Ugw-WSADrgOoUJ6aZ4J4AaABAg,,P13g8os-7JM,False,author_5005,2026-05-27T17:03:46Z,2026-05-27T17:03:46Z,7,"Che morti di fame......a me fanno ridere soprattutto quelli con il suvvone da 50 mila euro a rate che fanno le code al Conad per risparmiare 3 euro al pieno, che coglioni, il vero signore fa il pieno al servito e lascia ancora la mancia al ragazzo. Siete dei pezzenti",,0,ilmessaggero,author_5005
UgyvX6WtfbRkUkBXaSZ4AaABAg,,P13g8os-7JM,False,author_5004,2026-05-27T19:36:39Z,2026-05-27T19:36:39Z,0,"""File chilometriche"".. 😅",,0,ilmessaggero,author_5004
UgyYbkCvZp6rheM8LyN4AaABAg,,P13g8os-7JM,False,author_5005,2026-05-27T19:40:24Z,2026-05-27T19:40:24Z,1,"Basta rubarlo ai mezzi di cantiere il gasolio, costa ancora di meno.",,0,ilmessaggero,author_5005
Ugzp27XogjdryxPmHvh4AaABAg,,P13g8os-7JM,False,author_5006,2026-05-28T05:03:45Z,2026-05-28T05:03:45Z,1,"Bravi con la bocca, ignoranti col il cervello,come sempre complimenti",,0,ilmessaggero,author_5006
UgwFSJh0mEtYg6tsi8J4AaABAg,,P13g8os-7JM,False,author_5007,2026-05-28T06:02:07Z,2026-05-28T06:02:07Z,2,Hanno tolto le accise per un attimo,,0,ilmessaggero,author_5007
UgwS6OV5goweA3VkDml4AaABAg.AXJlJZIyTEfAXLcCgwrydG,UgwS6OV5goweA3VkDml4AaABAg,P13g8os-7JM,True,author_5008,2026-05-28T09:09:45Z,2026-05-28T09:09:45Z,0,Ce' assicurazione ... la legge nom ammette ignoranza 😂😂😂😂🎉🎉🎉🎉🎉,UgwS6OV5goweA3VkDml4AaABAg,1,ilmessaggero,author_5008
Ugw-WSADrgOoUJ6aZ4J4AaABAg.AXJteVPLLJcAXLdAJPpEGA,Ugw-WSADrgOoUJ6aZ4J4AaABAg,P13g8os-7JM,True,author_3098,2026-05-28T09:18:10Z,2026-05-28T09:18:10Z,1,Ci sono più Signori con la panda che col Porsche..,Ugw-WSADrgOoUJ6aZ4J4AaABAg,1,ilmessaggero,author_3098
Ugw-WSADrgOoUJ6aZ4J4AaABAg.AXJteVPLLJcAXLetOYA7hM,Ugw-WSADrgOoUJ6aZ4J4AaABAg,P13g8os-7JM,True,author_5005,2026-05-28T09:33:13Z,2026-05-28T09:33:13Z,0,"@author_3098 Certo chi ha i soldi ha anche cervello e sa che i soldi spesi in auto sono soldi buttati. Solo gli albanesi credono che ieri essere un vero uomo devi avere l'Audi o la Mercedes, poi se non paghi le rate del condominio fa lo stesso.",Ugw-WSADrgOoUJ6aZ4J4AaABAg.AXJteVPLLJcAXLdAJPpEGA,2,ilmessaggero,author_5005
UgypNlU5NDYuRnzOz_d4AaABAg,,P13g8os-7JM,False,author_5009,2026-05-28T09:46:15Z,2026-05-28T09:46:15Z,0,Ma la gente lo sa che poi pagherà la differenza che gli arriva a casa? 😂😂,,0,ilmessaggero,author_5009
UgyWCKIOLXVPLqbVcU14AaABAg,,P13g8os-7JM,False,author_1999,2026-05-28T10:29:43Z,2026-05-28T10:29:43Z,0,"Figurati questi nordisti,c'era anche Fontana e Sala non dico sciocchezze sono stati riconosciuti dai tanti anzi tantissimi automobilisti perché al Nord funziona così.",,0,ilmessaggero,author_1999
