comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugw5h6gYP5xrBY4PHW54AaABAg,,P_vphIRGy3c,False,author_6131,2026-05-22T09:31:37Z,2026-05-22T09:31:37Z,4,Grazie ❤,,0,ilmessaggero,author_6131
UgxIqaTgtTxonW_6CSd4AaABAg,,P_vphIRGy3c,False,author_253,2026-05-22T10:07:28Z,2026-05-22T10:07:28Z,0,❤❤❤❤👏👏❤️❤️❤️,,0,ilmessaggero,author_253
UgyEtGfC12i0Au2cjed4AaABAg,,P_vphIRGy3c,False,author_1752,2026-05-22T10:32:23Z,2026-05-22T10:32:23Z,1,Anche Guido si salvato grazie al vibratore 😂,,0,ilmessaggero,author_1752
Ugzr8_9OlAe2MJA9J694AaABAg,,P_vphIRGy3c,False,author_6,2026-05-22T10:52:08Z,2026-05-22T10:52:08Z,0,❤❤❤❤❤❤❤❤❤,,0,ilmessaggero,author_6
UgxVtOg4wm6Jzln9ZvR4AaABAg,,P_vphIRGy3c,False,author_5551,2026-05-22T11:05:10Z,2026-05-22T11:05:10Z,1,Angeli ❤❤❤❤❤❤❤,,0,ilmessaggero,author_5551
Ugzosk0cDLjvUAtSMFh4AaABAg,,P_vphIRGy3c,False,author_5205,2026-05-22T15:09:53Z,2026-05-22T15:09:53Z,1,Grazie aiutiamo due medici,,0,ilmessaggero,author_5205
UgxWK3bcS16lrrG72bN4AaABAg,,P_vphIRGy3c,False,author_636,2026-05-22T16:36:31Z,2026-05-22T16:36:31Z,0,Grazie ❤,,0,ilmessaggero,author_636
UgycSOibZvOa1bi6vut4AaABAg,,P_vphIRGy3c,False,author_5082,2026-05-22T18:00:23Z,2026-05-22T18:00:23Z,1,Grazie siete stati superlativi.❤❤❤❤,,0,ilmessaggero,author_5082
Ugzbw0PnniGdsXacsg54AaABAg,,P_vphIRGy3c,False,author_5082,2026-05-22T18:01:56Z,2026-05-22T18:01:56Z,0,"Quanto costa un defibrillatore? Bisognerebbe riempire ogni ogni città e paesi. Secondo il numero di abitanti in ogni zona. Come una volta le cabine telefoniche. Oggi, dopo i vaccini ci sono molti casi.",,0,ilmessaggero,author_5082
Ugzbw0PnniGdsXacsg54AaABAg.AX77LAJyLJ9AX8N3qhH1_6,Ugzbw0PnniGdsXacsg54AaABAg,P_vphIRGy3c,True,author_6132,2026-05-23T05:38:37Z,2026-05-23T05:38:57Z,0,"dopo i vaccini ci sono i dementi come te,spiace non poter fa nulla.",Ugzbw0PnniGdsXacsg54AaABAg,1,ilmessaggero,author_6132
UgxoKiLrGIEd_4QVHvZ4AaABAg,,P_vphIRGy3c,False,author_6133,2026-05-23T12:02:56Z,2026-05-23T12:02:56Z,2,Grazieee di esistere❤❤❤❤,,0,ilmessaggero,author_6133
UgwnTCXHf3_VGrSqc-B4AaABAg,,P_vphIRGy3c,False,author_653,2026-05-24T13:01:35Z,2026-05-24T13:01:35Z,2,Complimenti ai medici per il tempestivo intervento effettuato hanno salvato una vita un abbraccio grandissimo grazie a tutti voi sempre ❤❤❤❤❤❤❤❤❤❤,,0,ilmessaggero,author_653
Ugw16dCRacG_SKLl8Kt4AaABAg,,P_vphIRGy3c,False,author_6134,2026-05-28T12:52:35Z,2026-05-28T12:52:35Z,0,"I defibrillatori dovrebbero essere ovunque, almeno nei posti più frequentati, scuole, palestre, campi di pallone",,0,ilmessaggero,author_6134
