comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugw_ufD5-NtS5AR8iOp4AaABAg,,TVXaBVk9zCM,False,author_5687,2026-05-24T08:44:10Z,2026-05-24T08:44:10Z,1,"Se non sono supercazzole, vediamo😅",,0,ilmessaggero,author_5687
Ugw_ufD5-NtS5AR8iOp4AaABAg.AXBH5h4ycTyAXBIAsAnF9d,Ugw_ufD5-NtS5AR8iOp4AaABAg,TVXaBVk9zCM,True,author_5688,2026-05-24T08:53:36Z,2026-05-24T08:53:36Z,1,domani appena aprono le banche tutti a investire in borsa poi mi raccomando nel giro di due tre ore rivendere tutto perché cambierà idea 😂😂😂,Ugw_ufD5-NtS5AR8iOp4AaABAg,1,ilmessaggero,author_5688
Ugyb32l2YVupG2Fb6Bt4AaABAg,,TVXaBVk9zCM,False,author_5399,2026-05-24T09:03:15Z,2026-05-24T09:03:15Z,0,Ci siamo?,,0,ilmessaggero,author_5399
Ugz5xi_X2AWydS28wel4AaABAg,,TVXaBVk9zCM,False,author_5335,2026-05-24T09:45:51Z,2026-05-24T09:45:51Z,0,Tanto rumore per nulla Tramp grande coglione 😂😂😂😂,,0,ilmessaggero,author_5335
UgyEQ0MO3HdU9dhJM3t4AaABAg,,TVXaBVk9zCM,False,author_5689,2026-05-24T09:59:17Z,2026-05-24T09:59:17Z,2,E loro lo sanno !,,0,ilmessaggero,author_5689
Ugx3COHMZ4U7OJhcRQx4AaABAg,,TVXaBVk9zCM,False,author_1718,2026-05-24T10:05:35Z,2026-05-24T10:05:35Z,3,Staremo a vedere.🤞 Viva la pace.❤,,0,ilmessaggero,author_1718
UgzmpA9RkElM7_CBVV14AaABAg,,TVXaBVk9zCM,False,author_5690,2026-05-24T10:45:13Z,2026-05-24T10:45:13Z,0,Ormai a perso ogni credibilità.,,0,ilmessaggero,author_5690
UgzTAJGa7GWfuPrHtdV4AaABAg,,TVXaBVk9zCM,False,author_5691,2026-05-24T11:25:57Z,2026-05-24T11:25:57Z,1,Trump si e' calato le braghe 😂😂😂😂😂😂😂😂😂😂,,0,ilmessaggero,author_5691
UgzsVRAAdOTfn9ci1fF4AaABAg,,TVXaBVk9zCM,False,author_4045,2026-05-24T11:43:57Z,2026-05-24T11:43:57Z,0,Ma chi sto fedovilo,,0,ilmessaggero,author_4045
UgxOlb6lPPF2vdVsSRB4AaABAg,,TVXaBVk9zCM,False,author_5692,2026-05-24T12:22:48Z,2026-05-24T12:22:48Z,2,Ma come si fa solo a pensare di trattare coi porci a stelle e strisce?,,0,ilmessaggero,author_5692
Ugw_ufD5-NtS5AR8iOp4AaABAg.AXBH5h4ycTyAXBfpDUEH_g,Ugw_ufD5-NtS5AR8iOp4AaABAg.AXBH5h4ycTyAXBIAsAnF9d,TVXaBVk9zCM,True,author_4964,2026-05-24T12:28:58Z,2026-05-24T12:28:58Z,1,@author_5688 😂😂😂già fatto😂😂😂.,Ugw_ufD5-NtS5AR8iOp4AaABAg.AXBH5h4ycTyAXBIAsAnF9d,2,ilmessaggero,author_4964
UgzsVRAAdOTfn9ci1fF4AaABAg.AXBafZcN025AXBfysfiVee,UgzsVRAAdOTfn9ci1fF4AaABAg,TVXaBVk9zCM,True,author_4964,2026-05-24T12:30:17Z,2026-05-24T12:30:17Z,0,Tu scrive lingua 😝 io non capito 😢.,UgzsVRAAdOTfn9ci1fF4AaABAg,1,ilmessaggero,author_4964
Ugw0EEJbyfO9cYDK1Nl4AaABAg,,TVXaBVk9zCM,False,author_4964,2026-05-24T12:30:57Z,2026-05-24T12:30:57Z,0,I❤ Melania 😂😂😂,,0,ilmessaggero,author_4964
UgxizdJ61-42iVMKva14AaABAg,,TVXaBVk9zCM,False,author_5693,2026-05-24T13:22:18Z,2026-05-24T13:22:18Z,1,Super Trump Lui lo sa ❤,,0,ilmessaggero,author_5693
Ugzou9v98Jbopv7Mx5Z4AaABAg,,TVXaBVk9zCM,False,author_5694,2026-05-24T13:41:58Z,2026-05-24T13:41:58Z,2,Un grande accordo 😂 poi dopo 60 giorni bombe atomiche?😂,,0,ilmessaggero,author_5694
UgyD0UmTW6kftGcLygp4AaABAg,,TVXaBVk9zCM,False,author_5695,2026-05-24T13:51:13Z,2026-05-24T13:51:13Z,1,"Niente Uranio, caro Donny.. 😅",,0,ilmessaggero,author_5695
Ugw0OPWA8eV4a_mFbPt4AaABAg,,TVXaBVk9zCM,False,author_5696,2026-05-24T14:00:43Z,2026-05-24T14:00:43Z,1,Alla faccia della six e dei propal.,,0,ilmessaggero,author_5696
Ugy17j4zABt7smnttyx4AaABAg,,TVXaBVk9zCM,False,author_5697,2026-05-24T14:15:01Z,2026-05-24T14:15:01Z,2,"Sta cosa inutile fa gli accordi con se stesso. Ditegli che gli accordi li deve fare con gli iraniani, di cui non frega una mazza di Trump .",,0,ilmessaggero,author_5697
UgzGWQHRiCmbJlp4IIV4AaABAg,,TVXaBVk9zCM,False,author_5698,2026-05-24T14:28:42Z,2026-05-24T14:28:42Z,0,"Non credo proprio, Iran chiede tutt'altro....meno balle propagandisti di stoca",,0,ilmessaggero,author_5698
UgzmHrTM38z-JynsM7B4AaABAg,,TVXaBVk9zCM,False,author_3632,2026-05-24T14:37:46Z,2026-05-24T14:37:46Z,1,Grande Tramp 🎉,,0,ilmessaggero,author_3632
