comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugy-_5z2dASzjHbo-Ht4AaABAg,,U-mtkfBYfZQ,False,author_4715,2026-05-27T10:13:36Z,2026-05-27T10:13:36Z,1,😮😮😮,,0,ilmessaggero,author_4715
UgzgU-oWV_Hnp1n6c-F4AaABAg,,U-mtkfBYfZQ,False,author_5099,2026-05-27T10:18:31Z,2026-05-27T10:18:31Z,13,Non denunci allora arrangiati cosi vengono ancora😂😂😂😂,,0,ilmessaggero,author_5099
UgyMzUUt-V8_uizBNtp4AaABAg,,U-mtkfBYfZQ,False,author_5100,2026-05-27T10:28:24Z,2026-05-27T10:28:24Z,19,Se rubano la biancheria stesa...siamo messi proprio male...povera Italia...😮😮😢😢,,0,ilmessaggero,author_5100
UgwdVLJ-C7e3cT2NBd54AaABAg,,U-mtkfBYfZQ,False,author_233,2026-05-27T10:33:09Z,2026-05-27T10:33:09Z,4,UN LAUREATO,,0,ilmessaggero,author_233
UgzgU-oWV_Hnp1n6c-F4AaABAg.AXJAHQn1npYAXJDnniWfP8,UgzgU-oWV_Hnp1n6c-F4AaABAg,U-mtkfBYfZQ,True,author_1342,2026-05-27T10:49:17Z,2026-05-27T10:49:17Z,4,"Tanto, anche se lo denunci non gli fanno nulla per quel tipo di ""furto"".",UgzgU-oWV_Hnp1n6c-F4AaABAg,1,ilmessaggero,author_1342
UgzgU-oWV_Hnp1n6c-F4AaABAg.AXJAHQn1npYAXJEcN8ENrS,UgzgU-oWV_Hnp1n6c-F4AaABAg.AXJAHQn1npYAXJDnniWfP8,U-mtkfBYfZQ,True,author_5099,2026-05-27T10:56:28Z,2026-05-27T10:56:28Z,5,@author_1342 ma chi se ne frega ma intanto lo faccio,UgzgU-oWV_Hnp1n6c-F4AaABAg.AXJAHQn1npYAXJDnniWfP8,2,ilmessaggero,author_5099
Ugzy1HhzdkDRZqmbscZ4AaABAg,,U-mtkfBYfZQ,False,author_5101,2026-05-27T11:04:07Z,2026-05-27T11:04:07Z,6,W le risorse😂😂😂,,0,ilmessaggero,author_5101
Ugy7nBJ1AaucfW2jtrR4AaABAg,,U-mtkfBYfZQ,False,author_4967,2026-05-27T11:11:53Z,2026-05-27T11:11:53Z,20,manch'io lo denuncerei. non perché il ladro ha fatto bene ma perché tanto non ne vale la pena per due magliette e un paio di calzini. 😂 Piuttosto denuncerei i maiali del pd che li fanno arrivare in massa,,0,ilmessaggero,author_4967
UgwdVLJ-C7e3cT2NBd54AaABAg.AXJBxaF98PtAXJGUNgJNJQ,UgwdVLJ-C7e3cT2NBd54AaABAg,U-mtkfBYfZQ,True,author_4967,2026-05-27T11:12:43Z,2026-05-27T11:12:43Z,0,sarà Dustin Hoffman 😂😂😂,UgwdVLJ-C7e3cT2NBd54AaABAg,1,ilmessaggero,author_4967
Ugw4q6RSQIZMYr_ZkdB4AaABAg,,U-mtkfBYfZQ,False,author_4470,2026-05-27T13:00:40Z,2026-05-27T13:00:40Z,9,"Carità cristiana , buonismo , cattocomunisti ... e andiamo sempre peggio.",,0,ilmessaggero,author_4470
UgwdVLJ-C7e3cT2NBd54AaABAg.AXJBxaF98PtAXJXfSw9v1p,UgwdVLJ-C7e3cT2NBd54AaABAg,U-mtkfBYfZQ,True,author_4081,2026-05-27T13:42:55Z,2026-05-27T13:42:55Z,0,Laureato in furti ?,UgwdVLJ-C7e3cT2NBd54AaABAg,1,ilmessaggero,author_4081
