comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxaeYN5eWeRmqqmS554AaABAg,,ZL5nLXPwqRg,False,author_5457,2026-05-25T11:10:35Z,2026-05-25T11:10:35Z,0,Auguri,,0,ilmessaggero,author_5457
UgyCd-xKjkGD7w1oSKV4AaABAg,,ZL5nLXPwqRg,False,author_176,2026-05-25T11:56:37Z,2026-05-25T11:56:37Z,0,Serv cuncendramendo 😂😂,,0,ilmessaggero,author_176
Ugzpwfc2vtGDxt9_bRR4AaABAg,,ZL5nLXPwqRg,False,author_119,2026-05-25T12:37:58Z,2026-05-25T12:37:58Z,0,Era dove teneva i maialo setolosi? 😅😂,,0,ilmessaggero,author_119
UgwLkPaQwCbIg7bWaSt4AaABAg,,ZL5nLXPwqRg,False,author_5458,2026-05-25T13:57:56Z,2026-05-25T13:57:56Z,4,Mi mancano pochi euro e poi è mia !!!! 😂😂,,0,ilmessaggero,author_5458
UgwLkPaQwCbIg7bWaSt4AaABAg.AXEPnfwSUpvAXESoJMSkKE,UgwLkPaQwCbIg7bWaSt4AaABAg,ZL5nLXPwqRg,True,author_4294,2026-05-25T14:24:14Z,2026-05-25T14:24:14Z,1,😅😅😅😅😅😅anche a me...chi fa prima a metterli insieme ha vinto😅😅😅😅😅,UgwLkPaQwCbIg7bWaSt4AaABAg,1,ilmessaggero,author_4294
Ugywu4_F9rZzs7HVXm94AaABAg,,ZL5nLXPwqRg,False,author_5459,2026-05-25T19:07:54Z,2026-05-25T19:07:54Z,0,ecezzzziunale...,,0,ilmessaggero,author_5459
Ugxa1PnXcbmdMjgWRcJ4AaABAg,,ZL5nLXPwqRg,False,author_5460,2026-05-25T19:54:08Z,2026-05-25T19:54:08Z,0,Oppeppacco,,0,ilmessaggero,author_5460
UgwdoEut-HAggN4yFup4AaABAg,,ZL5nLXPwqRg,False,author_5461,2026-05-25T20:19:02Z,2026-05-25T20:19:02Z,0,Dalli al Milan 😂😂😂😂,,0,ilmessaggero,author_5461
UgxEJgCNE1pQe4KHAZt4AaABAg,,ZL5nLXPwqRg,False,author_5022,2026-05-26T15:46:55Z,2026-05-26T15:46:55Z,2,Finiti i soldi suppongo,,0,ilmessaggero,author_5022
UgzNO1GcA3JrZkQ44dV4AaABAg,,ZL5nLXPwqRg,False,author_5462,2026-05-26T16:45:09Z,2026-05-26T16:45:09Z,0,Questo è fulminato!!!!,,0,ilmessaggero,author_5462
UgzkR6DXGcuGMFhSBTd4AaABAg,,ZL5nLXPwqRg,False,author_5463,2026-05-27T04:37:26Z,2026-05-27T04:37:26Z,1,No no la toscana non mi piace !,,0,ilmessaggero,author_5463
UgzoyfNnJAweZENvNPF4AaABAg,,ZL5nLXPwqRg,False,author_5464,2026-05-27T21:48:59Z,2026-05-27T21:48:59Z,0,Ecceziunaleveramente,,0,ilmessaggero,author_5464
UgyhY5YybvRuDXDrKIZ4AaABAg,,ZL5nLXPwqRg,False,author_3112,2026-05-28T14:40:25Z,2026-05-28T14:40:25Z,0,Dalli ai poveri i soldi che te ne fai tanto lasci tutto qua come tutti li sopra non ti servono servono solo le buone azioni che chi ha i soldi se ne strafotte e non lo fa',,0,ilmessaggero,author_3112
