comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugxz5D07Kc-ElmKBDDt4AaABAg,,ZtNlNcWoBVE,False,author_6339,2026-05-21T13:00:48Z,2026-05-21T13:00:48Z,17,TUTTA LA FAMIGLIA SEMPI0 FA RIDERE POI LA MADRE LASCIAMO.PERDERE,,0,ilmessaggero,author_6339
Ugz84jN0MJdzuVyliuh4AaABAg,,ZtNlNcWoBVE,False,author_5115,2026-05-21T13:03:41Z,2026-05-21T13:03:41Z,5,Certo ...come no.... lo sa tutta l'Italia che non ci sta nulla di con creto ... sono accuse farlocche.,,0,ilmessaggero,author_5115
Ugy-CjUmIjwy9rXFBBx4AaABAg,,ZtNlNcWoBVE,False,author_4640,2026-05-21T13:04:04Z,2026-05-21T13:04:04Z,4,Questo lo devono decidere i giudici come per Alberto Stasi...cmq la vigliaccata vi appartiene,,0,ilmessaggero,author_4640
UgzNcqjZf7Q-9HWHzCh4AaABAg,,ZtNlNcWoBVE,False,author_5932,2026-05-21T13:06:15Z,2026-05-21T13:06:15Z,1,🤡,,0,ilmessaggero,author_5932
UgxQ0QzL-Ascy9Y5HxV4AaABAg,,ZtNlNcWoBVE,False,author_4236,2026-05-21T13:11:16Z,2026-05-21T13:11:16Z,13,Ma smettetela e dite la verità una volta per tutte,,0,ilmessaggero,author_4236
UgyHe8XOffLq0t2zYIx4AaABAg,,ZtNlNcWoBVE,False,author_5970,2026-05-21T13:12:06Z,2026-05-21T13:12:06Z,15,"Più parlate,più fate danni.",,0,ilmessaggero,author_5970
Ugxz5D07Kc-ElmKBDDt4AaABAg.AX404pbjs49AX41z4qFTTL,Ugxz5D07Kc-ElmKBDDt4AaABAg,ZtNlNcWoBVE,True,author_6340,2026-05-21T13:17:22Z,2026-05-21T13:17:22Z,1,mamma mia ma quanto sono disperati e ignoranti. se non avesse fatto nulla nn c'era motivo di dire tante bugie di esporre uno scontrino e di continuare a mentire e a nascondere i fatti. la verità prima o poi viene a galla come la 💩💩💩💩,Ugxz5D07Kc-ElmKBDDt4AaABAg,1,ilmessaggero,author_6340
Ugz2nyHul_rWOKdZvqJ4AaABAg,,ZtNlNcWoBVE,False,author_6341,2026-05-21T13:19:46Z,2026-05-21T13:19:46Z,0,Non ci credo!!!!!!!,,0,ilmessaggero,author_6341
Ugx8jzhaM5S3keHYtQt4AaABAg,,ZtNlNcWoBVE,False,author_6342,2026-05-21T13:26:03Z,2026-05-21T13:26:03Z,5,"😂😂😂😂😂😂 metti giù un'altra carta, dai...",,0,ilmessaggero,author_6342
Ugy-CjUmIjwy9rXFBBx4AaABAg.AX40SeHVgrHAX430dIyio7,Ugy-CjUmIjwy9rXFBBx4AaABAg,ZtNlNcWoBVE,True,author_6342,2026-05-21T13:26:27Z,2026-05-21T13:26:27Z,0,😂😂😂,Ugy-CjUmIjwy9rXFBBx4AaABAg,1,ilmessaggero,author_6342
Ugy-CjUmIjwy9rXFBBx4AaABAg.AX40SeHVgrHAX434NJyRnz,Ugy-CjUmIjwy9rXFBBx4AaABAg,ZtNlNcWoBVE,True,author_6342,2026-05-21T13:26:58Z,2026-05-21T13:26:58Z,0,"Avere il prosciutto sugli occhi va bene, ma così è troppo",Ugy-CjUmIjwy9rXFBBx4AaABAg,1,ilmessaggero,author_6342
UgznU0N4RtrV4v4xVIB4AaABAg,,ZtNlNcWoBVE,False,author_6343,2026-05-21T13:56:18Z,2026-05-21T13:56:18Z,0,Ficcate dentro pure il padre. Due al prezzo di uno. Faccim felici i veri colpevoli che stanno coprendo.,,0,ilmessaggero,author_6343
UgwEJZqRVPetryIReml4AaABAg,,ZtNlNcWoBVE,False,author_6344,2026-05-21T14:23:03Z,2026-05-21T14:23:03Z,12,Non vi crede piu nessuno tra voi corruttori e i pm collusi,,0,ilmessaggero,author_6344
UgwrlHiYMML3R1zolaN4AaABAg,,ZtNlNcWoBVE,False,author_6345,2026-05-21T14:29:45Z,2026-05-21T14:29:45Z,10,"Vigliaccata, chiamerei mandare lettere in carcere ad Alberto!!!per di più parlate e giudicate, che vergogna!",,0,ilmessaggero,author_6345
Ugxz5D07Kc-ElmKBDDt4AaABAg.AX404pbjs49AX4Ch6y2iLX,Ugxz5D07Kc-ElmKBDDt4AaABAg,ZtNlNcWoBVE,True,author_5481,2026-05-21T14:51:02Z,2026-05-21T14:51:02Z,1,Che famiglia allucinata.,Ugxz5D07Kc-ElmKBDDt4AaABAg,1,ilmessaggero,author_5481
UgyMbLIYgUe-vp_906B4AaABAg,,ZtNlNcWoBVE,False,author_6346,2026-05-21T15:47:54Z,2026-05-21T15:47:54Z,18,Vada a parlare in Procura anziché in televisione e dimostri ciò che dice,,0,ilmessaggero,author_6346
UgyLQHHMslb2oZd2u2R4AaABAg,,ZtNlNcWoBVE,False,author_6347,2026-05-21T15:49:27Z,2026-05-21T15:49:27Z,6,Se è sincero come la moglie!!!!!😂😂😂😂,,0,ilmessaggero,author_6347
Ugxxqc4ibQlu-CM6AcN4AaABAg,,ZtNlNcWoBVE,False,author_6348,2026-05-21T15:56:03Z,2026-05-21T15:56:03Z,0,😡😡😡😡😡🤬,,0,ilmessaggero,author_6348
UgwHvKQRLv-f7yKideZ4AaABAg,,ZtNlNcWoBVE,False,author_1622,2026-05-21T16:00:57Z,2026-05-21T16:00:57Z,7,Falsità su falsità’....vizio di famiglia Sempio !!!,,0,ilmessaggero,author_1622
