comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzrSm63KNAwYLthSvN4AaABAg,,_EBUvdGHeVU,False,author_5205,2026-05-22T09:48:40Z,2026-05-22T09:48:40Z,0,Stramaledetti giudici vorrei vedere se fosse una delle loro figlie bastardi,,0,ilmessaggero,author_5205
UgwdQD9QObTS0dTqHrV4AaABAg,,_EBUvdGHeVU,False,author_1825,2026-05-22T10:09:50Z,2026-05-22T10:09:50Z,5,Giustizia Privata...,,0,ilmessaggero,author_1825
Ugy5wMjo0rBNlhlQdDF4AaABAg,,_EBUvdGHeVU,False,author_6135,2026-05-22T10:12:20Z,2026-05-22T10:12:20Z,1,Padre io ergastolo mi sarei fatto tranquillo,,0,ilmessaggero,author_6135
Ugw9-Q1UBLgiNv8NU-94AaABAg,,_EBUvdGHeVU,False,author_6136,2026-05-22T10:13:26Z,2026-05-22T10:13:26Z,3,Non commento perché sarei pesante,,0,ilmessaggero,author_6136
UgwwfDDTJVnp_Y40dqF4AaABAg,,_EBUvdGHeVU,False,author_6137,2026-05-22T10:29:14Z,2026-05-22T10:29:14Z,2,Aspettalo,,0,ilmessaggero,author_6137
UgzrSm63KNAwYLthSvN4AaABAg.AX6EtP6pj-AAX6KGH13rml,UgzrSm63KNAwYLthSvN4AaABAg,_EBUvdGHeVU,True,author_1582,2026-05-22T10:35:37Z,2026-05-22T10:35:37Z,0,I giudici applicano le leggi non le scrivono razza di ignorante...! Prenditela con i politici incapaci che continuate a votare!,UgzrSm63KNAwYLthSvN4AaABAg,1,ilmessaggero,author_1582
Ugx1ZfL1vN0YmIBHbud4AaABAg,,_EBUvdGHeVU,False,author_6138,2026-05-22T10:52:15Z,2026-05-22T10:52:15Z,2,"Un'altra vittima innocente alla quale è stato privato il diritto alla vita...Referendum, referendum...quando è stata offerta la possibilità di ""tentare"" di cambiare le cose una parte dei nostri concittadini hanno detto no...con sentenze come queste il giudice avrebbe dovuto spiegare meglio il perché di questa sanzione leggera...",,0,ilmessaggero,author_6138
UgyxAVKodnm24CPvBBJ4AaABAg,,_EBUvdGHeVU,False,author_6,2026-05-22T10:53:22Z,2026-05-22T10:53:22Z,0,Bisogna farsi giustizia da soli oramai in Italia!!!!!,,0,ilmessaggero,author_6
Ugx8diVxtUE7tqAN8BJ4AaABAg,,_EBUvdGHeVU,False,author_6139,2026-05-22T10:55:09Z,2026-05-22T10:55:09Z,1,Fatti giustizia,,0,ilmessaggero,author_6139
UgzCi2w9eB-142-IYY14AaABAg,,_EBUvdGHeVU,False,author_5790,2026-05-22T11:17:48Z,2026-05-22T11:17:48Z,7,"Carissimo Padre , innanzi tutto condoglianze per il suo immenso dolore . Questa è la Nazione che ha di fatto abolito il concetto / valore della punizione come deterrente contro il criminale e giustizia nei confronti delle vittime . Dal ladro di polli all’assassino ( si figuri per un investitore ) si viene condannati a pene ridicole ed oltretutto mai scontate per intero all’ interno del carcere ! Siamo la patria dei delinquenti consapevoli che la faranno sempre franca anche se condannati . Tutto drammaticamente qui , purtroppo . Ci vorrebbe una rivoluzione da parte delle vittime ma purtroppo non siamo la Francia .",,0,ilmessaggero,author_5790
Ugwo1BrXM34Oe2yhUV94AaABAg,,_EBUvdGHeVU,False,author_6140,2026-05-22T11:20:46Z,2026-05-22T11:20:46Z,1,"R.I.P., angelo mio ❤",,0,ilmessaggero,author_6140
Ugwd4GR82ovxYU-8v2p4AaABAg,,_EBUvdGHeVU,False,author_6141,2026-05-22T11:29:11Z,2026-05-22T11:29:11Z,0,A Catania è successa la stessa identica cosa..........pochi mesi di carcere e poi subito fuori.....solo che ad attenderlo fuori all'uscita dal carcere c era il nonno della bambina........con una calibro 38 special......rpoblema risolto,,0,ilmessaggero,author_6141
Ugx6hu2Gm-n-se6zLyV4AaABAg,,_EBUvdGHeVU,False,author_6142,2026-05-22T11:29:27Z,2026-05-22T11:29:27Z,1,Leggi sbagliate,,0,ilmessaggero,author_6142
UgwkBqDPeY6MvGQq2eN4AaABAg,,_EBUvdGHeVU,False,author_2864,2026-05-22T11:41:47Z,2026-05-22T11:41:47Z,1,Leggi italiane....,,0,ilmessaggero,author_2864
UgzCi2w9eB-142-IYY14AaABAg.AX6P5HS7sT0AX6XVl6T2Qs,UgzCi2w9eB-142-IYY14AaABAg,_EBUvdGHeVU,True,author_871,2026-05-22T12:31:20Z,2026-05-22T12:31:20Z,0,Guarda che non ti risponde😂,UgzCi2w9eB-142-IYY14AaABAg,1,ilmessaggero,author_871
UgyHfTDx7-phYPjCdI94AaABAg,,_EBUvdGHeVU,False,author_1318,2026-05-22T12:39:32Z,2026-05-22T12:39:32Z,1,Ricordatevi che avete votato no... Ora godetevi i risultati!,,0,ilmessaggero,author_1318
UgxhurI-XR8svDSrFAR4AaABAg,,_EBUvdGHeVU,False,author_5312,2026-05-22T13:17:37Z,2026-05-22T13:17:37Z,5,Concordo al 100% con questo papà. Pena leggerissima rispetto al reato commesso. Oltretutto era importante mandare un segnale forte e chiaro riguardo il reato di omicidio stradale. Un abbraccio a questa famiglia ❤,,0,ilmessaggero,author_5312
Ugzc6jeJJrhsQ3GTJyB4AaABAg,,_EBUvdGHeVU,False,author_6143,2026-05-22T13:51:27Z,2026-05-22T13:51:27Z,0,Che schifo d'Italia 😢,,0,ilmessaggero,author_6143
UgyddqlyPk2CI_TPMaN4AaABAg,,_EBUvdGHeVU,False,author_6144,2026-05-22T14:27:08Z,2026-05-22T14:27:08Z,0,😢😢😢❤❤❤,,0,ilmessaggero,author_6144
UgyTIQuKLBAxjTjeEBR4AaABAg,,_EBUvdGHeVU,False,author_6145,2026-05-22T15:15:46Z,2026-05-22T15:15:46Z,0,avete votato no.....pigliatelo dove non batte il sole ...sono felice delle conseguenze ...subite e zitti,,0,ilmessaggero,author_6145
UgwxuVjQQUO-1onKJyF4AaABAg,,_EBUvdGHeVU,False,author_6146,2026-05-22T15:19:11Z,2026-05-22T15:19:11Z,10,Solo in italia certe schifezze...condoglianze sincere alla sua famiglia...povera creatura rip in pace..😢,,0,ilmessaggero,author_6146
UgyHfTDx7-phYPjCdI94AaABAg.AX6YRwUBQhxAX6q-Diu8mT,UgyHfTDx7-phYPjCdI94AaABAg,_EBUvdGHeVU,True,author_469,2026-05-22T15:21:39Z,2026-05-22T15:21:39Z,2,Quindi? Non sarebbe cambiato nulla eh..secondo tu non sai nemmeno per cosa si è andati a votare dato che parli del referendum in questo contesto,UgyHfTDx7-phYPjCdI94AaABAg,1,ilmessaggero,author_469
UgzzSH1E5q673jeFvZV4AaABAg,,_EBUvdGHeVU,False,author_2287,2026-05-22T15:23:50Z,2026-05-22T15:23:50Z,0,Magari era anche sulle striscie pedonali... per questo io dico che se lo Stato mi mettesse anche solo un giorno in carcere per essermi difeso da delinquenti poi quando esco gliela faccio pagare facendo dozzine di morti... anche per queste cose qui,,0,ilmessaggero,author_2287
UgxKXk5BpkIiiVBnHMd4AaABAg,,_EBUvdGHeVU,False,author_5957,2026-05-22T15:44:05Z,2026-05-22T15:44:05Z,5,Altro dolore per questo padre: e inammissibile,,0,ilmessaggero,author_5957
Ugz1HVGJB3yOlqJqkKJ4AaABAg,,_EBUvdGHeVU,False,author_5181,2026-05-22T16:00:18Z,2026-05-22T16:00:18Z,3,Povera Ragazza 😢😢😢,,0,ilmessaggero,author_5181
UgzN7kxl33v5ydR4o3p4AaABAg,,_EBUvdGHeVU,False,author_6147,2026-05-22T16:15:55Z,2026-05-22T16:15:55Z,1,DIPENDE IO LO AVREI MANDATO AL CIMITERO UNICO POSTO CHE MERITA,,0,ilmessaggero,author_6147
UgxWwAX_TBMGw6VT1gt4AaABAg,,_EBUvdGHeVU,False,author_253,2026-05-22T16:47:52Z,2026-05-22T16:47:52Z,0,😢😢😢💔🌟,,0,ilmessaggero,author_253
UgyGzxq_fKERr6ao4-t4AaABAg,,_EBUvdGHeVU,False,author_6148,2026-05-22T16:50:31Z,2026-05-22T16:50:31Z,13,Giustizia privata senza tregua,,0,ilmessaggero,author_6148
Ugx3_0VMR3c6HehedMR4AaABAg,,_EBUvdGHeVU,False,author_6149,2026-05-22T16:57:39Z,2026-05-22T16:57:39Z,0,Che schifo,,0,ilmessaggero,author_6149
Ugx9Y33IM3PIYuWcopJ4AaABAg,,_EBUvdGHeVU,False,author_1648,2026-05-22T17:10:57Z,2026-05-22T17:11:18Z,0,E ritorniamo alla riforma della Giustizia e Magistratura! Chi ha votato NO AI FACCIA UN ESAME DI COSCIENZA!! I delinquenti liberi e gli innocenti che non avranno mai giustizia 😢,,0,ilmessaggero,author_1648
UgwdQD9QObTS0dTqHrV4AaABAg.AX6HJO2lUr0AX71lFtLi2U,UgwdQD9QObTS0dTqHrV4AaABAg,_EBUvdGHeVU,True,author_1648,2026-05-22T17:13:12Z,2026-05-22T17:13:12Z,1,"Bisogna riformare la Giustizia e Magistratura almeno incominciare, perché così non si arriverà mai a nulla!",UgwdQD9QObTS0dTqHrV4AaABAg,1,ilmessaggero,author_1648
UgwwOuvFhzLOPn7Bu9Z4AaABAg,,_EBUvdGHeVU,False,author_6150,2026-05-22T17:18:25Z,2026-05-22T17:18:25Z,1,Bee dobbiamo sempre ringraziare chi a votato no..al referendum...,,0,ilmessaggero,author_6150
UgwZMAlX0bLuJP4Rywl4AaABAg,,_EBUvdGHeVU,False,author_6150,2026-05-22T17:18:47Z,2026-05-22T17:18:47Z,3,Sempre un forte abbraccio...condoglianze..,,0,ilmessaggero,author_6150
