comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugw7aImn5FJVGphp3J54AaABAg,,bB1nF9CjctA,False,author_5530,2026-05-24T15:17:47Z,2026-05-24T15:17:47Z,0,"Un giudice deve metterci la faccia.... Il fatto che ci siano ennemila persone che interpretano a prescindere x i giudici è da incapaci. Se io decido io vedo con i miei occhi, seguo con i miei occhi e decido poi con la mia testa, diversamente sono decisioni sempre sommarie e prive di responsabilità reale.",,0,ilmessaggero,author_5530
UgyVgW-VzE67jBZFaDZ4AaABAg,,bB1nF9CjctA,False,author_5531,2026-05-24T15:20:36Z,2026-05-24T15:20:36Z,2,"Andate ha lavorare, sarà meglio.i bambini devono essere educati con essempio dei genitori che il pane che mangiano non è dal sussidio statale,il pane si guadagna con lavoro.L'Italia non ha bisogno di un' altra Vana Marchi.Parasitismul non è un essempio.Magari Assistenti hanno ragione.Cercate di intrare in profondità in questa causa, Qualcosa non va in questi 2 genitori.",,0,ilmessaggero,author_5531
UgyVgW-VzE67jBZFaDZ4AaABAg.AXBzTLdcDi8AXC-MsbUmIq,UgyVgW-VzE67jBZFaDZ4AaABAg,bB1nF9CjctA,True,author_843,2026-05-24T15:28:28Z,2026-05-24T15:28:28Z,4,La tua prof di italiano aveva ragione,UgyVgW-VzE67jBZFaDZ4AaABAg,1,ilmessaggero,author_843
UgwuHERp3lDfz8aBYol4AaABAg,,bB1nF9CjctA,False,author_625,2026-05-24T16:11:35Z,2026-05-24T16:11:35Z,4,Lasciate in pace quella benedetta famigli miserabili di magistrati.che danni.ne avete già fatti.ora basta.carogne.,,0,ilmessaggero,author_625
UgyzLRQ7uf4e08NiJ9p4AaABAg,,bB1nF9CjctA,False,author_5532,2026-05-24T16:33:22Z,2026-05-24T16:33:22Z,0,Una storia infame gli hanno stravolto la loro esistenza e' abominevole nel 2026 questi c'è l' anno una coscienza......,,0,ilmessaggero,author_5532
Ugy8aXEafG_BgdXPkzh4AaABAg,,bB1nF9CjctA,False,author_5533,2026-05-25T16:39:30Z,2026-05-25T16:39:30Z,0,Basta non se ne può piu,,0,ilmessaggero,author_5533
UgxDhJftT5I1gWpynzh4AaABAg,,bB1nF9CjctA,False,author_5534,2026-05-26T16:01:23Z,2026-05-26T16:01:23Z,0,Abuso di potere .uno schifo .andassero nei campi rom .li c'è bisogno .non lo faranno mai.li. Fanno scappare e lo sanno bene,,0,ilmessaggero,author_5534
UgyVgW-VzE67jBZFaDZ4AaABAg.AXBzTLdcDi8AXJcBmj8k4R,UgyVgW-VzE67jBZFaDZ4AaABAg.AXBzTLdcDi8AXC-MsbUmIq,bB1nF9CjctA,True,author_5535,2026-05-27T14:31:09Z,2026-05-27T14:31:09Z,0,@author_843 Vero... ma anche le Istituzioni tutte hanno ragione (salvo casi estremi e riconducibili a singole persone).,UgyVgW-VzE67jBZFaDZ4AaABAg.AXBzTLdcDi8AXC-MsbUmIq,2,ilmessaggero,author_5535
UgyrXY2ze9Wi72QEZYJ4AaABAg,,bB1nF9CjctA,False,author_5535,2026-05-27T14:33:31Z,2026-05-27T14:33:31Z,0,Ma fatela finita...!,,0,ilmessaggero,author_5535
UgzAkgAu82e0vXtfjER4AaABAg,,bB1nF9CjctA,False,author_3420,2026-05-27T17:13:33Z,2026-05-27T17:13:33Z,0,Hanno rotto i coglioni....,,0,ilmessaggero,author_3420
UgyL0AJbpnHJUOXfM_94AaABAg,,bB1nF9CjctA,False,author_5536,2026-05-27T17:20:40Z,2026-05-27T17:20:40Z,0,"Sta ritrattando, ormai si è arresa.",,0,ilmessaggero,author_5536
