comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugz4HmTzzQA4BfggF454AaABAg,,bIM2_L4c0pk,False,author_2003,2026-05-24T13:57:01Z,2026-05-24T13:57:01Z,2,Non ha fatto niente x niente,,0,ilmessaggero,author_2003
Ugw7rvAPIgzAOPIqDXJ4AaABAg,,bIM2_L4c0pk,False,author_4376,2026-05-24T14:07:47Z,2026-05-24T14:07:47Z,0,"Berlusconi mi fa pena...si è fatto spremere come un limone in cambio di due peli di figa ,poveraccio...",,0,ilmessaggero,author_4376
UgznYhT__HFB19G8jy94AaABAg,,bIM2_L4c0pk,False,author_4964,2026-05-24T15:47:27Z,2026-05-24T15:47:27Z,1,Francesca❤ rima bene con Francesco❤,,0,ilmessaggero,author_4964
Ugy-Cn2AXRYU97z2RQB4AaABAg,,bIM2_L4c0pk,False,author_5594,2026-05-24T19:17:07Z,2026-05-24T19:17:07Z,0,E ci credo,,0,ilmessaggero,author_5594
UgwAWQJbhdYHDpucROZ4AaABAg,,bIM2_L4c0pk,False,author_5595,2026-05-25T07:00:49Z,2026-05-25T07:00:49Z,0,Di sinistra ma non affitta ai poveracci e agli immigrati....un classico.,,0,ilmessaggero,author_5595
UgyoYueFLtaSs0a3CkR4AaABAg,,bIM2_L4c0pk,False,author_5596,2026-05-25T11:55:01Z,2026-05-25T11:55:01Z,1,Ma chi se ne frega?,,0,ilmessaggero,author_5596
Ugzgfocw7oAwJBLamaV4AaABAg,,bIM2_L4c0pk,False,author_5597,2026-05-26T06:55:10Z,2026-05-26T06:55:10Z,0,Senza parole😮,,0,ilmessaggero,author_5597
Ugzt9e2a6oOkx2VUYQx4AaABAg,,bIM2_L4c0pk,False,author_5598,2026-05-26T07:34:13Z,2026-05-26T07:34:13Z,0,"Certo il problema era Marta,bellissima e dignitosa !",,0,ilmessaggero,author_5598
UgwYLADLi0GWx5SiooJ4AaABAg,,bIM2_L4c0pk,False,author_4685,2026-05-26T09:05:47Z,2026-05-26T09:05:47Z,0,Il Presidente era un uomo molto generoso!!!,,0,ilmessaggero,author_4685
Ugzo4xbrdC2_oyhwaY14AaABAg,,bIM2_L4c0pk,False,author_4881,2026-05-26T15:57:31Z,2026-05-26T15:57:31Z,0,E 'sti caxxi!!!,,0,ilmessaggero,author_4881
Ugy2pA5o2_1Nh7HjNCN4AaABAg,,bIM2_L4c0pk,False,author_3420,2026-05-27T17:09:37Z,2026-05-27T17:09:37Z,0,Dai bassi napoletani agli attici .... ecco come far fruttare una patata 😅😅,,0,ilmessaggero,author_3420
UgwYLADLi0GWx5SiooJ4AaABAg.AXGT9mk8pZkAXJuMZNNMDT,UgwYLADLi0GWx5SiooJ4AaABAg,bIM2_L4c0pk,True,author_3420,2026-05-27T17:09:55Z,2026-05-27T17:09:55Z,0,Anche lei 😅😅,UgwYLADLi0GWx5SiooJ4AaABAg,1,ilmessaggero,author_3420
