comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugy1VqNAQpVYd8dT4pV4AaABAg,,d5LTaTghM0s,False,author_909,2026-05-21T06:52:42Z,2026-05-21T06:52:42Z,6,"SUBITO SOLDI NELLE CASSE DEL COMUNE DALLE CASSE DEL GOVERNO SCUOLE CHIUSE ALMENO 5 MESI, PROTEZIONE CIVILE X 2 MESI😂",,0,ilmessaggero,author_909
UgxM5Zua3uktQ9JiiAV4AaABAg,,d5LTaTghM0s,False,author_1815,2026-05-21T07:02:58Z,2026-05-21T07:02:58Z,0,💸💸💸💸💸💸💸💸💸💸💸💸💸💸,,0,ilmessaggero,author_1815
Ugy5AVChzczSewf9sLV4AaABAg,,d5LTaTghM0s,False,author_6634,2026-05-21T07:05:36Z,2026-05-21T07:05:36Z,2,"Uaaa, non possiamo più lavorare, lo stato ci deve mantenere! Non possiamo più uscire di casa tranne per vedere o'napoli! Vado a fare una preghiera sul murales di Maradona il d10s",,0,ilmessaggero,author_6634
Ugwe-1zGiRkjRJ032Td4AaABAg,,d5LTaTghM0s,False,author_6635,2026-05-21T07:15:11Z,2026-05-21T07:15:11Z,0,Crepate,,0,ilmessaggero,author_6635
Ugy5AVChzczSewf9sLV4AaABAg.AX3NRCHx-5OAX3OyO-HdMp,Ugy5AVChzczSewf9sLV4AaABAg,d5LTaTghM0s,True,author_89,2026-05-21T07:19:00Z,2026-05-21T07:21:24Z,0,Vaffa..lo a soreta (tua sorella). Quando c'è stato il terremoto in Irpinia i maggiori beneficiati sono state le imprese edilizie calate dal.nord Italia per partecipare alla ricostruzionne le quali diedero in sub sub sub appalto a microbe imprese locali per poi scappare via con i finanziamenti strapoati allo stato. Una cosa simile è avvenuta anche in occasione dei terremoti del centro Italia e delle inondazioni del nord Italia. Il.vostro devastante razzismo è una delle maggiori sciagure che affliggono questo paese.,Ugy5AVChzczSewf9sLV4AaABAg,1,ilmessaggero,author_89
Ugy5AVChzczSewf9sLV4AaABAg.AX3NRCHx-5OAX3QECNDjCa,Ugy5AVChzczSewf9sLV4AaABAg,d5LTaTghM0s,True,author_6634,2026-05-21T07:30:02Z,2026-05-21T07:30:02Z,0,"@author_89 uaaaa, la bucchina di soreta, lotaaaaa, la prima ferrovia d'Italia, nord ruba al sud, maledetto Garibaldi, viva i Borboni, viva Maradona uno di noi! Uauauauauaua",Ugy5AVChzczSewf9sLV4AaABAg.AX3NRCHx-5OAX3OyO-HdMp,2,ilmessaggero,author_6634
Ugy5AVChzczSewf9sLV4AaABAg.AX3NRCHx-5OAX3VqKXDGIC,Ugy5AVChzczSewf9sLV4AaABAg,d5LTaTghM0s,True,author_6636,2026-05-21T08:19:04Z,2026-05-21T08:19:04Z,0,😂😂😂😂😂CHIAGGNE EEEEEEEEEEEEE FFFFFFFFFFFFF OOOOOOOOO TTTTTTTTTTT EEEEEEEEEEEEE ADDURI E NAPALE MAMMELLATA MAGGELLINA PUGGATORIO PATTAFOGLIO,Ugy5AVChzczSewf9sLV4AaABAg,1,ilmessaggero,author_6636
Ugy5AVChzczSewf9sLV4AaABAg.AX3NRCHx-5OAX3vI_rwTvL,Ugy5AVChzczSewf9sLV4AaABAg,d5LTaTghM0s,True,author_89,2026-05-21T12:10:16Z,2026-05-21T12:10:16Z,0,@user ubriaco? Che c'entra il senso della tua replica al.mio comment?,Ugy5AVChzczSewf9sLV4AaABAg.AX3NRCHx-5OAX3QECNDjCa,3,ilmessaggero,author_89
Ugy5AVChzczSewf9sLV4AaABAg.AX3NRCHx-5OAX3xfHbdU5Q,Ugy5AVChzczSewf9sLV4AaABAg,d5LTaTghM0s,True,author_6634,2026-05-21T12:30:58Z,2026-05-21T12:30:58Z,0,"@author_89 so di napoli! Ueueue, trallalero trallallà. Mo vado a scoppia i botti, mi faccio saltare le dita così mi danno a pensione",Ugy5AVChzczSewf9sLV4AaABAg.AX3NRCHx-5OAX3vI_rwTvL,4,ilmessaggero,author_6634
UgxCRLO8Zpe-CaVIq8x4AaABAg,,d5LTaTghM0s,False,author_6637,2026-05-21T18:29:20Z,2026-05-21T18:29:20Z,1,"...... 😂😂😂😂😂😂 ..... qualche volta o l'altra TI TIRA UNA ""MINA"" TALMENTE FORTE che il 60% delle vittime sarà proprio dovuto all' ONDA di PROPAGAZIONE del rumore ......😂😂😂😂😂😂😂 ....... poi DOPO capiscono anche di EVACUARE ..... ma DOPO però...... 🤣🤣🤣🤣🤣🤣🤣🤣 ......",,0,ilmessaggero,author_6637
