comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzT0GZIJoXbgOsCPat4AaABAg,,emdmIgaFKjw,False,author_3352,2026-05-26T08:23:33Z,2026-05-26T08:23:33Z,20,Basta con questa nullità assoluta!🎉,,0,ilmessaggero,author_3352
UgzAOhbmg34yGFL_UdF4AaABAg,,emdmIgaFKjw,False,author_5208,2026-05-26T08:29:54Z,2026-05-26T08:29:54Z,4,Cacarella...forse...😅🎉😂,,0,ilmessaggero,author_5208
Ugx9yjKB9U9X2ITt6R54AaABAg,,emdmIgaFKjw,False,author_636,2026-05-26T08:32:54Z,2026-05-26T08:32:54Z,1,Mi dispiace tantissimo 😢😢😢,,0,ilmessaggero,author_636
UgzAOhbmg34yGFL_UdF4AaABAg.AXGP2zRoOFRAXGPQQzald9,UgzAOhbmg34yGFL_UdF4AaABAg,emdmIgaFKjw,True,author_636,2026-05-26T08:33:06Z,2026-05-26T08:33:06Z,2,😂😂😂,UgzAOhbmg34yGFL_UdF4AaABAg,1,ilmessaggero,author_636
Ugw9yZtxYwniTLg0CRR4AaABAg,,emdmIgaFKjw,False,author_5209,2026-05-26T08:33:13Z,2026-05-26T08:33:13Z,12,È vittimista di se stessa ...per fare notizie!!,,0,ilmessaggero,author_5209
UgzQDmvLRN-HW2_Paid4AaABAg,,emdmIgaFKjw,False,author_4993,2026-05-26T08:33:52Z,2026-05-26T08:33:52Z,1,Rimandatela in Venezuela😂😂😂,,0,ilmessaggero,author_4993
Ugxa6AZxz34wTiINgrB4AaABAg,,emdmIgaFKjw,False,author_5210,2026-05-26T08:38:23Z,2026-05-26T08:38:23Z,4,"Ma a questi vip non manca nulla ,hanno tutto ma alla fine la salute è ciò che conta",,0,ilmessaggero,author_5210
UgygJfin0INB9HGgurl4AaABAg,,emdmIgaFKjw,False,author_129,2026-05-26T08:39:25Z,2026-05-26T08:39:25Z,2,"Oddio, che notizia... Auguri e sticazzi",,0,ilmessaggero,author_129
UgydlpCOy-pRwRVsPnJ4AaABAg,,emdmIgaFKjw,False,author_362,2026-05-26T08:40:48Z,2026-05-26T08:40:48Z,17,"Ma chi se ne frega??? Anche la mia vicina oggi si è sentita male, ma non ho letto nessuna notizia sui media....e credetemi, la mia vicina è una casalinga e vale molto più di questa nullità 😂😂😂",,0,ilmessaggero,author_362
Ugw3V4upEV5tTwsBTxd4AaABAg,,emdmIgaFKjw,False,author_2001,2026-05-26T08:41:38Z,2026-05-26T08:41:38Z,20,Aaaaaa la bamba,,0,ilmessaggero,author_2001
Ugz5RIg-b2uNAGOmy-R4AaABAg,,emdmIgaFKjw,False,author_1618,2026-05-26T08:45:53Z,2026-05-26T08:45:53Z,7,"Ma chi se ne fregaaaa!!!! Io ho malessere tutta l'estate, dovrei essere in prima pagina !! Questa non sa più come farsi notare, la sorella le ha rubato la scena 😂😂😂",,0,ilmessaggero,author_1618
Ugzoul6K9tvTpJnzW1F4AaABAg,,emdmIgaFKjw,False,author_5211,2026-05-26T09:00:33Z,2026-05-26T09:00:33Z,14,Questi sono i giornalai italiani...una testata giornalistica come il messaggero che da queste minchiate di notizie🤮,,0,ilmessaggero,author_5211
Ugxvdefr9vt5fzKi3Ph4AaABAg,,emdmIgaFKjw,False,author_5212,2026-05-26T09:04:03Z,2026-05-26T09:04:03Z,0,Avrà fatto indigestione di 🍌 ??? 🤔🤔🤔🤔,,0,ilmessaggero,author_5212
UgxZEpTXlfUWt6tBGpJ4AaABAg,,emdmIgaFKjw,False,author_5213,2026-05-26T09:12:48Z,2026-05-26T09:12:48Z,1,Droga,,0,ilmessaggero,author_5213
Ugw9yZtxYwniTLg0CRR4AaABAg.AXGPRHUR90_AXGU0im_y-E,Ugw9yZtxYwniTLg0CRR4AaABAg,emdmIgaFKjw,True,author_5213,2026-05-26T09:13:17Z,2026-05-26T09:13:17Z,3,La droga ucide,Ugw9yZtxYwniTLg0CRR4AaABAg,1,ilmessaggero,author_5213
UgxPhvHUtiTCpGTeV914AaABAg,,emdmIgaFKjw,False,author_5214,2026-05-26T09:31:36Z,2026-05-26T09:31:36Z,4,"Vuole la scena tutta su di se , e se le inventa tutte , non ha ancora capito che invecchia e passa di moda anche lei",,0,ilmessaggero,author_5214
