comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgyHlO2Hd2LrkhViuGR4AaABAg,,i-h4udtvxQU,False,author_5154,2026-05-26T15:54:59Z,2026-05-26T15:54:59Z,1,"Hai fatto bene a prepararti la valigetta, manca poco poco",,0,ilmessaggero,author_5154
UgyHlO2Hd2LrkhViuGR4AaABAg.AXHBzqYIrV4AXHDG5SsX6k,UgyHlO2Hd2LrkhViuGR4AaABAg,i-h4udtvxQU,True,author_3886,2026-05-26T16:06:04Z,2026-05-26T16:06:04Z,2,"Sente il fiato sul collo, come la canzone ,la verità mi fa' male lo so.",UgyHlO2Hd2LrkhViuGR4AaABAg,1,ilmessaggero,author_3886
UgwWXsLKaPPEQr1Ik2F4AaABAg,,i-h4udtvxQU,False,author_5155,2026-05-26T16:47:33Z,2026-05-26T16:47:33Z,2,Questo mostro.... è convinto di fare quello che vuole....e di prendere in giro.... l' intelligenza umana......che fine ha fatto il mondo,,0,ilmessaggero,author_5155
UgxgimiB4wpI4uRAI2N4AaABAg,,i-h4udtvxQU,False,author_5156,2026-05-26T17:17:13Z,2026-05-26T17:17:13Z,0,E cosa proverebbe?,,0,ilmessaggero,author_5156
UgzwsGNVz7RMDkJRdnp4AaABAg,,i-h4udtvxQU,False,author_5157,2026-05-26T17:26:23Z,2026-05-26T17:26:52Z,2,Solitamente la pelle sotto le unghie è sinonimo di difesa. Che sia come ho scritto moltissimo tempo fa che tra S. e M. ci fosse una relazione e non solo un'amicizia?,,0,ilmessaggero,author_5157
UgxgimiB4wpI4uRAI2N4AaABAg.AXHLPBcBt2qAXHMdkAdW93,UgxgimiB4wpI4uRAI2N4AaABAg,i-h4udtvxQU,True,author_5157,2026-05-26T17:28:05Z,2026-05-26T17:28:05Z,0,Una difesa da parte di Chiara ma penso che si dovesse difendere anche dal fratello....,UgxgimiB4wpI4uRAI2N4AaABAg,1,ilmessaggero,author_5157
Ugyj0LA2DbisUOxY9gl4AaABAg,,i-h4udtvxQU,False,author_5158,2026-05-26T17:32:09Z,2026-05-26T17:32:09Z,0,continuo a pensare che su questo povero diavolo stiano costruendo le prove e le accuse. Per me l'assassino resta Stasi con la complicità della cugina. Chiara aveva scoperto che avevano una relazione.,,0,ilmessaggero,author_5158
Ugyj0LA2DbisUOxY9gl4AaABAg.AXHN6ZHQOszAXHV66ZeT5B,Ugyj0LA2DbisUOxY9gl4AaABAg,i-h4udtvxQU,True,author_5159,2026-05-26T18:42:00Z,2026-05-26T18:42:00Z,1,"👍Gra💤ia Longo!! Sempio,il SADICO!! Dott.Stasi libero! Hai ragione!! Brava !! 👏👏👏👏💯💯",Ugyj0LA2DbisUOxY9gl4AaABAg,1,ilmessaggero,author_5159
UgyHlO2Hd2LrkhViuGR4AaABAg.AXHBzqYIrV4AXI89vbi0EB,UgyHlO2Hd2LrkhViuGR4AaABAg,i-h4udtvxQU,True,author_1729,2026-05-27T00:40:47Z,2026-05-27T00:40:47Z,0,Purtroppo non manca poco ho sentito il telegiornale oggi e i suoi avvocati anno ribaltato tutto che la procura di Pavia sta sbagliando tutto e sempio è innocente e intanto c'è un innocente in galera che delusione sempio se la caverà sempre è protetto da per tutto sono tutti corrotti 😡,UgyHlO2Hd2LrkhViuGR4AaABAg,1,ilmessaggero,author_1729
UgxH2MF0LnXmzumOQk54AaABAg,,i-h4udtvxQU,False,author_4964,2026-05-27T02:26:12Z,2026-05-27T02:26:12Z,1,"La legge italiana è fallita da sempre. Ormai ne fa parte del mondo mafioso, come lo sono la più parte dei politici italiani.",,0,ilmessaggero,author_4964
