comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzpkNxDB69ygrvuJUN4AaABAg,,i-pHOBt0BAU,False,author_5064,2026-05-27T10:59:15Z,2026-05-27T10:59:15Z,2,Bravo estefano,,0,ilmessaggero,author_5064
UgzpkNxDB69ygrvuJUN4AaABAg.AXJEwkOlQaSAXJFboOPcl6,UgzpkNxDB69ygrvuJUN4AaABAg,i-pHOBt0BAU,True,author_208,2026-05-27T11:05:08Z,2026-05-27T11:05:08Z,0,"Meraviglioso!!!vuoi vedere che è cresciuto e ha capito il ruolo di genitore???io ho qualche dubbio, ai posteri l ardua....",UgzpkNxDB69ygrvuJUN4AaABAg,1,ilmessaggero,author_208
UgzpkNxDB69ygrvuJUN4AaABAg.AXJEwkOlQaSAXJFrPi95El,UgzpkNxDB69ygrvuJUN4AaABAg,i-pHOBt0BAU,True,author_2334,2026-05-27T11:07:16Z,2026-05-27T11:07:16Z,1,"@author_208 magari sa fare il padre, o ci tenta. Il marito, certamente no",UgzpkNxDB69ygrvuJUN4AaABAg,1,ilmessaggero,author_2334
UgyA50TiYXkckQzhvQV4AaABAg,,i-pHOBt0BAU,False,author_5065,2026-05-27T11:23:32Z,2026-05-27T11:23:32Z,0,Belen e falsa fa finta non lavora e cerca attenzioni dappertutto 😂,,0,ilmessaggero,author_5065
UgzpkNxDB69ygrvuJUN4AaABAg.AXJEwkOlQaSAXJHlwzMzs2,UgzpkNxDB69ygrvuJUN4AaABAg,i-pHOBt0BAU,True,author_5065,2026-05-27T11:23:59Z,2026-05-27T11:23:59Z,2,Bravo Stefano,UgzpkNxDB69ygrvuJUN4AaABAg,1,ilmessaggero,author_5065
UgzpkNxDB69ygrvuJUN4AaABAg.AXJEwkOlQaSAXJKM4-S9SK,UgzpkNxDB69ygrvuJUN4AaABAg,i-pHOBt0BAU,True,author_5066,2026-05-27T11:46:32Z,2026-05-27T11:46:32Z,0,Bravissimo Stefano....grande uomo👍👍🌻🌻🌻🌻🌻❣️,UgzpkNxDB69ygrvuJUN4AaABAg,1,ilmessaggero,author_5066
UgyVnhKGYWW00p5XziJ4AaABAg,,i-pHOBt0BAU,False,author_5067,2026-05-27T12:02:59Z,2026-05-27T12:02:59Z,0,Caaaaaa..........zi SUOI,,0,ilmessaggero,author_5067
UgzpkNxDB69ygrvuJUN4AaABAg.AXJEwkOlQaSAXJMLwdaFSg,UgzpkNxDB69ygrvuJUN4AaABAg,i-pHOBt0BAU,True,author_5068,2026-05-27T12:04:00Z,2026-05-27T12:04:00Z,3,Ha fatto esattamente il suo dovere di padre 👏👏👏🔝❤️,UgzpkNxDB69ygrvuJUN4AaABAg,1,ilmessaggero,author_5068
UgzpUSxMWnR3uY0Pkqt4AaABAg,,i-pHOBt0BAU,False,author_5069,2026-05-27T12:18:43Z,2026-05-27T12:18:43Z,7,Chi se ne frega 😎,,0,ilmessaggero,author_5069
UgzY5vLglJT2n91W7at4AaABAg,,i-pHOBt0BAU,False,author_5070,2026-05-27T12:35:38Z,2026-05-27T12:35:38Z,4,Bravo ragazzo ❤,,0,ilmessaggero,author_5070
