comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgxkSRLOGRyvfTlW5Lt4AaABAg,,jrfEsGFsFPo,False,author_5149,2026-05-21T10:30:05Z,2026-05-21T10:30:05Z,6,Mah... Qualcosa non va in Italia...,,0,ilmessaggero,author_5149
UgxvLI3tYpbO_p6krGF4AaABAg,,jrfEsGFsFPo,False,author_178,2026-05-21T10:30:46Z,2026-05-21T10:30:46Z,29,Esaltato ignorante ...,,0,ilmessaggero,author_178
UgybNTxXMj6vo4-ssp54AaABAg,,jrfEsGFsFPo,False,author_6402,2026-05-21T10:32:02Z,2026-05-21T10:32:02Z,3,Buffone,,0,ilmessaggero,author_6402
UgwPwazFq2ybpS5L2Q94AaABAg,,jrfEsGFsFPo,False,author_6403,2026-05-21T10:32:16Z,2026-05-21T10:32:16Z,0,Eutanasia obbligatoria,,0,ilmessaggero,author_6403
Ugwr0hkzFh36CuB_90d4AaABAg,,jrfEsGFsFPo,False,author_6404,2026-05-21T10:35:39Z,2026-05-21T10:35:39Z,13,Pessimo. Un bullo ignorante incivile . Dovrebbe esser preso a schiaffi per un mese intero,,0,ilmessaggero,author_6404
UgyBrSWl0A-c3G_J2Yx4AaABAg,,jrfEsGFsFPo,False,author_1109,2026-05-21T10:37:10Z,2026-05-21T10:37:10Z,4,È attivato Hulk Hogan,,0,ilmessaggero,author_1109
UgyHzMLfWJ33tklYS9x4AaABAg,,jrfEsGFsFPo,False,author_6405,2026-05-21T10:39:02Z,2026-05-21T10:39:02Z,1,I soliti disagiati,,0,ilmessaggero,author_6405
UgxkSRLOGRyvfTlW5Lt4AaABAg.AX3jpw2lvy9AX3lAd7uSpk,UgxkSRLOGRyvfTlW5Lt4AaABAg,jrfEsGFsFPo,True,author_2173,2026-05-21T10:41:47Z,2026-05-21T10:41:47Z,3,Si! I social,UgxkSRLOGRyvfTlW5Lt4AaABAg,1,ilmessaggero,author_2173
UgxE8PchoDe3kV4ilqB4AaABAg,,jrfEsGFsFPo,False,author_6406,2026-05-21T10:52:24Z,2026-05-21T10:52:24Z,1,Gioventù bruciata,,0,ilmessaggero,author_6406
UgxkSRLOGRyvfTlW5Lt4AaABAg.AX3jpw2lvy9AX3ofWdbN5P,UgxkSRLOGRyvfTlW5Lt4AaABAg,jrfEsGFsFPo,True,author_6407,2026-05-21T11:12:22Z,2026-05-21T11:12:22Z,1,Le leggi e i ...,UgxkSRLOGRyvfTlW5Lt4AaABAg,1,ilmessaggero,author_6407
UgwPglf8KVQjxS0w-sF4AaABAg,,jrfEsGFsFPo,False,author_4746,2026-05-21T11:14:22Z,2026-05-21T11:14:22Z,9,Allora e' pazzo veramente .,,0,ilmessaggero,author_4746
Ugz0j3b-tC05QMM601J4AaABAg,,jrfEsGFsFPo,False,author_3984,2026-05-21T11:16:17Z,2026-05-21T11:16:17Z,0,Una mezza sega,,0,ilmessaggero,author_3984
UgybMaLdqcDNSlzq-et4AaABAg,,jrfEsGFsFPo,False,author_3352,2026-05-21T11:18:18Z,2026-05-21T11:18:18Z,0,La faccia a sellino ce l'ha!🎉,,0,ilmessaggero,author_3352
UgzcCeiTEUP_1B-FDNx4AaABAg,,jrfEsGFsFPo,False,author_6408,2026-05-21T11:23:33Z,2026-05-21T11:23:33Z,4,"Portatelo in una struttura per disabili e obbligatelo a rendere servizio dove non ha mai provato certe cose. No galera .no libertà vigilata. Certi individui vanno messi di fronte a se stessi. Per quello che concerne individui pericolosi (omicidi,stragi,atti ignobili) ritengo che la pena di morte sia l unica soluzione. E dovere di Stato mantenere la Sicurezza,la dignità e le leggi nel prorio paese . Nessuna scusante .Lo stato Ponificio é una buffanata arraffa soldi ...zero poteri al papa...lui e semplicemente una pedina .",,0,ilmessaggero,author_6408
Ugzvhtkl5t8G_XGdSUZ4AaABAg,,jrfEsGFsFPo,False,author_5869,2026-05-21T11:30:38Z,2026-05-21T11:30:38Z,4,I soldi fanno male,,0,ilmessaggero,author_5869
UgyNK6c8iVRcMdVsf_B4AaABAg,,jrfEsGFsFPo,False,author_6409,2026-05-21T11:42:16Z,2026-05-21T11:42:16Z,2,Ucraino,,0,ilmessaggero,author_6409
UgwzQ97fCZmmAO3A8lp4AaABAg,,jrfEsGFsFPo,False,author_6410,2026-05-21T12:10:08Z,2026-05-21T12:10:08Z,29,E gli hanno anche fatto fare l’attore a uno così 🤦🏻♂️,,0,ilmessaggero,author_6410
UgxAGjUp5KlSUy7B1-94AaABAg,,jrfEsGFsFPo,False,author_5962,2026-05-21T12:13:41Z,2026-05-21T12:13:41Z,2,Londra manifesta contro islam diamo spazio a questa notizia o no?,,0,ilmessaggero,author_5962
Ugy1CQZ3kMeuH0rrmeR4AaABAg,,jrfEsGFsFPo,False,author_1016,2026-05-21T12:19:05Z,2026-05-21T12:19:05Z,8,Non tirate di coca se non la sapete gestire dopo....,,0,ilmessaggero,author_1016
UgzxkxKxtuAmmeYmVh54AaABAg,,jrfEsGFsFPo,False,author_6411,2026-05-21T12:46:54Z,2026-05-21T12:46:54Z,11,Certo che l'ufficio personale seleziona bene😂...col canone!,,0,ilmessaggero,author_6411
Ugyi-1wWmuqri3rjswF4AaABAg,,jrfEsGFsFPo,False,author_410,2026-05-21T12:53:40Z,2026-05-21T12:53:40Z,1,Sarebbe successo prima o poi.. i soldi gli sono andati alla testa,,0,ilmessaggero,author_410
