comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
Ugz595w7gMiCc3vECup4AaABAg,,kiHIWrNjAyg,False,author_213,2026-05-27T08:02:11Z,2026-05-27T08:02:11Z,0,"Sicuramente le nuove risorse venute a pagarci le pensioni, mi dispiace perché non la pensavo cosi ma ste gentaglia va eliminata - gang, Maranza - il timore e per i passeggeri del convoglio in balia du ste sei balordi",,0,ilmessaggero,author_213
UgyIiwhkuzRyG9jsnOF4AaABAg,,kiHIWrNjAyg,False,author_426,2026-05-27T08:05:00Z,2026-05-27T08:05:00Z,21,"Troppa delinquenza,i decreti sicurezza non servono a niente,,penalizzano solo la gente onesta",,0,ilmessaggero,author_426
UgyIiwhkuzRyG9jsnOF4AaABAg.AXIw-WeUm-XAXIwLwjXk_4,UgyIiwhkuzRyG9jsnOF4AaABAg,kiHIWrNjAyg,True,author_213,2026-05-27T08:08:04Z,2026-05-27T08:08:04Z,2,Finalmente qualcuno lo dice 👏 Piantedosi deve dimettersi,UgyIiwhkuzRyG9jsnOF4AaABAg,1,ilmessaggero,author_213
UgxFPXJCexxIVnsmOEB4AaABAg,,kiHIWrNjAyg,False,author_5131,2026-05-27T08:12:36Z,2026-05-27T08:12:36Z,0,Meloni bastaaaaaaaaaaaa i decreti attaccali al culoooooooooo reimigrazioneeeeeeereeeeee subito in massa,,0,ilmessaggero,author_5131
UgwnFVMqah_gqmp4HOV4AaABAg,,kiHIWrNjAyg,False,author_258,2026-05-27T08:15:56Z,2026-05-27T08:15:56Z,0,"Basta, organizziamo le ronde",,0,ilmessaggero,author_258
UgyIiwhkuzRyG9jsnOF4AaABAg.AXIw-WeUm-XAXIxpm1aiXi,UgyIiwhkuzRyG9jsnOF4AaABAg.AXIw-WeUm-XAXIwLwjXk_4,kiHIWrNjAyg,True,author_426,2026-05-27T08:21:01Z,2026-05-27T08:27:22Z,3,"@author_213 io ho regolare porto d'armi per uso caccia,ti posso garantire che abbiamo le leggi più severe in materia di detenzione di armi. Se dovessi prendere una multa perché ho bevuto un bicchiere di troppo,addio immediato al porto d'armi e alla loro detenzione.Per quanto riguarda il porto di armi bianche il govero a mio avviso ha creato confusione,bastava che le regole già esistenti nel TULPS,Venissero applicate anche per i coltelli ,vale a dire: se ti becco in un luogo pubblico o in un luogo aperto al pubblico (esclusi boschi,fiumi ecc..)anche con un temperino ti becchi una denuncia,un fermo ed una bella perquisizione domiciliare...Ma qui in Italia le cose semplici ,che sono le più facili anche da interpretare,sono cosa sconosciuta a chi legifera.",UgyIiwhkuzRyG9jsnOF4AaABAg.AXIw-WeUm-XAXIwLwjXk_4,2,ilmessaggero,author_426
UgxFPXJCexxIVnsmOEB4AaABAg.AXIwsCyBLX1AXIy3HU1xX0,UgxFPXJCexxIVnsmOEB4AaABAg,kiHIWrNjAyg,True,author_213,2026-05-27T08:23:00Z,2026-05-27T08:23:00Z,0,"Intanto con il decreto flussi ne portano in Italia cinquecentomila da quest'anno al 2028, la spiegazione e che ci devono pagare le pensioni, invece servono solo ad un certo modo banditesco di fare impresa per risparmiare sulla manodopera chi viene per delinquere dev'essere segnalato e rispedito a calci in culo famiglia al seguito poco mi importa,e non sono di destra il sottoscritto tutt'altro",UgxFPXJCexxIVnsmOEB4AaABAg,1,ilmessaggero,author_213
UgzPPRNz81-LvZGCKPt4AaABAg,,kiHIWrNjAyg,False,author_270,2026-05-27T08:23:20Z,2026-05-27T08:23:20Z,3,Ma tutta sta delinquenza? Smettiamola di pagare le tasse per arricchire sto deficienti che ci governano perché in cambio non ci danno nulllllaaaaa...il nulla cosmico!,,0,ilmessaggero,author_270
UgxFlGknJjhJzZsGr_x4AaABAg,,kiHIWrNjAyg,False,author_5132,2026-05-27T08:24:16Z,2026-05-27T08:24:16Z,5,"Strano che si siano accoltellati con l’ultimo decreto sicurezza i coltelli sono vietati, e poi in stazione dove il reato è aggravato di 1/3 e dove c’è la polizia ferroviaria a presidiare ... secondo me notizia falsa della sinistra 😂😂😂😂",,0,ilmessaggero,author_5132
UgzaKlgUfK3g3DaTUBF4AaABAg,,kiHIWrNjAyg,False,author_5133,2026-05-27T08:24:52Z,2026-05-27T08:24:52Z,6,Altra risorsa che purtroppo non ci pagherà più la pensione,,0,ilmessaggero,author_5133
UgzaKlgUfK3g3DaTUBF4AaABAg.AXIyH-cioT2AXIyUt0bjPc,UgzaKlgUfK3g3DaTUBF4AaABAg,kiHIWrNjAyg,True,author_5132,2026-05-27T08:26:46Z,2026-05-27T08:26:46Z,0,"Eh sì, era pugliese.",UgzaKlgUfK3g3DaTUBF4AaABAg,1,ilmessaggero,author_5132
UgxFlGknJjhJzZsGr_x4AaABAg.AXIyCa8cG-vAXIzBKEa7y7,UgxFlGknJjhJzZsGr_x4AaABAg,kiHIWrNjAyg,True,author_5134,2026-05-27T08:32:50Z,2026-05-27T08:33:12Z,0,"In quella stazione non c'è neanche la biglietteria ""normale"" ci sono le macchinette. Abbiamo già fatto la raccolta firme per chiedere una pattuglia stabile!",UgxFlGknJjhJzZsGr_x4AaABAg,1,ilmessaggero,author_5134
UgxdKCbG_oPz2VhHq6B4AaABAg,,kiHIWrNjAyg,False,author_5135,2026-05-27T08:33:12Z,2026-05-27T08:33:26Z,4,Urgente...urge un altro decreto sicurezza dai Giorgia vietiamo i binari.....anzi le stazioni...e giacché anche i treni... tanto 😂😂😂😂evvai !!️!!️!!️,,0,ilmessaggero,author_5135
UgwxMKKFi4rzv5-wbnx4AaABAg,,kiHIWrNjAyg,False,author_5136,2026-05-27T08:33:20Z,2026-05-27T08:33:20Z,3,"Cambiamo passo,invece di vietarei i coltelli incentiviamo e speriamo si elimino tra lore😢",,0,ilmessaggero,author_5136
UgzPPRNz81-LvZGCKPt4AaABAg.AXIy5iy3TKAAXIzLgY0Ix0,UgzPPRNz81-LvZGCKPt4AaABAg,kiHIWrNjAyg,True,author_4963,2026-05-27T08:34:15Z,2026-05-27T08:34:15Z,2,se scrivi come pensi stai messo male!!,UgzPPRNz81-LvZGCKPt4AaABAg,1,ilmessaggero,author_4963
UgyIiwhkuzRyG9jsnOF4AaABAg.AXIw-WeUm-XAXIzMaqsaS1,UgyIiwhkuzRyG9jsnOF4AaABAg.AXIw-WeUm-XAXIxpm1aiXi,kiHIWrNjAyg,True,author_213,2026-05-27T08:34:22Z,2026-05-27T08:34:22Z,1,"@author_426,la conosco molto bene quella sulla detenzione d'armi e i permessi, controlli, invece appunto e per l'appunto per l'utilizzo d'armi bianche non s'è fatto nulla né sta venendo fatto nulla, questa e una "" confessione"" cosa personale pensi che io lavoro con questi soggetti dove c'è l'utilizzo giornaliero di taglierini per il taglio plastica, come uno deve sentirsi per la propria incolumità intanto poi li farebbero passare per psicolabili",UgyIiwhkuzRyG9jsnOF4AaABAg.AXIw-WeUm-XAXIxpm1aiXi,3,ilmessaggero,author_213
UgxFlGknJjhJzZsGr_x4AaABAg.AXIyCa8cG-vAXIzc_uoJYC,UgxFlGknJjhJzZsGr_x4AaABAg,kiHIWrNjAyg,True,author_4963,2026-05-27T08:36:41Z,2026-05-27T08:36:41Z,1,ogni tanto la polizia si fa giusto un giretto poi tornano nei loro uffici,UgxFlGknJjhJzZsGr_x4AaABAg,1,ilmessaggero,author_4963
