comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgzVhQguAXMZrXXMuFR4AaABAg,,nEU7P7EKjVc,False,author_3593,2026-05-27T10:08:13Z,2026-05-27T10:08:59Z,1,È innocente l' ha saputo dalla stampa chi erano i soci,,0,ilmessaggero,author_3593
UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXJDsroWszD,UgzVhQguAXMZrXXMuFR4AaABAg,nEU7P7EKjVc,True,author_1342,2026-05-27T10:49:59Z,2026-05-27T10:49:59Z,0,Le chat diranno se è innocente o meno.,UgzVhQguAXMZrXXMuFR4AaABAg,1,ilmessaggero,author_1342
UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXJQlkL8ANk,UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXJDsroWszD,nEU7P7EKjVc,True,author_1079,2026-05-27T12:42:36Z,2026-05-27T12:42:36Z,0,@user vabbè,UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXJDsroWszD,2,ilmessaggero,author_1079
UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXK4y6_BZYB,UgzVhQguAXMZrXXMuFR4AaABAg,nEU7P7EKjVc,True,author_5128,2026-05-27T18:51:18Z,2026-05-27T18:52:22Z,0,"Un mafioso come tanti altri. Però per il lavoro che fa non è indagato e soprattutto è innocente, e gli italiani muoiono di fame.",UgzVhQguAXMZrXXMuFR4AaABAg,1,ilmessaggero,author_5128
UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXKHwJrGvbZ,UgzVhQguAXMZrXXMuFR4AaABAg,nEU7P7EKjVc,True,author_2659,2026-05-27T20:44:39Z,2026-05-27T20:44:39Z,0,Ricorda che la legge non ammette ignoranza.,UgzVhQguAXMZrXXMuFR4AaABAg,1,ilmessaggero,author_2659
UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXL3MvW7k2e,UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXKHwJrGvbZ,nEU7P7EKjVc,True,author_5128,2026-05-28T03:56:35Z,2026-05-28T03:56:35Z,0,@user la delinquenza che c'è in giro al giorno d'oggi non ci credo più,UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXKHwJrGvbZ,2,ilmessaggero,author_5128
UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXLDmkeNgv3,UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXK4y6_BZYB,nEU7P7EKjVc,True,author_5005,2026-05-28T06:00:00+00:00,,0,"@author_5128 Per forza che muoiono di fame, devono pagare le rate del SUV.....",UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXK4y6_BZYB,2,ilmessaggero,author_5005
UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXLDwNSXeBS,UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXKHwJrGvbZ,nEU7P7EKjVc,True,author_5005,2026-05-28T06:00:00+00:00,,0,@author_2659 Ammette solo le varie conoscenze e bustarelle.,UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXKHwJrGvbZ,2,ilmessaggero,author_5005
Ugy61VbUKGKSLayg3zZ4AaABAg,,nEU7P7EKjVc,False,author_1390,2026-05-28T06:26:21Z,2026-05-28T06:26:21Z,0,Non è colpa sua ma del sistema che doveva controllare. Pronto il cappottone tedesco!!,,0,ilmessaggero,author_1390
UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXLbrkznaNV,UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXLDmkeNgv3,nEU7P7EKjVc,True,author_5120,2026-05-28T10:00:00+00:00,,0,@author_5005 ...del SUV. dei Politici!!😡🤑🤑🤑,UgzVhQguAXMZrXXMuFR4AaABAg.AXJ95ydn_ZZAXLDmkeNgv3,3,ilmessaggero,author_5120
UgxHv1pZanerto8rkUB4AaABAg,,nEU7P7EKjVc,False,author_1673,2026-05-28T12:29:49Z,2026-05-28T12:29:49Z,1,Taralli e tarallucci😂,,0,ilmessaggero,author_1673
UgzQfwRT_z96HKXkjVR4AaABAg,,nEU7P7EKjVc,False,author_3358,2026-05-28T14:34:43Z,2026-05-28T14:35:05Z,0,"Cause ferme da anni e tribunali inceppati ma quando i giudici “bellaciao” devono colpire qualcuno che non sta dalla loro parte, sono veloci ed efficienti come le saette...",,0,ilmessaggero,author_3358
