comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwqRUKsHEw98a10Ujh4AaABAg,,oK78HBvNVN8,False,author_6208,2026-05-21T17:24:01Z,2026-05-21T17:24:01Z,5,Guida subacquea 🙏,,0,ilmessaggero,author_6208
Ugy-7JcUX0vktTwTM9x4AaABAg,,oK78HBvNVN8,False,author_3862,2026-05-21T18:20:48Z,2026-05-21T18:20:48Z,34,Più che esperti e professionisti mi sembrano persone senza cervello incoscienti e irresponsabili,,0,ilmessaggero,author_3862
Ugx5-e6tEHsIyyj9BcZ4AaABAg,,oK78HBvNVN8,False,author_1802,2026-05-21T18:29:08Z,2026-05-21T18:29:08Z,21,"Se tutto cio' e' avvenuto x avidita' di esplorazione ci colpisce ancora di piu'.Tutti esperti ,almeno 1 di loro avrebbe dovuto fermare gli altri .😢😢😢",,0,ilmessaggero,author_1802
UgxUOWJHCwxTM-Kdbgd4AaABAg,,oK78HBvNVN8,False,author_462,2026-05-21T18:30:53Z,2026-05-21T18:30:53Z,4,Si sapeva sin dall'inizio,,0,ilmessaggero,author_462
UgxoMlJjm80QssQIis14AaABAg,,oK78HBvNVN8,False,author_6209,2026-05-21T18:51:32Z,2026-05-21T18:51:32Z,18,"Ma perché dovete parlare se non sapete niente? Chi ha detto ciò? Chi e' la fonte ufficiale? La lavacapelli della signorina del quarto piano? Ma fate silenzio,tutti, e portate rispetto..",,0,ilmessaggero,author_6209
UgwtTpsiVB17Ny2BM3J4AaABAg,,oK78HBvNVN8,False,author_6210,2026-05-21T18:55:01Z,2026-05-21T18:55:01Z,6,Occorre attendere che chi di competenza esegua accurati accertamenti. Con le ipotesi non si risolve niente. ~•♥︎•~,,0,ilmessaggero,author_6210
UgwqRUKsHEw98a10Ujh4AaABAg.AX4UCcyNiTFAX4detfior9,UgwqRUKsHEw98a10Ujh4AaABAg,oK78HBvNVN8,True,author_6210,2026-05-21T18:55:24Z,2026-05-21T18:55:24Z,0,Porta rispetto.,UgwqRUKsHEw98a10Ujh4AaABAg,1,ilmessaggero,author_6210
Ugy-7JcUX0vktTwTM9x4AaABAg.AX4_hZWwsnjAX4dhX7OHoe,Ugy-7JcUX0vktTwTM9x4AaABAg,oK78HBvNVN8,True,author_6210,2026-05-21T18:55:46Z,2026-05-21T18:55:46Z,2,Porta rispetto anche tu.,Ugy-7JcUX0vktTwTM9x4AaABAg,1,ilmessaggero,author_6210
UgxUOWJHCwxTM-Kdbgd4AaABAg.AX4arNohydbAX4dnidDboa,UgxUOWJHCwxTM-Kdbgd4AaABAg,oK78HBvNVN8,True,author_6210,2026-05-21T18:56:36Z,2026-05-21T18:56:36Z,1,Ecco mancavi tu otelma del diving,UgxUOWJHCwxTM-Kdbgd4AaABAg,1,ilmessaggero,author_6210
UgxoMlJjm80QssQIis14AaABAg.AX4dDcN_n4_AX4dujrELFD,UgxoMlJjm80QssQIis14AaABAg,oK78HBvNVN8,True,author_6210,2026-05-21T18:57:34Z,2026-05-21T18:57:34Z,0,Grazie Francesco 🍃💌🍃,UgxoMlJjm80QssQIis14AaABAg,1,ilmessaggero,author_6210
UgxoMlJjm80QssQIis14AaABAg.AX4dDcN_n4_AX4fkocSsEF,UgxoMlJjm80QssQIis14AaABAg.AX4dDcN_n4_AX4dujrELFD,oK78HBvNVN8,True,author_6209,2026-05-21T19:13:41Z,2026-05-21T19:13:41Z,0,@user Grazie di cosa?😅,UgxoMlJjm80QssQIis14AaABAg.AX4dDcN_n4_AX4dujrELFD,2,ilmessaggero,author_6209
UgxoMlJjm80QssQIis14AaABAg.AX4dDcN_n4_AX4fosN7NtI,UgxoMlJjm80QssQIis14AaABAg.AX4dDcN_n4_AX4dujrELFD,oK78HBvNVN8,True,author_6209,2026-05-21T19:14:14Z,2026-05-21T19:14:14Z,0,@user Grazie di cosa?😅,UgxoMlJjm80QssQIis14AaABAg.AX4dDcN_n4_AX4dujrELFD,2,ilmessaggero,author_6209
UgxQGRNt2-lYDkap9Ap4AaABAg,,oK78HBvNVN8,False,author_941,2026-05-21T19:36:40Z,2026-05-21T19:36:40Z,24,"Povero ragazzo,chissà che incubo... è atroce morire sott'acqua...la morte più brutta, perché non è veloce,ci sono quei tre o 4 minuti prima di perdere definitivamente i sensi....impazzisci....",,0,ilmessaggero,author_941
UgxoMlJjm80QssQIis14AaABAg.AX4dDcN_n4_AX4jdYGOVu-,UgxoMlJjm80QssQIis14AaABAg,oK78HBvNVN8,True,author_1053,2026-05-21T19:47:38Z,2026-05-21T19:47:38Z,8,Veramente le info arrivano dalla Farnesina e dai 3 speleologi finlandesi... non conosco la tua lavacapelli.,UgxoMlJjm80QssQIis14AaABAg,1,ilmessaggero,author_1053
UgwtTpsiVB17Ny2BM3J4AaABAg.AX4dc5f9KaVAX4jmpV22n8,UgwtTpsiVB17Ny2BM3J4AaABAg,oK78HBvNVN8,True,author_1053,2026-05-21T19:48:54Z,2026-05-21T19:48:54Z,2,Accertamenti de che? Non dovevano essere a quella profondita' e sopratutto non dovevano ficcarsi in quel buco. Punto. Accertamento eseguito,UgwtTpsiVB17Ny2BM3J4AaABAg,1,ilmessaggero,author_1053
Ugy-7JcUX0vktTwTM9x4AaABAg.AX4_hZWwsnjAX4k-fl56Q9,Ugy-7JcUX0vktTwTM9x4AaABAg.AX4_hZWwsnjAX4dhX7OHoe,oK78HBvNVN8,True,author_1053,2026-05-21T19:50:48Z,2026-05-21T19:50:48Z,16,@user solo dicendo la verita'. Tu sei uno di quegli omertosi che non vuole dare le giuste informazioni? Hanno fatto una cappella micidiale. Che la gente lo sappia. Per salvaguardare altre vite in futuro!!!,Ugy-7JcUX0vktTwTM9x4AaABAg.AX4_hZWwsnjAX4dhX7OHoe,2,ilmessaggero,author_1053
UgwtTpsiVB17Ny2BM3J4AaABAg.AX4dc5f9KaVAX4kEs-wDTL,UgwtTpsiVB17Ny2BM3J4AaABAg.AX4dc5f9KaVAX4jmpV22n8,oK78HBvNVN8,True,author_6210,2026-05-21T19:52:52Z,2026-05-21T19:52:52Z,3,@author_1053 Non hai abbastanza intelligenza per capire quanta te ne manca.,UgwtTpsiVB17Ny2BM3J4AaABAg.AX4dc5f9KaVAX4jmpV22n8,2,ilmessaggero,author_6210
UgyQDXXHSKYCu3kFJOB4AaABAg,,oK78HBvNVN8,False,author_4292,2026-05-21T19:52:53Z,2026-05-21T19:52:53Z,14,💔🙏😢Condoglianze alle famiglie che morte atroce 😢,,0,ilmessaggero,author_4292
