comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwcgPHYLHvUa0HyJYt4AaABAg,,q8gz99ODk9Y,False,author_5886,2026-05-23T07:57:16Z,2026-05-23T07:57:16Z,10,Il marito continua a dire che aveva tutto il necessario.... Ma allora qualcosa non quadra... Chi dice la verità?!,,0,ilmessaggero,author_5886
Ugwtohb8DVHjqwmQBGp4AaABAg,,q8gz99ODk9Y,False,author_5887,2026-05-23T07:57:58Z,2026-05-23T07:57:58Z,33,"Bruttissimo gesto dei responsabili dell’università di Genova. Forse chi lo ha fatto era invidioso del successo della ricercatrice che, non dimentichiamolo, aveva ricevuto premi e riconoscimenti a livello mondiale per il suo lavoro. Il rispetto per i defunti è il metro di misura della civiltà di una persona.",,0,ilmessaggero,author_5887
UgxKCj-fKMHtSaf-FHp4AaABAg,,q8gz99ODk9Y,False,author_4746,2026-05-23T08:06:44Z,2026-05-23T08:06:44Z,16,La stanno scaricando. Prima magari si vantavano della sua collaborazione. Nessuna certezza ma al 90% lei ha sbagliato. Basta fare un confronto tra come si sono immersi i nostri connazionali e i soccortitori la diversa attrezzatura e logistica.,,0,ilmessaggero,author_4746
UgymhmtONwoJOHNZJM54AaABAg,,q8gz99ODk9Y,False,author_178,2026-05-23T08:08:53Z,2026-05-23T08:08:53Z,1,"Com’è il detto “ Tutti siamo utili , ma nessuno indispensabile”..... Schifosi !!!!",,0,ilmessaggero,author_178
Ugx_aTG62bPkSmTHxAN4AaABAg,,q8gz99ODk9Y,False,author_5888,2026-05-23T08:09:55Z,2026-05-23T08:09:55Z,13,"Invece di difendere questa loro ricercatrice ,essi cosa fanno? Oppure chi ? Bella espressione di vicinanza a questa donna ,che anche senza ancora indizi della morte dei 5 /6 sub ,già è stata processata e accusata di inegligenza .Se la realtà fosse questa ,non si può credere allora a ,tutti i ricercatori che lavorano in quel luogo .Bruttissima figura .😢",,0,ilmessaggero,author_5888
UgwcgPHYLHvUa0HyJYt4AaABAg.AX8bwJnColWAX8dSE6kZ_6,UgwcgPHYLHvUa0HyJYt4AaABAg,q8gz99ODk9Y,True,author_5889,2026-05-23T08:10:29Z,2026-05-23T08:10:29Z,3,"Aveva tutti i brevetti ma non le bombole giuste , magari pensava di averle e ha scoperto che non era così",UgwcgPHYLHvUa0HyJYt4AaABAg,1,ilmessaggero,author_5889
UgxKCj-fKMHtSaf-FHp4AaABAg.AX8d0jx7a4hAX8e-0JhHzI,UgxKCj-fKMHtSaf-FHp4AaABAg,q8gz99ODk9Y,True,author_5890,2026-05-23T08:15:14Z,2026-05-23T08:15:14Z,0,Quanta sicurezza...lei c'era?,UgxKCj-fKMHtSaf-FHp4AaABAg,1,ilmessaggero,author_5890
UgwcgPHYLHvUa0HyJYt4AaABAg.AX8bwJnColWAX8ePS4vmEj,UgwcgPHYLHvUa0HyJYt4AaABAg,q8gz99ODk9Y,True,author_4879,2026-05-23T08:18:51Z,2026-05-23T08:18:51Z,2,"Qualche cosa non avevano, che dolore. Povere famiglie preghiamo con loro🙏🙏",UgwcgPHYLHvUa0HyJYt4AaABAg,1,ilmessaggero,author_4879
Ugx0lE6bmL7DNLKazol4AaABAg,,q8gz99ODk9Y,False,author_4967,2026-05-23T08:48:09Z,2026-05-23T08:48:09Z,29,"Quanta fretta di cancellare la sua pagina. Mancanza di rispetto da parte dell'università, quando ancora devono essere chiarite le cause della tragedia e non esistono ancora versioni ufficiali ma solo tante supposizioni.",,0,ilmessaggero,author_4967
UgwVlWp_eFwCWzZMqUx4AaABAg,,q8gz99ODk9Y,False,author_495,2026-05-23T09:03:37Z,2026-05-23T09:03:37Z,35,"Umano sbagliare ma non per questo si deve cancellare tutto il percorso che ha fatto da ricercatrice,",,0,ilmessaggero,author_495
