comment_id,parent_comment_id,video_id,is_reply,author,published_at,updated_at,like_count,text,inferred_parent_id,depth,newspaper,author_anon
UgwusKxUO8N3-5LEJ2N4AaABAg,,qrsKhWj39zA,False,author_6124,2026-05-22T11:59:45Z,2026-05-22T11:59:45Z,1,"....al cimitero ""politico"" !",,0,ilmessaggero,author_6124
Ugwaf2ftuKAgNiAqUK94AaABAg,,qrsKhWj39zA,False,author_6125,2026-05-22T12:03:13Z,2026-05-22T12:03:13Z,0,👍👍👍👏👏👏👏👏❤❤❤,,0,ilmessaggero,author_6125
UgxaeGdKgw3BdulWYAJ4AaABAg,,qrsKhWj39zA,False,author_782,2026-05-22T12:08:01Z,2026-05-22T12:08:01Z,2,Stai all ammazzacaffe😂😂povero.disgraziato...ma quale ritiro??😂😂😂,,0,ilmessaggero,author_782
UgwtRWKDomarRaSwZVB4AaABAg,,qrsKhWj39zA,False,author_843,2026-05-22T12:15:36Z,2026-05-22T12:15:36Z,0,Ma andate a zappare la terra,,0,ilmessaggero,author_843
Ugxl6sS4ACI94yXKe_94AaABAg,,qrsKhWj39zA,False,author_718,2026-05-22T12:18:46Z,2026-05-22T12:19:45Z,0,Deitalianizzazione va tolto il passaporto a chi molesta gli italiani onesti come questo delinq. e gli allievi di Burioni e Del Debbio.,,0,ilmessaggero,author_718
Ugyc5LkM9Pq5LMqRNSN4AaABAg,,qrsKhWj39zA,False,author_6126,2026-05-22T13:00:08Z,2026-05-22T13:00:08Z,0,Si vanno in ritiro perché zala e indisposto.,,0,ilmessaggero,author_6126
UgxaeGdKgw3BdulWYAJ4AaABAg.AX6Uq3OOIKxAX6_tyxQLGk,UgxaeGdKgw3BdulWYAJ4AaABAg,qrsKhWj39zA,True,author_3420,2026-05-22T13:00:59Z,2026-05-22T13:00:59Z,1,No è al conto....,UgxaeGdKgw3BdulWYAJ4AaABAg,1,ilmessaggero,author_3420
UgxDVfTEb23YGCMl1KN4AaABAg,,qrsKhWj39zA,False,author_3420,2026-05-22T13:02:12Z,2026-05-22T13:02:12Z,0,Ti sta scavando la fossa...,,0,ilmessaggero,author_3420
Ugx3eWSnZWrbtPnoNPl4AaABAg,,qrsKhWj39zA,False,author_4117,2026-05-22T17:51:20Z,2026-05-22T17:51:20Z,0,Adesso fa l'allenatore 😂,,0,ilmessaggero,author_4117
Ugx9vDA8-Vs9lFz6keF4AaABAg,,qrsKhWj39zA,False,author_177,2026-05-22T22:59:49Z,2026-05-22T22:59:49Z,0,"Salvini, ti ricordo che i sostenitori della lega al funerale di Bossi ti hanno cazzeggiato. Con chi vai al ritiro?? Vannacci???😂😂😂",,0,ilmessaggero,author_177
UgyC_P9vpZ-djtabe8l4AaABAg,,qrsKhWj39zA,False,author_4964,2026-05-23T04:24:05Z,2026-05-23T04:24:26Z,0,"Mi rivolgo soprattutto a chi commenta: avete solo la cresta irritata, il resto non vi funziona piu niente 😂😂😂.",,0,ilmessaggero,author_4964
UgyKvFhFmvRYwX4TXLB4AaABAg,,qrsKhWj39zA,False,author_1390,2026-05-23T09:54:23Z,2026-05-23T09:54:23Z,1,"Hanno tolto ai cittadini per dare ai trafficanti d'armi (pure extracomunitari). Dal 2023 ad oggi il debito pubblico è esploso di 450 miliardi di euro e se continua cosi a fine anno sfiorerà i 600 miliardi!!! Ognuno di noi aveva un debito di 46.000 euro, ora è diventato di 55.000. E questi vanno in ritiro per sfornare altre grandi idee per indebitarci ancora di più!!!",,0,ilmessaggero,author_1390
